GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,ALKVE001,ALKVE002,ALKVE003,ALKVE004,ALKVE005,ALKVE006,ALKVE007,ALKVE008,ALKVE009,ALKVE010,ALKVE011,ALKVE012,ALKVE013,ALKVE014,ALKVE015,ALKVE016,ALKVE017,ALKVE018,ALKVE019,ALKVE020,ALKVE021,ALKVE022,ALKVE023,ALKVE024,ALKVE025,ALKVE026,ALKVE027,NAME_M,ALKVM001,ALKVM002,ALKVM003,ALKVM004,ALKVM005,ALKVM006,ALKVM007,ALKVM008,ALKVM009,ALKVM010,ALKVM011,ALKVM012,ALKVM013,ALKVM014,ALKVM015,ALKVM016,ALKVM017,ALKVM018,ALKVM019,ALKVM020,ALKVM021,ALKVM022,ALKVM023,ALKVM024,ALKVM025,ALKVM026,ALKVM027
"G1301510","2019","GA",,,"Georgia","13","Henry County","151",,,,,,,,,,,,,,,,,,"05000US13151","Henry County, Georgia",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Henry County, Georgia",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G1301530","2019","GA",,,"Georgia","13","Houston County","153",,,,,,,,,,,,,,,,,,"05000US13153","Houston County, Georgia",22550,21960,525,526,58,0,392,45,466,326,738,1178,754,1720,2765,1726,1005,3599,2835,2311,477,514,0,0,0,0,590,"Houston County, Georgia",2412,2422,483,545,173,234,574,88,543,338,692,876,572,1185,1267,1077,743,1390,926,1135,432,525,234,234,234,234,367
"G1301570","2019","GA",,,"Georgia","13","Jackson County","157",,,,,,,,,,,,,,,,,,"05000US13157","Jackson County, Georgia",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jackson County, Georgia",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G1301850","2019","GA",,,"Georgia","13","Lowndes County","185",,,,,,,,,,,,,,,,,,"05000US13185","Lowndes County, Georgia",20187,18422,144,71,170,96,169,754,453,1050,2373,370,1936,1583,1596,881,1415,1179,1414,2112,350,171,135,0,0,0,1765,"Lowndes County, Georgia",2257,2014,249,97,206,157,236,709,358,677,1151,302,712,834,673,617,767,684,821,1172,397,218,230,234,234,234,860
"G1302150","2019","GA",,,"Georgia","13","Muscogee County","215",,,,,,,,,,,,,,,,,,"05000US13215","Muscogee County, Georgia",37229,35902,124,201,308,964,716,1064,741,793,1989,1715,2342,2234,2788,3368,2427,4629,2555,3653,1263,1675,125,165,30,33,1327,"Muscogee County, Georgia",2511,2467,103,310,201,620,479,516,383,410,821,682,962,677,890,947,889,1305,1042,1302,564,395,118,156,52,58,630
"G1302170","2019","GA",,,"Georgia","13","Newton County","217",,,,,,,,,,,,,,,,,,"05000US13217","Newton County, Georgia",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Newton County, Georgia",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G1302230","2019","GA",,,"Georgia","13","Paulding County","223",,,,,,,,,,,,,,,,,,"05000US13223","Paulding County, Georgia",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Paulding County, Georgia",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G1302450","2019","GA",,,"Georgia","13","Richmond County","245",,,,,,,,,,,,,,,,,,"05000US13245","Richmond County, Georgia",33297,31789,490,114,48,486,690,27,644,860,1111,1388,3376,2313,3054,3474,1700,5312,2032,3512,928,61,0,0,0,169,1508,"Richmond County, Georgia",3097,3015,597,184,82,381,476,46,382,591,499,928,1128,948,1021,1341,793,1674,953,1568,556,71,234,234,234,307,773
"G1302470","2019","GA",,,"Georgia","13","Rockdale County","247",,,,,,,,,,,,,,,,,,"05000US13247","Rockdale County, Georgia",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rockdale County, Georgia",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G1302550","2019","GA",,,"Georgia","13","Spalding County","255",,,,,,,,,,,,,,,,,,"05000US13255","Spalding County, Georgia",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Spalding County, Georgia",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G1302850","2019","GA",,,"Georgia","13","Troup County","285",,,,,,,,,,,,,,,,,,"05000US13285","Troup County, Georgia",10775,10078,215,317,65,94,32,1088,344,219,535,1568,914,187,791,238,681,1131,782,374,441,0,0,0,62,0,697,"Troup County, Georgia",1322,1245,226,378,91,161,75,808,294,204,376,1132,603,162,426,190,490,607,569,264,362,234,234,234,109,234,553
"G1302950","2019","GA",,,"Georgia","13","Walker County","295",,,,,,,,,,,,,,,,,,"05000US13295","Walker County, Georgia",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Walker County, Georgia",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G1302970","2019","GA",,,"Georgia","13","Walton County","297",,,,,,,,,,,,,,,,,,"05000US13297","Walton County, Georgia",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Walton County, Georgia",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G1303130","2019","GA",,,"Georgia","13","Whitfield County","313",,,,,,,,,,,,,,,,,,"05000US13313","Whitfield County, Georgia",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Whitfield County, Georgia",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G1500010","2019","HI",,,"Hawaii","15","Hawaii County","001",,,,,,,,,,,,,,,,,,"05000US15001","Hawaii County, Hawaii",21485,19458,232,330,157,1089,66,288,60,233,0,499,151,297,243,874,571,1502,2298,3658,2317,1499,2475,619,0,0,2027,"Hawaii County, Hawaii",2051,1913,192,355,194,697,113,210,79,300,195,393,160,242,343,629,381,725,967,1315,1006,601,1152,386,195,195,632
"G1500030","2019","HI",,,"Hawaii","15","Honolulu County","003",,,,,,,,,,,,,,,,,,"05000US15003","Honolulu County, Hawaii",134922,130491,716,982,1439,2170,530,753,1624,593,688,1328,496,1625,1457,1388,1280,3907,5250,18304,12863,26746,17597,14984,9283,4488,4431,"Honolulu County, Hawaii",4109,4065,484,416,598,852,348,402,1148,377,456,554,361,743,919,606,646,1048,1329,2262,1681,3093,2038,2435,1478,794,857
"G1500070","2019","HI",,,"Hawaii","15","Kauai County","007",,,,,,,,,,,,,,,,,,"05000US15007","Kauai County, Hawaii",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kauai County, Hawaii",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G1500090","2019","HI",,,"Hawaii","15","Maui County","009",,,,,,,,,,,,,,,,,,"05000US15009","Maui County, Hawaii",21455,18942,116,237,157,619,0,451,267,104,66,383,19,511,200,305,49,429,1097,2538,1849,6054,2310,320,263,598,2513,"Maui County, Hawaii",2039,1787,106,269,159,411,195,327,223,127,106,429,32,524,237,247,83,309,700,1106,696,1133,907,231,191,342,904
"G1600010","2019","ID",,,"Idaho","16","Ada County","001",,,,,,,,,,,,,,,,,,"05000US16001","Ada County, Idaho",52899,51828,336,289,210,326,56,83,404,687,504,1754,421,1650,1446,951,2457,7774,6741,10147,8906,5217,758,318,135,258,1071,"Ada County, Idaho",3336,3295,543,355,333,269,96,140,283,549,377,965,317,796,644,431,818,1498,1777,2034,2235,1376,324,259,162,236,584
"G1600050","2019","ID",,,"Idaho","16","Bannock County","005",,,,,,,,,,,,,,,,,,"05000US16005","Bannock County, Idaho",10736,10083,0,74,37,85,0,1062,518,816,771,1155,1020,1061,773,688,641,392,351,510,129,0,0,0,0,0,653,"Bannock County, Idaho",1340,1325,204,97,67,89,204,777,361,374,456,672,591,508,401,409,352,286,242,282,158,204,204,204,204,204,404
"G1600190","2019","ID",,,"Idaho","16","Bonneville County","019",,,,,,,,,,,,,,,,,,"05000US16019","Bonneville County, Idaho",12299,11832,0,0,101,54,0,81,357,1024,456,780,1092,964,1587,590,394,1302,390,1375,626,230,0,0,429,0,467,"Bonneville County, Idaho",1663,1641,204,204,193,97,204,113,358,684,362,460,646,463,940,371,363,570,283,661,507,175,204,204,265,204,347
"G1600270","2019","ID",,,"Idaho","16","Canyon County","027",,,,,,,,,,,,,,,,,,"05000US16027","Canyon County, Idaho",21455,20191,252,104,291,648,113,182,189,331,411,1190,1733,1322,905,360,1608,2607,1963,3758,1591,511,0,0,122,0,1264,"Canyon County, Idaho",1895,2006,247,124,207,732,119,179,281,259,380,719,796,869,484,212,778,1193,721,1187,683,517,204,204,209,204,679
"G1600550","2019","ID",,,"Idaho","16","Kootenai County","055",,,,,,,,,,,,,,,,,,"05000US16055","Kootenai County, Idaho",20100,19494,233,0,60,917,469,488,456,154,222,272,667,635,1464,1245,1317,2359,2413,3059,1396,1456,51,0,161,0,606,"Kootenai County, Idaho",2355,2322,253,204,107,643,513,469,401,152,236,236,582,336,651,538,756,819,990,1028,832,1227,83,204,263,204,475
"G1600830","2019","ID",,,"Idaho","16","Twin Falls County","083",,,,,,,,,,,,,,,,,,"05000US16083","Twin Falls County, Idaho",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Twin Falls County, Idaho",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G1700010","2019","IL",,,"Illinois","17","Adams County","001",,,,,,,,,,,,,,,,,,"05000US17001","Adams County, Illinois",7575,6952,170,78,109,225,100,405,86,753,445,291,546,314,454,375,664,460,519,389,66,99,0,404,0,0,623,"Adams County, Illinois",1109,1133,206,80,145,155,104,291,104,543,389,174,287,251,428,276,588,268,532,252,102,107,195,324,195,195,423
"G1700190","2019","IL",,,"Illinois","17","Champaign County","019",,,,,,,,,,,,,,,,,,"05000US17019","Champaign County, Illinois",39340,38258,286,192,310,222,461,372,495,1150,1840,2236,2586,2091,3232,2410,2740,5239,2718,5052,1762,2125,191,251,297,0,1082,"Champaign County, Illinois",3020,2937,425,220,344,365,400,371,371,787,1053,955,980,793,1160,962,1226,1392,968,1566,842,856,165,268,229,195,460
"G1700310","2019","IL",,,"Illinois","17","Cook County","031",,,,,,,,,,,,,,,,,,"05000US17031","Cook County, Illinois",860439,834376,8239,8296,16090,11849,11330,8953,5622,9974,6453,15538,17254,25920,25996,30935,36141,86115,83779,150593,90947,100648,46366,21017,11545,4776,26063,"Cook County, Illinois",10857,11018,1781,2090,2440,2181,2299,1883,1420,1744,1452,2130,2338,3135,3359,3653,3787,5880,6122,7912,5322,5915,4371,2821,2268,1538,2826
"G1700370","2019","IL",,,"Illinois","17","DeKalb County","037",,,,,,,,,,,,,,,,,,"05000US17037","DeKalb County, Illinois",16028,15759,296,182,103,25,181,194,612,124,307,550,698,411,1564,1199,1173,2492,1383,2822,887,276,128,0,40,112,269,"DeKalb County, Illinois",1584,1570,346,229,134,30,226,270,562,125,293,320,500,304,1013,841,865,849,962,989,498,284,159,195,69,97,187
"G1700430","2019","IL",,,"Illinois","17","DuPage County","043",,,,,,,,,,,,,,,,,,"05000US17043","DuPage County, Illinois",90787,87399,33,205,460,502,369,682,347,496,176,372,372,389,278,567,987,3713,10545,26155,16889,18570,3803,896,493,100,3388,"DuPage County, Illinois",4104,4072,55,206,320,348,302,290,287,465,243,252,336,332,180,320,520,1062,1954,3231,2395,1981,768,469,266,84,967
"G1700890","2019","IL",,,"Illinois","17","Kane County","089",,,,,,,,,,,,,,,,,,"05000US17089","Kane County, Illinois",46989,46469,265,539,1014,688,649,460,553,292,507,1699,393,758,834,1862,2028,5719,7108,8018,5898,5474,999,244,249,219,520,"Kane County, Illinois",3672,3691,312,497,670,488,664,419,475,319,314,816,274,589,565,756,941,1493,1809,1888,1499,1808,473,248,266,360,369
"G1700910","2019","IL",,,"Illinois","17","Kankakee County","091",,,,,,,,,,,,,,,,,,"05000US17091","Kankakee County, Illinois",13313,12828,85,119,349,215,98,108,11,614,399,469,417,1074,953,943,1296,1589,1884,1646,67,106,0,38,348,0,485,"Kankakee County, Illinois",1421,1332,63,131,238,194,158,106,18,327,245,258,290,599,429,441,614,560,664,645,79,175,195,50,358,195,317
"G1700930","2019","IL",,,"Illinois","17","Kendall County","093",,,,,,,,,,,,,,,,,,"05000US17093","Kendall County, Illinois",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kendall County, Illinois",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G1700970","2019","IL",,,"Illinois","17","Lake County","097",,,,,,,,,,,,,,,,,,"05000US17097","Lake County, Illinois",67192,65189,508,633,1199,552,597,871,141,1264,347,623,1081,1341,1330,3498,2805,4871,7121,13178,8625,9177,3170,1160,948,149,2003,"Lake County, Illinois",3738,3694,370,432,570,364,484,566,169,721,298,365,658,813,568,1257,1108,1378,1909,2073,1832,1610,936,557,503,159,616
"G1700990","2019","IL",,,"Illinois","17","LaSalle County","099",,,,,,,,,,,,,,,,,,"05000US17099","LaSalle County, Illinois",12752,11563,416,174,144,553,337,121,1007,866,276,1003,392,812,1035,832,931,1489,207,630,127,104,43,64,0,0,1189,"LaSalle County, Illinois",1494,1401,369,165,162,445,241,82,516,600,174,448,215,403,515,480,555,668,111,456,162,116,74,106,195,195,492
"G1701110","2019","IL",,,"Illinois","17","McHenry County","111",,,,,,,,,,,,,,,,,,"05000US17111","McHenry County, Illinois",22559,21192,0,70,391,44,19,65,226,0,135,682,96,477,1200,993,908,1738,2741,4717,2517,2580,820,0,459,314,1367,"McHenry County, Illinois",2302,2372,195,63,357,75,32,113,263,195,151,439,115,355,883,560,476,796,1101,1272,968,911,685,195,581,321,698
"G1701130","2019","IL",,,"Illinois","17","McLean County","113",,,,,,,,,,,,,,,,,,"05000US17113","McLean County, Illinois",23590,23027,0,141,121,70,90,283,301,1250,865,1241,2579,1832,1990,2702,1445,2238,1504,2154,703,1100,116,195,107,0,563,"McLean County, Illinois",1987,2042,195,181,199,122,106,188,339,728,467,580,933,685,690,1125,616,764,588,741,554,650,140,311,192,195,343
"G1701150","2019","IL",,,"Illinois","17","Macon County","115",,,,,,,,,,,,,,,,,,"05000US17115","Macon County, Illinois",13554,12797,280,191,105,131,129,767,806,1571,2432,2091,938,874,663,320,58,300,625,165,132,0,219,0,0,0,757,"Macon County, Illinois",1533,1475,186,129,96,106,151,364,493,584,922,829,471,507,497,254,69,237,369,170,149,195,352,195,195,195,329
"G1701190","2019","IL",,,"Illinois","17","Madison County","119",,,,,,,,,,,,,,,,,,"05000US17119","Madison County, Illinois",30035,28039,694,564,894,748,141,712,1436,1150,2096,2229,1793,2135,2875,2127,1578,2493,1311,1569,501,515,49,0,231,198,1996,"Madison County, Illinois",2455,2255,662,333,659,416,142,529,1064,566,902,948,705,898,931,750,800,1035,668,698,427,417,82,195,359,119,859
"G1701430","2019","IL",,,"Illinois","17","Peoria County","143",,,,,,,,,,,,,,,,,,"05000US17143","Peoria County, Illinois",23850,22749,360,129,914,564,284,1154,561,666,833,2749,2440,2622,2224,1454,1295,1239,1344,950,773,66,84,44,0,0,1101,"Peoria County, Illinois",1937,1928,294,156,499,416,268,631,379,339,388,804,920,885,699,721,594,568,649,548,464,108,138,74,195,195,456
"G1701610","2019","IL",,,"Illinois","17","Rock Island County","161",,,,,,,,,,,,,,,,,,"05000US17161","Rock Island County, Illinois",21177,20011,225,279,671,401,355,1472,145,759,1589,2127,1279,2725,872,1035,1250,1678,590,1125,164,776,427,0,67,0,1166,"Rock Island County, Illinois",2063,1941,194,244,439,327,258,564,165,556,772,755,673,924,414,446,511,768,388,565,191,484,412,195,111,195,557
"G1701630","2019","IL",,,"Illinois","17","St. Clair County","163",,,,,,,,,,,,,,,,,,"05000US17163","St. Clair County, Illinois",38193,35693,1395,922,1466,1917,403,762,897,3150,1660,2776,3113,2537,1948,2384,1074,1513,2412,2373,2125,578,110,121,57,0,2500,"St. Clair County, Illinois",3290,3492,920,631,968,1071,367,435,633,1288,942,1251,1725,1103,728,1115,605,603,1033,927,867,372,126,139,95,195,1054
"G1701670","2019","IL",,,"Illinois","17","Sangamon County","167",,,,,,,,,,,,,,,,,,"05000US17167","Sangamon County, Illinois",27830,26535,36,782,682,221,597,498,1112,1375,1382,1692,2880,2117,3188,2264,1567,2465,976,1362,214,561,148,362,54,0,1295,"Sangamon County, Illinois",2384,2416,58,431,490,169,395,309,616,600,564,823,930,811,1109,722,641,882,449,745,144,452,152,298,93,195,525
"G1701790","2019","IL",,,"Illinois","17","Tazewell County","179",,,,,,,,,,,,,,,,,,"05000US17179","Tazewell County, Illinois",13285,12583,261,112,45,655,471,465,581,718,767,1481,831,589,799,858,737,817,867,544,151,134,210,183,224,83,702,"Tazewell County, Illinois",1564,1539,408,137,77,431,505,465,357,462,425,737,394,308,405,578,442,439,473,475,130,187,112,238,232,135,377
"G1701830","2019","IL",,,"Illinois","17","Vermilion County","183",,,,,,,,,,,,,,,,,,"05000US17183","Vermilion County, Illinois",10097,9473,222,143,420,437,87,157,1363,982,722,1335,791,879,354,544,72,647,196,50,43,0,29,0,0,0,624,"Vermilion County, Illinois",1337,1369,191,143,236,377,99,126,600,447,456,518,342,397,215,427,92,433,216,84,71,195,47,195,195,195,429
"G1701970","2019","IL",,,"Illinois","17","Will County","197",,,,,,,,,,,,,,,,,,"05000US17197","Will County, Illinois",42714,40707,0,469,625,521,316,185,158,562,598,1573,1093,1384,1363,2287,1792,4377,4758,7313,4201,3736,2279,138,457,522,2007,"Will County, Illinois",2591,2670,195,378,482,326,344,188,112,381,411,839,617,634,657,707,707,1048,1040,1624,975,1160,1063,163,339,453,744
"G1701990","2019","IL",,,"Illinois","17","Williamson County","199",,,,,,,,,,,,,,,,,,"05000US17199","Williamson County, Illinois",7260,6537,296,110,0,276,621,134,305,345,167,466,283,512,226,654,646,1272,85,45,35,0,0,0,0,59,723,"Williamson County, Illinois",1054,998,285,179,195,255,335,77,305,392,156,267,203,352,190,420,568,606,169,76,58,195,195,195,195,106,476
"G1702010","2019","IL",,,"Illinois","17","Winnebago County","201",,,,,,,,,,,,,,,,,,"05000US17201","Winnebago County, Illinois",40206,38706,983,343,504,254,449,661,545,1546,2258,2925,3366,3297,3693,4076,2370,3475,2916,2568,1070,1006,227,64,110,0,1500,"Winnebago County, Illinois",2428,2397,542,293,281,187,299,382,282,636,921,880,966,897,986,1157,763,1067,1071,803,393,675,136,85,94,195,643
"G1800030","2019","IN",,,"Indiana","18","Allen County","003",,,,,,,,,,,,,,,,,,"05000US18003","Allen County, Indiana",44321,42843,312,323,657,524,533,659,1498,1995,3688,4833,3837,4858,3279,3072,3063,3639,1643,2712,1050,369,165,85,49,0,1478,"Allen County, Indiana",2432,2410,271,447,369,314,352,380,610,645,996,1259,804,1281,1020,946,904,910,775,990,520,336,159,139,44,201,719
"G1800050","2019","IN",,,"Indiana","18","Bartholomew County","005",,,,,,,,,,,,,,,,,,"05000US18005","Bartholomew County, Indiana",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bartholomew County, Indiana",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G1800110","2019","IN",,,"Indiana","18","Boone County","011",,,,,,,,,,,,,,,,,,"05000US18011","Boone County, Indiana",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Boone County, Indiana",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G1800190","2019","IN",,,"Indiana","18","Clark County","019",,,,,,,,,,,,,,,,,,"05000US18019","Clark County, Indiana",11149,10433,167,151,56,555,152,198,109,638,306,109,370,1401,771,1206,1338,1563,249,797,297,0,0,0,0,0,716,"Clark County, Indiana",1601,1561,240,203,92,346,161,199,86,516,220,87,289,918,420,665,1033,724,208,600,373,201,201,201,201,201,469
"G1800350","2019","IN",,,"Indiana","18","Delaware County","035",,,,,,,,,,,,,,,,,,"05000US18035","Delaware County, Indiana",17547,16621,235,452,389,70,438,485,1368,1413,970,1561,1592,2085,995,691,1090,948,729,489,300,245,76,0,0,0,926,"Delaware County, Indiana",2104,1968,297,380,244,94,417,346,777,704,505,738,679,911,545,412,647,636,442,371,380,284,93,201,201,201,724
"G1800390","2019","IN",,,"Indiana","18","Elkhart County","039",,,,,,,,,,,,,,,,,,"05000US18039","Elkhart County, Indiana",18602,17940,50,205,300,571,346,354,30,379,317,612,1284,1457,3278,2438,2097,3515,280,227,51,0,0,0,149,0,662,"Elkhart County, Indiana",2103,2097,87,235,319,404,312,371,51,333,268,413,656,807,1215,779,1020,1117,201,258,83,201,201,201,168,201,317
"G1800430","2019","IN",,,"Indiana","18","Floyd County","043",,,,,,,,,,,,,,,,,,"05000US18043","Floyd County, Indiana",7600,7284,327,124,82,292,0,138,174,204,399,379,435,703,847,908,547,532,433,702,58,0,0,0,0,0,316,"Floyd County, Indiana",986,948,280,197,99,351,201,186,269,150,228,365,282,332,412,499,327,243,284,513,74,201,201,201,201,201,244
"G1800530","2019","IN",,,"Indiana","18","Grant County","053",,,,,,,,,,,,,,,,,,"05000US18053","Grant County, Indiana",8138,7668,205,0,546,252,111,481,598,785,265,495,1290,1158,680,225,117,294,28,138,0,0,0,0,0,0,470,"Grant County, Indiana",1546,1489,305,201,497,246,107,291,395,414,252,313,634,590,511,241,132,240,47,135,201,201,201,201,201,201,423
"G1800570","2019","IN",,,"Indiana","18","Hamilton County","057",,,,,,,,,,,,,,,,,,"05000US18057","Hamilton County, Indiana",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hamilton County, Indiana",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G1800590","2019","IN",,,"Indiana","18","Hancock County","059",,,,,,,,,,,,,,,,,,"05000US18059","Hancock County, Indiana",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hancock County, Indiana",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G1800630","2019","IN",,,"Indiana","18","Hendricks County","063",,,,,,,,,,,,,,,,,,"05000US18063","Hendricks County, Indiana",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hendricks County, Indiana",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G1800670","2019","IN",,,"Indiana","18","Howard County","067",,,,,,,,,,,,,,,,,,"05000US18067","Howard County, Indiana",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Howard County, Indiana",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G1800810","2019","IN",,,"Indiana","18","Johnson County","081",,,,,,,,,,,,,,,,,,"05000US18081","Johnson County, Indiana",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Johnson County, Indiana",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G1800850","2019","IN",,,"Indiana","18","Kosciusko County","085",,,,,,,,,,,,,,,,,,"05000US18085","Kosciusko County, Indiana",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kosciusko County, Indiana",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G1800890","2019","IN",,,"Indiana","18","Lake County","089",,,,,,,,,,,,,,,,,,"05000US18089","Lake County, Indiana",59033,54657,682,439,934,1239,1088,739,829,1911,1792,3430,2627,4510,4049,3047,4055,8437,4731,6221,2304,1459,0,100,0,34,4376,"Lake County, Indiana",3340,3185,398,315,472,510,564,447,439,862,915,1103,737,1323,1231,1059,1226,1798,1230,1486,933,554,201,161,201,56,1232
"G1800910","2019","IN",,,"Indiana","18","LaPorte County","091",,,,,,,,,,,,,,,,,,"05000US18091","LaPorte County, Indiana",11853,11345,201,498,319,75,196,162,100,1194,559,1025,1022,1631,1338,783,485,1122,312,88,94,97,0,44,0,0,508,"LaPorte County, Indiana",1498,1477,204,574,359,126,317,235,105,749,395,449,686,726,647,368,279,511,249,81,82,118,201,76,201,201,381
"G1800950","2019","IN",,,"Indiana","18","Madison County","095",,,,,,,,,,,,,,,,,,"05000US18095","Madison County, Indiana",15970,14869,258,0,524,252,181,174,240,687,988,1528,2272,1851,1242,1334,750,1055,1027,448,58,0,0,0,0,0,1101,"Madison County, Indiana",1600,1496,288,201,488,165,229,132,206,340,443,579,750,837,673,692,362,660,636,282,96,201,201,201,201,201,550
"G1800970","2019","IN",,,"Indiana","18","Marion County","097",,,,,,,,,,,,,,,,,,"05000US18097","Marion County, Indiana",176823,172612,2143,2295,1261,1691,954,1548,1726,2545,4380,10428,12259,17699,17314,16243,12479,21669,16193,15484,7937,4071,1163,445,639,46,4211,"Marion County, Indiana",5395,5534,990,1137,605,731,601,764,946,793,1259,1896,2143,2558,2943,2260,2139,2987,2511,2152,1652,1078,589,433,413,77,1410
"G1801050","2019","IN",,,"Indiana","18","Monroe County","105",,,,,,,,,,,,,,,,,,"05000US18105","Monroe County, Indiana",22287,21702,228,154,169,269,47,294,47,728,658,730,878,1601,1687,1639,1190,2312,2338,3800,2004,659,197,0,0,73,585,"Monroe County, Indiana",2034,1979,274,182,219,384,71,239,70,516,422,500,530,799,688,668,558,988,892,1147,775,329,217,201,201,125,319
"G1801090","2019","IN",,,"Indiana","18","Morgan County","109",,,,,,,,,,,,,,,,,,"05000US18109","Morgan County, Indiana",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morgan County, Indiana",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G1801270","2019","IN",,,"Indiana","18","Porter County","127",,,,,,,,,,,,,,,,,,"05000US18127","Porter County, Indiana",16266,15498,354,253,207,82,0,617,0,398,0,171,510,904,1948,1343,1960,2784,836,1375,968,649,0,139,0,0,768,"Porter County, Indiana",1836,1799,317,394,199,136,201,584,201,443,201,167,345,538,808,698,797,902,439,795,563,416,201,220,201,201,561
"G1801410","2019","IN",,,"Indiana","18","St. Joseph County","141",,,,,,,,,,,,,,,,,,"05000US18141","St. Joseph County, Indiana",32607,30994,243,497,429,980,768,529,166,1818,926,2155,2131,1954,3071,2477,2890,2692,2838,2157,619,712,434,0,508,0,1613,"St. Joseph County, Indiana",2067,2064,269,485,294,525,312,331,151,705,546,769,803,667,999,719,1034,700,974,733,328,363,343,201,407,201,606
"G1801570","2019","IN",,,"Indiana","18","Tippecanoe County","157",,,,,,,,,,,,,,,,,,"05000US18157","Tippecanoe County, Indiana",34009,33019,33,234,500,11,297,102,430,1135,1809,1273,2507,2696,2401,3256,2942,3829,2758,3836,982,1622,261,38,67,0,990,"Tippecanoe County, Indiana",2138,2062,54,319,559,17,206,116,308,950,862,654,803,1028,904,1127,896,1127,1021,1135,742,726,220,64,114,201,591
"G1801630","2019","IN",,,"Indiana","18","Vanderburgh County","163",,,,,,,,,,,,,,,,,,"05000US18163","Vanderburgh County, Indiana",27307,26583,358,432,467,495,63,551,713,1620,2103,1973,1739,3221,3005,2656,1561,2128,1956,590,238,277,0,0,64,373,724,"Vanderburgh County, Indiana",2087,2105,349,278,407,301,112,581,324,626,875,638,675,1161,847,1189,756,865,1041,375,279,264,201,201,84,225,376
"G1801670","2019","IN",,,"Indiana","18","Vigo County","167",,,,,,,,,,,,,,,,,,"05000US18167","Vigo County, Indiana",15636,15089,275,57,115,451,342,333,1313,862,1279,2581,1995,1632,791,366,1035,654,168,405,142,55,84,80,74,0,547,"Vigo County, Indiana",1557,1623,325,73,128,306,292,348,852,538,751,917,833,631,465,293,502,438,184,316,175,98,151,129,127,201,346
"G1801770","2019","IN",,,"Indiana","18","Wayne County","177",,,,,,,,,,,,,,,,,,"05000US18177","Wayne County, Indiana",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wayne County, Indiana",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G1900130","2019","IA",,,"Iowa","19","Black Hawk County","013",,,,,,,,,,,,,,,,,,"05000US19013","Black Hawk County, Iowa",17366,16704,104,142,270,17,467,600,441,670,734,1232,913,1307,1976,1421,1353,1767,878,1517,251,294,177,173,0,0,662,"Black Hawk County, Iowa",1692,1545,127,222,300,30,485,397,240,440,438,646,432,441,640,663,713,635,406,624,319,230,145,168,165,165,430
