GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,O34E001,O34E002,O34E003,O34E004,O34E005,O34E006,O34E007,O34E008,O34E009,O34E010,O34E011,O34E012,O34E013,O34E014,O34E015,O34E016,O34E017,NAME_M,O34M001,O34M002,O34M003,O34M004,O34M005,O34M006,O34M007,O34M008,O34M009,O34M010,O34M011,O34M012,O34M013,O34M014,O34M015,O34M016,O34M017
"G06039496","2012","CA",,,"California","06",,,"Lake Forest city","39496",,,,,,,,,,,,,,,,"16000US0639496","Lake Forest city, California",26688,1255,349,411,511,364,1383,608,460,1438,2051,3125,3502,3694,2007,2842,2688,"Lake Forest city, California",1427,656,276,278,336,256,556,341,342,626,716,1040,814,885,662,722,699
"G06039892","2012","CA",,,"California","06",,,"Lakewood city","39892",,,,,,,,,,,,,,,,"16000US0639892","Lakewood city, California",27003,1126,699,965,483,748,767,1491,1198,840,2349,2901,4980,3612,2070,1579,1195,"Lakewood city, California",1172,416,468,414,287,373,386,612,505,353,701,789,894,702,507,398,459
"G06040130","2012","CA",,,"California","06",,,"Lancaster city","40130",,,,,,,,,,,,,,,,"16000US0640130","Lancaster city, California",46483,5127,2719,1878,2940,2048,3677,2158,2111,2437,3328,4631,5996,3004,1970,1510,949,"Lancaster city, California",1977,1186,776,646,876,713,1001,762,792,909,751,882,1125,753,652,480,425
"G06041992","2012","CA",,,"California","06",,,"Livermore city","41992",,,,,,,,,,,,,,,,"16000US0641992","Livermore city, California",29482,962,770,1101,661,1170,561,446,644,816,1050,2807,3694,4106,2643,3816,4235,"Livermore city, California",1417,482,397,542,296,597,303,248,486,452,479,824,898,1095,906,834,965
"G06043000","2012","CA",,,"California","06",,,"Long Beach city","43000",,,,,,,,,,,,,,,,"16000US0643000","Long Beach city, California",164220,13524,12204,8502,10160,7524,9440,8596,8604,6406,11966,15554,17664,11457,8934,6818,6867,"Long Beach city, California",3709,1796,1492,1368,1414,1306,1543,1402,1614,1338,1828,2038,1939,1641,1296,1335,982
"G06044000","2012","CA",,,"California","06",,,"Los Angeles city","44000",,,,,,,,,,,,,,,,"16000US0644000","Los Angeles city, California",1332587,119589,97902,84380,82657,65289,70239,62899,63627,51457,96871,117598,133113,96352,50515,58964,81135,"Los Angeles city, California",8853,5485,4165,4097,3963,3445,3639,3013,3763,3452,3909,4305,4725,4301,2844,3766,3677
"G06044574","2012","CA",,,"California","06",,,"Lynwood city","44574",,,,,,,,,,,,,,,,"16000US0644574","Lynwood city, California",14759,1505,912,549,1445,488,1014,946,1127,882,1351,1375,1591,699,489,283,103,"Lynwood city, California",879,582,367,296,436,302,445,399,502,326,494,496,477,289,326,229,98
"G06045484","2012","CA",,,"California","06",,,"Manteca city","45484",,,,,,,,,,,,,,,,"16000US0645484","Manteca city, California",23010,1492,1658,926,761,813,1215,773,1578,1197,1616,2541,2689,2453,1128,1631,539,"Manteca city, California",1244,673,892,403,372,353,507,388,578,522,703,727,746,784,411,669,350
"G06046842","2012","CA",,,"California","06",,,"Menifee city","46842",,,,,,,,,,,,,,,,"16000US0646842","Menifee city, California",27132,1416,1017,1490,1574,1125,2073,1843,1641,1297,2051,3259,4628,2221,790,517,190,"Menifee city, California",1674,562,415,466,482,411,640,638,591,634,608,889,953,532,326,270,166
"G06046898","2012","CA",,,"California","06",,,"Merced city","46898",,,,,,,,,,,,,,,,"16000US0646898","Merced city, California",25497,2960,2009,2089,2248,1820,1406,1184,696,897,2443,1814,2013,1591,1060,928,339,"Merced city, California",1357,926,642,750,676,594,517,464,363,388,760,624,834,689,460,764,235
"G06047766","2012","CA",,,"California","06",,,"Milpitas city","47766",,,,,,,,,,,,,,,,"16000US0647766","Milpitas city, California",19646,413,804,430,674,217,470,462,310,268,1029,1556,2879,2812,2073,2406,2843,"Milpitas city, California",1306,234,419,298,476,225,308,277,222,245,493,537,731,695,766,628,803
"G06048256","2012","CA",,,"California","06",,,"Mission Viejo city","48256",,,,,,,,,,,,,,,,"16000US0648256","Mission Viejo city, California",33343,1058,1573,670,905,1190,1251,764,363,522,1853,2227,4982,3719,3899,4303,4064,"Mission Viejo city, California",1615,564,701,378,348,506,522,456,285,333,503,711,965,810,925,867,878
"G06048354","2012","CA",,,"California","06",,,"Modesto city","48354",,,,,,,,,,,,,,,,"16000US0648354","Modesto city, California",69451,5459,4492,4275,3983,4522,4566,3381,3896,2864,4405,7435,8237,5392,2353,2404,1787,"Modesto city, California",2274,1220,1046,914,979,920,1134,946,957,858,900,1299,1497,1248,613,671,552
"G06049270","2012","CA",,,"California","06",,,"Moreno Valley city","49270",,,,,,,,,,,,,,,,"16000US0649270","Moreno Valley city, California",53127,3140,3064,3022,2659,2499,2740,3050,2782,2976,5726,5847,6612,4308,2268,2115,319,"Moreno Valley city, California",2425,792,809,752,751,629,803,949,729,965,1201,963,1310,920,699,678,225
"G06049670","2012","CA",,,"California","06",,,"Mountain View city","49670",,,,,,,,,,,,,,,,"16000US0649670","Mountain View city, California",32271,1244,959,1043,1481,919,393,578,1268,856,2257,2370,3785,3763,2196,3093,6066,"Mountain View city, California",1688,596,384,442,780,422,282,349,634,442,696,822,995,825,579,689,959
"G06050076","2012","CA",,,"California","06",,,"Murrieta city","50076",,,,,,,,,,,,,,,,"16000US0650076","Murrieta city, California",33478,774,893,779,1804,865,924,1240,2203,1310,3517,4412,5802,2679,2710,1431,2135,"Murrieta city, California",2053,513,642,422,1062,636,487,478,896,659,1204,1122,1558,868,714,590,937
"G06050258","2012","CA",,,"California","06",,,"Napa city","50258",,,,,,,,,,,,,,,,"16000US0650258","Napa city, California",28062,993,1462,964,1058,1002,1222,1257,1178,1532,2145,3346,4188,3142,1750,1790,1033,"Napa city, California",1156,405,445,393,407,460,449,451,509,685,681,844,820,782,456,609,367
"G06051182","2012","CA",,,"California","06",,,"Newport Beach city","51182",,,,,,,,,,,,,,,,"16000US0651182","Newport Beach city, California",36893,1699,786,818,904,890,1476,953,950,606,1392,2356,3809,4144,2225,4003,9882,"Newport Beach city, California",1679,820,384,429,460,439,786,443,436,369,520,699,1071,970,592,912,1323
"G06052526","2012","CA",,,"California","06",,,"Norwalk city","52526",,,,,,,,,,,,,,,,"16000US0652526","Norwalk city, California",27258,1494,1311,1505,760,896,1151,1236,1460,1248,2785,3502,4751,1929,1699,1092,439,"Norwalk city, California",1428,582,654,541,417,350,417,471,512,435,704,651,834,520,574,477,300
"G06053000","2012","CA",,,"California","06",,,"Oakland city","53000",,,,,,,,,,,,,,,,"16000US0653000","Oakland city, California",156482,13459,12283,10562,9112,6631,7520,7422,7313,5993,10603,12471,15820,10360,6929,9459,10545,"Oakland city, California",3228,1553,1591,1455,1413,1211,1162,1313,1371,1154,1475,1513,1916,1465,1388,1308,1265
"G06053322","2012","CA",,,"California","06",,,"Oceanside city","53322",,,,,,,,,,,,,,,,"16000US0653322","Oceanside city, California",58115,4618,2005,2447,2702,2436,2981,2221,2409,2697,4706,7131,7217,5770,3427,2699,2649,"Oceanside city, California",2555,1308,591,942,815,776,667,742,749,754,1283,1422,1382,1331,883,730,867
"G06053896","2012","CA",,,"California","06",,,"Ontario city","53896",,,,,,,,,,,,,,,,"16000US0653896","Ontario city, California",44699,2263,2770,2707,2307,1978,2204,1904,2212,3038,5258,4867,6827,3175,1447,1386,356,"Ontario city, California",2011,678,911,816,718,544,674,655,709,777,965,768,1299,774,499,482,224
"G06053980","2012","CA",,,"California","06",,,"Orange city","53980",,,,,,,,,,,,,,,,"16000US0653980","Orange city, California",42515,1859,1308,1426,1906,1395,1149,2068,1318,1187,3361,4513,7289,3826,3156,2890,3864,"Orange city, California",1628,732,564,576,675,685,545,722,526,559,788,925,1320,805,713,768,860
"G06054652","2012","CA",,,"California","06",,,"Oxnard city","54652",,,,,,,,,,,,,,,,"16000US0654652","Oxnard city, California",50282,2269,1857,1945,4012,2327,1795,2492,2541,2280,4745,5868,7232,4125,2551,2977,1266,"Oxnard city, California",1869,720,611,591,953,645,629,752,877,683,936,1263,1188,955,582,892,380
"G06055156","2012","CA",,,"California","06",,,"Palmdale city","55156",,,,,,,,,,,,,,,,"16000US0655156","Palmdale city, California",40878,3315,2576,2152,2043,2469,2005,2342,2220,1925,2914,3956,4812,3339,1982,1856,972,"Palmdale city, California",1815,800,715,613,660,644,638,779,755,609,743,984,977,796,601,609,382
"G06055282","2012","CA",,,"California","06",,,"Palo Alto city","55282",,,,,,,,,,,,,,,,"16000US0655282","Palo Alto city, California",26610,565,721,732,760,479,340,361,837,749,1390,2030,2065,2863,1410,3039,8269,"Palo Alto city, California",1205,294,340,471,414,312,236,279,541,391,611,825,631,860,537,672,1080
"G06056000","2012","CA",,,"California","06",,,"Pasadena city","56000",,,,,,,,,,,,,,,,"16000US0656000","Pasadena city, California",55992,4433,2573,2140,2950,1686,1904,2273,2355,2310,3764,5491,5948,5405,3366,3113,6281,"Pasadena city, California",2272,1152,667,676,827,654,747,770,711,1043,964,1060,1059,938,834,813,1162
"G06056700","2012","CA",,,"California","06",,,"Perris city","56700",,,,,,,,,,,,,,,,"16000US0656700","Perris city, California",15834,638,750,896,1864,881,1419,784,906,1359,2406,1314,1871,400,233,75,38,"Perris city, California",1016,290,447,543,788,723,648,374,493,613,832,568,641,349,159,88,64
"G06057456","2012","CA",,,"California","06",,,"Pittsburg city","57456",,,,,,,,,,,,,,,,"16000US0657456","Pittsburg city, California",19746,1627,1135,1231,1026,527,657,705,1203,939,2360,2100,2513,2106,771,581,265,"Pittsburg city, California",1174,661,539,515,483,280,338,358,556,466,772,898,840,618,385,248,181
"G06057792","2012","CA",,,"California","06",,,"Pleasanton city","57792",,,,,,,,,,,,,,,,"16000US0657792","Pleasanton city, California",26104,390,476,1163,788,478,880,151,636,797,846,1655,2985,3219,2956,3432,5252,"Pleasanton city, California",1023,209,359,439,405,260,507,152,353,412,514,536,855,781,751,810,954
"G06058072","2012","CA",,,"California","06",,,"Pomona city","58072",,,,,,,,,,,,,,,,"16000US0658072","Pomona city, California",38417,2967,1696,2112,3041,2454,2187,2498,1428,2644,3028,4429,4332,2259,1564,1032,746,"Pomona city, California",1480,621,616,701,762,723,547,716,526,709,777,841,881,709,569,658,433
"G06059444","2012","CA",,,"California","06",,,"Rancho Cordova city","59444",,,,,,,,,,,,,,,,"16000US0659444","Rancho Cordova city, California",24202,1520,1546,1692,1383,1051,1881,1775,1170,1025,1228,3159,2513,1919,1001,1085,254,"Rancho Cordova city, California",1474,506,541,641,465,395,714,502,531,427,541,694,677,538,326,375,158
"G06059451","2012","CA",,,"California","06",,,"Rancho Cucamonga city","59451",,,,,,,,,,,,,,,,"16000US0659451","Rancho Cucamonga city, California",52957,1857,1516,1575,2220,2016,1977,1582,2738,1892,3580,5870,8018,6337,3723,4418,3638,"Rancho Cucamonga city, California",2002,707,607,579,876,707,1019,536,1047,774,931,1286,1554,1380,884,1196,1045
"G06059920","2012","CA",,,"California","06",,,"Redding city","59920",,,,,,,,,,,,,,,,"16000US0659920","Redding city, California",35360,2310,2727,2052,2873,1878,2000,2925,1877,1742,2354,3477,3465,2258,1130,1420,872,"Redding city, California",1851,692,649,730,776,650,785,828,630,649,590,844,777,679,466,496,364
"G06059962","2012","CA",,,"California","06",,,"Redlands city","59962",,,,,,,,,,,,,,,,"16000US0659962","Redlands city, California",25137,1379,972,649,1234,787,1147,1124,1313,1012,2433,2754,2833,2908,1189,1894,1509,"Redlands city, California",1790,733,409,354,664,539,486,596,620,602,896,835,830,749,556,648,679
"G06060018","2012","CA",,,"California","06",,,"Redondo Beach city","60018",,,,,,,,,,,,,,,,"16000US0660018","Redondo Beach city, California",28628,696,1129,843,1112,500,287,961,593,572,742,2449,3274,3637,2690,3979,5164,"Redondo Beach city, California",1663,421,428,544,622,449,189,399,520,354,324,748,936,1035,934,1143,954
"G06060102","2012","CA",,,"California","06",,,"Redwood City city","60102",,,,,,,,,,,,,,,,"16000US0660102","Redwood City city, California",28871,1248,589,1058,722,1435,1564,1035,684,946,2596,2143,3471,3298,2025,2233,3824,"Redwood City city, California",1518,514,326,489,461,662,634,526,483,495,834,551,841,930,665,556,699
"G06060466","2012","CA",,,"California","06",,,"Rialto city","60466",,,,,,,,,,,,,,,,"16000US0660466","Rialto city, California",23880,1353,1587,1425,1349,1798,1430,960,1315,1279,3036,1970,3195,1410,760,747,266,"Rialto city, California",1474,504,568,544,557,657,545,396,449,612,850,608,743,422,357,373,318
"G06060620","2012","CA",,,"California","06",,,"Richmond city","60620",,,,,,,,,,,,,,,,"16000US0660620","Richmond city, California",38952,3932,2579,1206,1507,1631,2390,1611,2022,1693,4092,3847,4547,2885,1988,1233,1789,"Richmond city, California",2049,1060,745,577,607,659,788,566,811,626,1179,996,1068,883,634,467,789
"G06062000","2012","CA",,,"California","06",,,"Riverside city","62000",,,,,,,,,,,,,,,,"16000US0662000","Riverside city, California",91813,6095,5636,5515,5171,4443,4614,3922,4283,4197,7189,9808,10517,6591,4726,5412,3694,"Riverside city, California",3178,1197,1075,1282,1231,1076,881,1031,1056,1048,1302,1451,1611,1255,994,1309,1003
"G06062938","2012","CA",,,"California","06",,,"Roseville city","62938",,,,,,,,,,,,,,,,"16000US0662938","Roseville city, California",46372,1093,2068,1819,1377,1529,2118,1991,1924,1925,3876,4948,5942,6103,3376,3426,2857,"Roseville city, California",1798,494,649,668,565,691,585,650,583,584,906,975,1010,1084,733,744,716
"G06064000","2012","CA",,,"California","06",,,"Sacramento city","64000",,,,,,,,,,,,,,,,"16000US0664000","Sacramento city, California",177325,16049,13537,10144,11508,9332,6763,8708,8409,5648,14764,19907,19936,11039,8599,6779,6203,"Sacramento city, California",4031,1935,1950,1516,1568,1619,1239,1427,1488,1058,1964,2321,1956,1491,1264,1135,992
"G06064224","2012","CA",,,"California","06",,,"Salinas city","64224",,,,,,,,,,,,,,,,"16000US0664224","Salinas city, California",39429,1650,2592,2910,1817,2034,2618,1407,1789,2650,3172,5310,5335,2155,1287,1935,768,"Salinas city, California",1681,662,786,787,600,554,621,436,730,821,725,1057,1097,636,406,594,383
"G06065000","2012","CA",,,"California","06",,,"San Bernardino city","65000",,,,,,,,,,,,,,,,"16000US0665000","San Bernardino city, California",56187,6533,4663,4254,4174,3829,3715,2464,2734,2279,3987,4612,7089,2797,1793,858,406,"San Bernardino city, California",2246,1272,1002,992,902,920,894,737,829,702,902,1010,1253,832,585,365,256
"G06065042","2012","CA",,,"California","06",,,"San Buenaventura (Ventura) city","65042",,,,,,,,,,,,,,,,"16000US0665042","San Buenaventura (Ventura) city, California",40725,1210,2184,1599,2203,1315,2430,1265,1701,2169,3119,4587,5735,4280,2146,3121,1661,"San Buenaventura (Ventura) city, California",1846,586,770,662,703,491,774,579,615,689,780,883,1038,784,542,689,575
"G06066000","2012","CA",,,"California","06",,,"San Diego city","66000",,,,,,,,,,,,,,,,"16000US0666000","San Diego city, California",473842,28504,23388,17850,24439,18493,20898,19816,20861,18117,34821,42534,62616,42910,28594,38011,31990,"San Diego city, California",5552,3041,2248,1564,2807,2455,2241,2253,2240,2003,2306,3621,3801,2948,2618,2883,2887
"G06067000","2012","CA",,,"California","06",,,"San Francisco city","67000",,,,,,,,,,,,,,,,"16000US0667000","San Francisco city, California",346842,27250,23320,14652,14347,9155,11984,8465,11037,9548,20451,26404,36061,32169,22313,33461,46225,"San Francisco city, California",3718,2387,2480,1881,1630,1454,1781,1495,1693,1393,2439,2481,2885,2744,2662,3080,3664
"G06068000","2012","CA",,,"California","06",,,"San Jose city","68000",,,,,,,,,,,,,,,,"16000US0668000","San Jose city, California",310126,13821,12112,11756,11632,9793,10620,10739,12110,8994,19129,26526,38434,35676,23225,29810,35749,"San Jose city, California",4079,1616,1704,1493,1574,1533,1590,1585,1508,1544,2046,2170,2953,2397,2198,2279,2457
"G06068084","2012","CA",,,"California","06",,,"San Leandro city","68084",,,,,,,,,,,,,,,,"16000US0668084","San Leandro city, California",29828,600,1015,1001,1461,1571,1322,1803,1930,1540,2039,3730,4563,3120,1357,1514,1262,"San Leandro city, California",1745,298,486,423,623,570,619,589,656,620,627,892,943,862,502,510,527
"G06068196","2012","CA",,,"California","06",,,"San Marcos city","68196",,,,,,,,,,,,,,,,"16000US0668196","San Marcos city, California",30911,4145,1293,1543,1902,1642,1238,1105,1280,1204,2681,3452,3659,1182,1673,2016,896,"San Marcos city, California",1887,1389,663,652,804,585,606,498,632,660,1078,1100,1213,487,709,761,446
"G06068252","2012","CA",,,"California","06",,,"San Mateo city","68252",,,,,,,,,,,,,,,,"16000US0668252","San Mateo city, California",37129,1049,1692,1071,720,1502,1500,1072,2206,939,2335,3605,5520,3848,2619,2930,4521,"San Mateo city, California",1748,435,722,571,351,593,710,645,733,507,746,898,993,818,768,664,853
"G06068378","2012","CA",,,"California","06",,,"San Ramon city","68378",,,,,,,,,,,,,,,,"16000US0668378","San Ramon city, California",26506,398,85,585,396,416,508,247,849,151,1652,2123,2392,3689,2695,4843,5477,"San Ramon city, California",1131,261,98,350,386,295,390,179,591,180,839,834,875,1016,802,1009,864
"G06069000","2012","CA",,,"California","06",,,"Santa Ana city","69000",,,,,,,,,,,,,,,,"16000US0669000","Santa Ana city, California",71272,3295,3554,3471,4017,3984,3437,3793,3243,3988,7625,9068,8209,5668,3028,3057,1835,"Santa Ana city, California",2557,880,719,765,957,894,814,810,798,1007,1318,1220,1388,1042,691,892,591
"G06069070","2012","CA",,,"California","06",,,"Santa Barbara city","69070",,,,,,,,,,,,,,,,"16000US0669070","Santa Barbara city, California",34234,1752,1709,1088,915,712,2117,2398,1233,1098,2725,3152,4787,3887,1584,3043,2034,"Santa Barbara city, California",1849,652,641,471,433,352,929,881,569,503,827,873,1176,850,470,819,615
"G06069084","2012","CA",,,"California","06",,,"Santa Clara city","69084",,,,,,,,,,,,,,,,"16000US0669084","Santa Clara city, California",42493,2311,1903,962,891,1625,1093,929,1080,2357,1804,2999,4679,6328,4101,4567,4864,"Santa Clara city, California",1844,791,873,377,405,596,594,589,587,862,609,666,939,1368,1002,987,1034
"G06069088","2012","CA",,,"California","06",,,"Santa Clarita city","69088",,,,,,,,,,,,,,,,"16000US0669088","Santa Clarita city, California",58774,1832,2664,2179,1583,2231,1493,2169,1863,1269,4335,6691,8574,5353,5331,6230,4977,"Santa Clarita city, California",2061,842,790,725,546,646,435,635,674,447,938,1226,1417,935,1047,1128,967
"G06069196","2012","CA",,,"California","06",,,"Santa Maria city","69196",,,,,,,,,,,,,,,,"16000US0669196","Santa Maria city, California",26420,1772,1920,1789,1136,2130,2244,1338,1012,1026,2007,3281,3117,1735,1292,377,244,"Santa Maria city, California",1610,682,690,596,391,711,773,497,395,532,568,743,742,632,616,260,228
"G06070000","2012","CA",,,"California","06",,,"Santa Monica city","70000",,,,,,,,,,,,,,,,"16000US0670000","Santa Monica city, California",43729,2936,2862,1624,1868,866,1161,1568,1670,890,2962,3891,3949,4567,2585,4202,6128,"Santa Monica city, California",2095,747,901,692,710,452,601,874,594,403,1014,1247,922,996,762,1004,1196
"G06070098","2012","CA",,,"California","06",,,"Santa Rosa city","70098",,,,,,,,,,,,,,,,"16000US0670098","Santa Rosa city, California",62825,3191,2045,3122,3914,3065,2644,2709,4179,3461,4345,6266,8829,5835,3367,2954,2899,"Santa Rosa city, California",2135,753,637,819,1029,802,809,759,857,772,860,1174,1314,1015,829,799,778
"G06072016","2012","CA",,,"California","06",,,"Simi Valley city","72016",,,,,,,,,,,,,,,,"16000US0672016","Simi Valley city, California",42642,896,1020,934,1395,1159,1722,2090,1211,1074,2218,5349,6601,4884,3236,4250,4603,"Simi Valley city, California",1662,377,482,393,591,543,573,650,513,498,767,1175,1186,1004,728,937,1030
"G06073080","2012","CA",,,"California","06",,,"South Gate city","73080",,,,,,,,,,,,,,,,"16000US0673080","South Gate city, California",23460,1720,1600,1505,1624,1288,1372,1953,1263,1091,1712,2435,2863,1601,811,417,205,"South Gate city, California",1049,613,510,504,556,412,538,567,496,334,487,651,780,471,370,265,229
"G06073262","2012","CA",,,"California","06",,,"South San Francisco city","73262",,,,,,,,,,,,,,,,"16000US0673262","South San Francisco city, California",21417,1000,758,717,488,998,477,858,755,867,1231,2828,3187,2220,2034,1408,1591,"South San Francisco city, California",1410,531,475,439,383,546,371,472,381,513,576,740,811,777,766,590,733
"G06075000","2012","CA",,,"California","06",,,"Stockton city","75000",,,,,,,,,,,,,,,,"16000US0675000","Stockton city, California",90754,8562,8066,5914,6180,5246,5228,2866,4586,3389,7392,8374,10778,6163,1913,3858,2239,"Stockton city, California",2332,1392,1350,1138,1184,871,887,656,1019,784,1174,1402,1307,1034,545,830,630
"G06077000","2012","CA",,,"California","06",,,"Sunnyvale city","77000",,,,,,,,,,,,,,,,"16000US0677000","Sunnyvale city, California",54075,1605,743,1297,1776,1472,1432,1413,1363,1492,2137,3856,7123,8152,6165,6329,7720,"Sunnyvale city, California",2274,620,361,603,663,604,552,507,585,650,654,951,1209,1270,1133,1346,1253
"G06078120","2012","CA",,,"California","06",,,"Temecula city","78120",,,,,,,,,,,,,,,,"16000US0678120","Temecula city, California",29877,1199,311,753,945,1276,639,1345,998,869,2331,2688,6204,3986,2438,2798,1097,"Temecula city, California",1446,501,260,411,419,666,400,453,470,490,807,696,1233,922,734,835,420
"G06078582","2012","CA",,,"California","06",,,"Thousand Oaks city","78582",,,,,,,,,,,,,,,,"16000US0678582","Thousand Oaks city, California",44979,1495,1421,1479,1312,624,1545,1436,1752,1514,3327,3243,5970,4478,3949,5239,6195,"Thousand Oaks city, California",2013,771,563,546,642,312,671,663,581,569,873,822,1077,966,887,1172,1265
"G06080000","2012","CA",,,"California","06",,,"Torrance city","80000",,,,,,,,,,,,,,,,"16000US0680000","Torrance city, California",56709,3489,1583,1952,2343,2541,1109,2668,2128,2142,3802,5642,8630,5915,5001,4102,3662,"Torrance city, California",2076,1055,616,808,899,767,446,982,796,759,908,1015,1380,1304,1033,959,884
"G06080238","2012","CA",,,"California","06",,,"Tracy city","80238",,,,,,,,,,,,,,,,"16000US0680238","Tracy city, California",23332,549,409,650,1314,1061,961,1103,1060,1252,1947,2012,2794,2486,2026,2204,1504,"Tracy city, California",1279,341,339,398,581,431,465,579,454,837,721,703,717,835,809,892,554
"G06080812","2012","CA",,,"California","06",,,"Turlock city","80812",,,,,,,,,,,,,,,,"16000US0680812","Turlock city, California",23922,1387,1456,1354,1797,1028,1952,1047,1273,1030,1678,2718,2617,1388,972,1533,692,"Turlock city, California",1472,534,607,621,706,388,904,482,741,719,599,868,798,527,694,629,342
"G06080854","2012","CA",,,"California","06",,,"Tustin city","80854",,,,,,,,,,,,,,,,"16000US0680854","Tustin city, California",25315,794,818,973,1450,721,1019,1472,1523,1094,1574,2299,3708,3408,1109,1656,1697,"Tustin city, California",1627,401,570,455,515,362,533,640,528,539,599,654,964,948,642,687,573
"G06081204","2012","CA",,,"California","06",,,"Union City city","81204",,,,,,,,,,,,,,,,"16000US0681204","Union City city, California",20137,662,833,1011,680,623,501,552,536,1096,1565,1134,1959,2821,1428,2685,2051,"Union City city, California",1049,406,348,469,317,378,304,309,309,428,466,411,525,742,484,533,572
"G06081344","2012","CA",,,"California","06",,,"Upland city","81344",,,,,,,,,,,,,,,,"16000US0681344","Upland city, California",26452,1564,1580,1236,930,1567,1654,1223,1088,883,1916,2986,3120,2059,1136,2031,1479,"Upland city, California",1602,617,720,456,500,761,719,475,466,623,730,847,680,656,401,641,566
"G06081554","2012","CA",,,"California","06",,,"Vacaville city","81554",,,,,,,,,,,,,,,,"16000US0681554","Vacaville city, California",31090,1173,1839,988,1131,554,660,1310,1600,1441,1937,4250,4575,4007,1555,2009,2061,"Vacaville city, California",1522,525,604,527,464,304,345,589,740,648,618,1031,1071,881,613,504,609
"G06081666","2012","CA",,,"California","06",,,"Vallejo city","81666",,,,,,,,,,,,,,,,"16000US0681666","Vallejo city, California",39666,2693,2682,2642,1708,1704,2157,1869,2003,1377,3281,4463,5362,2569,2088,2258,810,"Vallejo city, California",1913,710,786,784,593,623,671,735,560,555,836,948,899,607,516,711,351
"G06082590","2012","CA",,,"California","06",,,"Victorville city","82590",,,,,,,,,,,,,,,,"16000US0682590","Victorville city, California",31479,4104,1136,2177,2356,1775,1326,1487,1460,1244,2271,3289,3463,2562,2347,388,94,"Victorville city, California",2030,1377,525,964,973,882,558,607,578,891,1047,1091,1173,1169,1578,342,115
"G06082954","2012","CA",,,"California","06",,,"Visalia city","82954",,,,,,,,,,,,,,,,"16000US0682954","Visalia city, California",41717,3017,3232,2396,1809,2395,1760,2565,1980,1636,4182,3964,3536,3159,2648,2579,859,"Visalia city, California",1705,816,949,674,708,755,755,860,804,603,1125,990,980,1279,880,1013,538
"G06082996","2012","CA",,,"California","06",,,"Vista city","82996",,,,,,,,,,,,,,,,"16000US0682996","Vista city, California",31892,3498,1240,1518,2007,2635,2952,1750,2263,825,2909,2836,3349,2002,1067,669,372,"Vista city, California",1665,1193,527,568,628,928,955,699,890,393,948,931,917,517,491,329,259
"G06083346","2012","CA",,,"California","06",,,"Walnut Creek city","83346",,,,,,,,,,,,,,,,"16000US0683346","Walnut Creek city, California",29359,903,949,1089,1074,1442,1769,537,822,810,2251,2560,3678,2443,2108,3001,3923,"Walnut Creek city, California",1492,502,481,531,486,564,628,304,339,394,759,767,948,569,747,812,976
"G06084200","2012","CA",,,"California","06",,,"West Covina city","84200",,,,,,,,,,,,,,,,"16000US0684200","West Covina city, California",29980,1603,787,1466,1172,1126,1189,2005,1193,1001,2494,2986,5070,3770,1817,1547,754,"West Covina city, California",1204,643,345,528,473,499,465,589,491,397,593,594,915,869,534,539,285
"G06084550","2012","CA",,,"California","06",,,"Westminster city","84550",,,,,,,,,,,,,,,,"16000US0684550","Westminster city, California",26057,1230,1228,2074,1177,1537,1638,1296,1358,1009,2181,2005,2631,1793,2157,1929,814,"Westminster city, California",1461,515,476,620,401,484,518,535,627,444,606,536,614,587,705,590,307
"G06085292","2012","CA",,,"California","06",,,"Whittier city","85292",,,,,,,,,,,,,,,,"16000US0685292","Whittier city, California",28237,1441,945,1118,1891,1143,1938,1358,1039,1152,1966,3501,3013,2532,1388,1814,1998,"Whittier city, California",1277,553,390,521,627,403,802,631,458,430,610,793,765,674,690,640,661
"G06086832","2012","CA",,,"California","06",,,"Yorba Linda city","86832",,,,,,,,,,,,,,,,"16000US0686832","Yorba Linda city, California",21886,395,282,580,488,344,336,543,544,976,986,1568,2093,3344,2752,2444,4211,"Yorba Linda city, California",1085,298,159,384,237,241,194,253,308,588,402,624,619,754,714,591,827
"G06086972","2012","CA",,,"California","06",,,"Yuba City city","86972",,,,,,,,,,,,,,,,"16000US0686972","Yuba City city, California",21338,1679,1812,1201,1364,720,903,1875,1110,583,1495,2603,2148,2058,630,639,518,"Yuba City city, California",872,595,646,480,461,346,415,543,480,299,469,789,742,637,344,413,341
"G08003455","2012","CO",,,"Colorado","08",,,"Arvada city","03455",,,,,,,,,,,,,,,,"16000US0803455","Arvada city, Colorado",45129,2537,1300,1405,1994,1714,2103,2339,2706,1925,3929,4634,6594,4486,2480,2452,2531,"Arvada city, Colorado",1781,848,465,569,622,683,600,751,755,589,714,825,1057,835,591,528,603
"G08004000","2012","CO",,,"Colorado","08",,,"Aurora city","04000",,,,,,,,,,,,,,,,"16000US0804000","Aurora city, Colorado",123327,8183,4632,5800,6924,8089,6838,6637,7457,6334,11872,14477,14077,8974,5893,4078,3062,"Aurora city, Colorado",2518,1269,942,1091,1218,1497,1175,1255,1195,1218,1772,1735,1515,1340,1115,953,892
