GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AJCTE001,AJCTE002,AJCTE003,AJCTE004,AJCTE005,AJCTE006,AJCTE007,AJCTE008,AJCTE009,AJCTE010,AJCTE011,AJCTE012,AJCTE013,AJCTE014,AJCTE015,AJCTE016,AJCTE017,NAME_M,AJCTM001,AJCTM002,AJCTM003,AJCTM004,AJCTM005,AJCTM006,AJCTM007,AJCTM008,AJCTM009,AJCTM010,AJCTM011,AJCTM012,AJCTM013,AJCTM014,AJCTM015,AJCTM016,AJCTM017
"G06073430","2018","CA",,,"California","06",,,"South Whittier CDP","73430",,,,,,,,,,,,,,,,"16000US0673430","South Whittier CDP, California",15783,683,326,308,543,304,337,545,349,713,1076,1654,2275,2412,1510,1910,838,"South Whittier CDP, California",1286,436,264,196,382,182,250,360,214,424,488,537,735,793,589,571,471
"G06075000","2018","CA",,,"California","06",,,"Stockton city","75000",,,,,,,,,,,,,,,,"16000US0675000","Stockton city, California",95557,6818,5896,4805,6347,3917,4024,4186,3566,3775,9072,9182,11557,8688,4827,5754,3143,"Stockton city, California",2477,1572,1187,1215,1229,820,898,1126,793,1096,1625,1434,2010,1397,1020,1262,731
"G06077000","2018","CA",,,"California","06",,,"Sunnyvale city","77000",,,,,,,,,,,,,,,,"16000US0677000","Sunnyvale city, California",56537,817,747,1006,960,817,750,1382,917,764,2690,3338,4279,5301,4366,7531,20872,"Sunnyvale city, California",2260,410,431,464,440,426,358,748,387,507,1000,1004,933,1112,1078,1558,1862
"G06078120","2018","CA",,,"California","06",,,"Temecula city","78120",,,,,,,,,,,,,,,,"16000US0678120","Temecula city, California",32859,819,850,356,1081,749,770,524,926,766,1899,3723,4714,4938,3006,4372,3366,"Temecula city, California",1631,468,550,279,560,434,395,349,623,411,727,1264,836,1054,712,853,793
"G06078582","2018","CA",,,"California","06",,,"Thousand Oaks city","78582",,,,,,,,,,,,,,,,"16000US0678582","Thousand Oaks city, California",44092,1912,1171,664,1130,769,1129,1021,1337,1278,1793,3311,5071,4737,3674,5831,9264,"Thousand Oaks city, California",2220,857,557,476,450,364,545,502,637,567,628,1006,1207,886,945,881,1201
"G06080000","2018","CA",,,"California","06",,,"Torrance city","80000",,,,,,,,,,,,,,,,"16000US0680000","Torrance city, California",54991,1941,801,1941,1461,1319,1289,1786,1657,1561,3290,3801,7964,7012,5298,5962,7908,"Torrance city, California",2111,749,540,903,550,582,665,808,788,720,825,759,1539,1320,1091,1195,1208
"G06080238","2018","CA",,,"California","06",,,"Tracy city","80238",,,,,,,,,,,,,,,,"16000US0680238","Tracy city, California",25793,857,129,415,536,283,299,901,1205,749,1828,2219,3716,4031,2329,2646,3650,"Tracy city, California",1411,421,125,291,268,235,209,843,697,577,719,647,964,1009,949,865,764
"G06080812","2018","CA",,,"California","06",,,"Turlock city","80812",,,,,,,,,,,,,,,,"16000US0680812","Turlock city, California",24140,1802,1349,991,1876,1426,1056,688,447,431,1756,2894,3346,2360,1718,1226,774,"Turlock city, California",1494,671,541,488,1041,746,512,404,355,301,727,804,956,800,696,672,376
"G06080854","2018","CA",,,"California","06",,,"Tustin city","80854",,,,,,,,,,,,,,,,"16000US0680854","Tustin city, California",24407,1178,316,173,765,388,638,1214,666,793,1318,3839,3556,2434,1269,2464,3396,"Tustin city, California",2505,731,229,131,402,223,432,543,445,402,667,1417,1251,611,567,738,1057
"G06081204","2018","CA",,,"California","06",,,"Union City city","81204",,,,,,,,,,,,,,,,"16000US0681204","Union City city, California",19990,218,278,175,230,295,130,388,438,265,1340,1162,2472,2804,1208,3402,5185,"Union City city, California",1021,154,233,148,167,211,99,253,273,236,560,423,624,663,361,892,861
"G06081344","2018","CA",,,"California","06",,,"Upland city","81344",,,,,,,,,,,,,,,,"16000US0681344","Upland city, California",26244,1385,979,877,1032,640,1244,598,779,881,2346,2637,3585,2664,2217,2389,1991,"Upland city, California",1329,522,512,426,473,366,652,365,511,509,804,723,899,811,653,594,468
"G06081554","2018","CA",,,"California","06",,,"Vacaville city","81554",,,,,,,,,,,,,,,,"16000US0681554","Vacaville city, California",32503,1442,534,537,820,422,1041,970,1164,800,1647,3948,4666,4341,2849,3034,4288,"Vacaville city, California",1538,681,259,349,409,433,595,467,795,395,599,981,1005,1021,753,793,867
"G06081666","2018","CA",,,"California","06",,,"Vallejo city","81666",,,,,,,,,,,,,,,,"16000US0681666","Vallejo city, California",41730,1471,1532,1568,907,950,1170,1741,1283,1750,3012,4846,7130,5058,2669,4181,2462,"Vallejo city, California",1790,604,559,551,473,466,532,617,607,656,981,1136,1302,1194,879,916,900
"G06082590","2018","CA",,,"California","06",,,"Victorville city","82590",,,,,,,,,,,,,,,,"16000US0682590","Victorville city, California",31624,2504,1792,1861,1972,1765,1683,663,2257,972,2887,3019,3037,2776,1055,1743,1638,"Victorville city, California",2331,1045,783,908,861,891,902,427,1335,626,1035,954,1353,1316,685,916,1211
"G06082954","2018","CA",,,"California","06",,,"Visalia city","82954",,,,,,,,,,,,,,,,"16000US0682954","Visalia city, California",42729,1933,1437,1636,2481,1279,2572,1388,1205,2453,4059,4179,5378,4016,2714,2699,3300,"Visalia city, California",2126,694,489,643,838,647,796,481,610,1126,1562,1079,1324,1125,1272,942,1283
"G06082996","2018","CA",,,"California","06",,,"Vista city","82996",,,,,,,,,,,,,,,,"16000US0682996","Vista city, California",30581,935,783,717,1355,812,884,1098,980,952,2740,3860,4370,3623,2213,3364,1895,"Vista city, California",1386,497,465,489,616,343,342,597,522,427,872,1088,932,792,774,877,784
"G06083346","2018","CA",,,"California","06",,,"Walnut Creek city","83346",,,,,,,,,,,,,,,,"16000US0683346","Walnut Creek city, California",31675,1128,1047,716,558,678,645,1166,1195,502,1325,1808,3440,2727,3385,3824,7531,"Walnut Creek city, California",1547,519,583,560,305,374,338,675,581,301,568,706,887,741,913,864,1035
"G06084200","2018","CA",,,"California","06",,,"West Covina city","84200",,,,,,,,,,,,,,,,"16000US0684200","West Covina city, California",30333,1107,741,1202,1337,516,971,959,1091,676,2467,2392,5216,4224,2676,2823,1935,"West Covina city, California",1437,503,393,444,648,267,348,476,478,268,643,595,905,719,688,617,426
"G06084550","2018","CA",,,"California","06",,,"Westminster city","84550",,,,,,,,,,,,,,,,"16000US0684550","Westminster city, California",27019,2149,1031,1299,1539,902,1315,1342,1177,832,1660,2114,2700,2147,1932,1958,2922,"Westminster city, California",1824,609,469,487,595,440,527,595,564,431,609,672,735,631,577,618,669
"G06085292","2018","CA",,,"California","06",,,"Whittier city","85292",,,,,,,,,,,,,,,,"16000US0685292","Whittier city, California",27672,976,813,963,1052,1040,1105,1403,1276,754,1311,2212,3488,4212,2192,2839,2036,"Whittier city, California",1443,478,367,535,522,546,461,643,518,399,528,625,903,885,782,760,507
"G06086832","2018","CA",,,"California","06",,,"Yorba Linda city","86832",,,,,,,,,,,,,,,,"16000US0686832","Yorba Linda city, California",23217,670,524,655,256,608,248,817,458,515,1240,961,2502,2106,2025,4732,4900,"Yorba Linda city, California",1062,411,327,466,201,326,235,427,379,459,669,375,807,663,615,705,843
"G06086972","2018","CA",,,"California","06",,,"Yuba City city","86972",,,,,,,,,,,,,,,,"16000US0686972","Yuba City city, California",22524,1441,1057,545,1194,1036,1317,940,1293,794,1917,2473,2802,2031,1299,1551,834,"Yuba City city, California",1124,638,529,294,641,528,647,499,553,492,727,860,705,611,584,670,445
"G08003455","2018","CO",,,"Colorado","08",,,"Arvada city","03455",,,,,,,,,,,,,,,,"16000US0803455","Arvada city, Colorado",50322,1390,870,1319,1331,1456,2138,1439,1090,1859,3983,4507,6838,6496,4595,6595,4416,"Arvada city, Colorado",2203,585,425,832,465,701,711,572,554,637,1115,1002,1379,1250,910,1075,900
"G08004000","2018","CO",,,"Colorado","08",,,"Aurora city","04000",,,,,,,,,,,,,,,,"16000US0804000","Aurora city, Colorado",133217,6711,2767,4351,5731,5307,6761,6734,6275,6490,11472,14546,20282,12939,7978,7545,7328,"Aurora city, Colorado",3047,1287,930,1159,913,1148,1355,1323,1191,1340,1750,1592,2132,1439,1345,1116,1358
"G08007850","2018","CO",,,"Colorado","08",,,"Boulder city","07850",,,,,,,,,,,,,,,,"16000US0807850","Boulder city, Colorado",43328,6055,1604,1095,1697,1595,1389,1008,1721,1129,3511,2891,4555,2869,2429,3567,6213,"Boulder city, Colorado",1758,1495,611,391,639,571,556,419,821,496,909,764,1007,627,650,936,958
"G08009280","2018","CO",,,"Colorado","08",,,"Broomfield city","09280",,,,,,,,,,,,,,,,"16000US0809280","Broomfield city, Colorado",28530,530,122,674,657,725,751,1320,1011,773,2107,3237,3188,3284,2713,3361,4077,"Broomfield city, Colorado",450,378,115,514,411,478,337,819,462,420,541,1094,768,937,701,830,670
"G08012815","2018","CO",,,"Colorado","08",,,"Centennial city","12815",,,,,,,,,,,,,,,,"16000US0812815","Centennial city, Colorado",38549,486,475,363,757,414,1112,1084,425,1265,1774,3851,5191,5050,4589,5621,6092,"Centennial city, Colorado",1587,286,281,219,391,243,400,527,199,555,587,1003,1067,866,768,908,905
"G08016000","2018","CO",,,"Colorado","08",,,"Colorado Springs city","16000",,,,,,,,,,,,,,,,"16000US0816000","Colorado Springs city, Colorado",181745,9213,6224,6410,10690,6490,8315,9086,6957,7295,13067,20226,26598,17989,11829,11184,10172,"Colorado Springs city, Colorado",2968,1576,1054,1118,1750,1422,1485,1610,1266,1559,1768,2133,2703,1746,1723,1548,1474
"G08020000","2018","CO",,,"Colorado","08",,,"Denver city","20000",,,,,,,,,,,,,,,,"16000US0820000","Denver city, Colorado",310324,18752,11621,11072,11759,13435,12158,12109,11961,9837,23118,32320,35794,28188,21095,25726,31379,"Denver city, Colorado",3035,2633,1780,1848,1783,2266,1956,1890,1675,1644,2632,3048,2662,2586,2527,2863,3012
"G08027425","2018","CO",,,"Colorado","08",,,"Fort Collins city","27425",,,,,,,,,,,,,,,,"16000US0827425","Fort Collins city, Colorado",65688,3595,2311,2240,3494,2195,2878,3082,1826,1925,6152,7910,7825,6600,4263,5140,4252,"Fort Collins city, Colorado",2490,1102,825,907,932,858,856,1099,742,665,1203,1243,1331,990,819,1032,853
"G08032155","2018","CO",,,"Colorado","08",,,"Greeley city","32155",,,,,,,,,,,,,,,,"16000US0832155","Greeley city, Colorado",37835,3036,2110,1580,1918,1049,2086,1513,1871,1221,2941,4091,5773,4060,1843,1717,1026,"Greeley city, Colorado",1649,890,868,609,673,403,790,577,703,436,899,869,1161,875,574,522,406
"G08036410","2018","CO",,,"Colorado","08",,,"Highlands Ranch CDP","36410",,,,,,,,,,,,,,,,"16000US0836410","Highlands Ranch CDP, Colorado",38394,337,359,455,377,571,864,447,740,568,1694,1998,4645,6159,4311,6240,8629,"Highlands Ranch CDP, Colorado",1606,196,255,283,303,327,500,290,506,293,669,523,893,1130,819,1068,1387
"G08043000","2018","CO",,,"Colorado","08",,,"Lakewood city","43000",,,,,,,,,,,,,,,,"16000US0843000","Lakewood city, Colorado",65918,3191,2110,2405,3105,2050,2219,2388,3293,2521,3765,8440,9220,6822,5485,4484,4420,"Lakewood city, Colorado",2396,986,795,846,966,899,797,749,877,759,792,1426,1275,1049,1045,967,902
"G08045970","2018","CO",,,"Colorado","08",,,"Longmont city","45970",,,,,,,,,,,,,,,,"16000US0845970","Longmont city, Colorado",37327,1132,1129,988,1311,1325,1680,1267,1063,1801,2046,4340,5579,4301,3543,3104,2718,"Longmont city, Colorado",1624,660,677,379,475,594,593,483,453,825,661,979,1202,862,784,797,804
"G08046465","2018","CO",,,"Colorado","08",,,"Loveland city","46465",,,,,,,,,,,,,,,,"16000US0846465","Loveland city, Colorado",30853,827,625,673,1536,926,1028,1106,1146,1566,2839,3197,4236,5293,2147,1867,1841,"Loveland city, Colorado",1377,470,456,433,718,645,490,441,554,595,991,814,1021,1324,743,732,688
"G08062000","2018","CO",,,"Colorado","08",,,"Pueblo city","62000",,,,,,,,,,,,,,,,"16000US0862000","Pueblo city, Colorado",45374,5305,3380,3221,3057,3063,1911,2391,1819,2589,3224,4571,5524,2811,1008,1003,497,"Pueblo city, Colorado",1509,1369,982,714,908,828,640,725,605,846,886,909,984,759,436,514,214
"G08077290","2018","CO",,,"Colorado","08",,,"Thornton city","77290",,,,,,,,,,,,,,,,"16000US0877290","Thornton city, Colorado",46374,2123,1341,895,1487,1317,1682,1431,1967,1412,3903,5780,7390,5939,3632,3408,2667,"Thornton city, Colorado",1827,654,670,495,771,509,710,515,787,654,870,1173,1618,1119,726,786,739
"G08083835","2018","CO",,,"Colorado","08",,,"Westminster city","83835",,,,,,,,,,,,,,,,"16000US0883835","Westminster city, Colorado",46002,1649,777,1575,1297,1213,1405,1769,2557,3272,3668,5168,5293,6162,3275,4503,2419,"Westminster city, Colorado",1795,553,437,688,620,700,576,585,777,1012,862,984,1016,1080,680,1142,640
"G09008000","2018","CT",,,"Connecticut","09",,,"Bridgeport city","08000",,,,,,,,,,,,,,,,"16000US0908000","Bridgeport city, Connecticut",51014,7438,3535,2265,1862,2763,2552,2461,2931,2118,4798,4955,5330,2690,2024,2191,1101,"Bridgeport city, Connecticut",2305,1510,1080,723,699,1059,799,882,947,717,1182,1264,1297,707,688,671,539
"G09018430","2018","CT",,,"Connecticut","09",,,"Danbury city","18430",,,,,,,,,,,,,,,,"16000US0918430","Danbury city, Connecticut",28748,1139,1214,1431,1632,775,1407,792,1596,1745,1381,2369,3614,2730,1859,2783,2281,"Danbury city, Connecticut",1726,682,689,763,859,504,615,432,649,784,481,705,860,881,633,622,588
"G09037000","2018","CT",,,"Connecticut","09",,,"Hartford city","37000",,,,,,,,,,,,,,,,"16000US0937000","Hartford city, Connecticut",46072,7498,4987,3132,3635,3437,2653,1531,2123,1372,3053,4033,3334,2087,1295,859,1043,"Hartford city, Connecticut",2266,1356,1312,811,934,1139,763,520,818,614,950,1028,768,690,609,407,494
"G09050370","2018","CT",,,"Connecticut","09",,,"New Britain city","50370",,,,,,,,,,,,,,,,"16000US0950370","New Britain city, Connecticut",27440,2317,1701,1107,2066,1572,2179,958,1415,1371,2206,2484,2734,2588,1135,943,664,"New Britain city, Connecticut",1552,764,644,521,673,639,679,404,683,668,687,744,791,724,497,408,460
"G09052000","2018","CT",,,"Connecticut","09",,,"New Haven city","52000",,,,,,,,,,,,,,,,"16000US0952000","New Haven city, Connecticut",50312,5002,6284,2856,1843,2306,3323,2153,2252,1753,3648,4947,5171,2278,1202,2569,2725,"New Haven city, Connecticut",2669,1085,1419,937,614,819,1069,800,895,703,931,1081,1262,691,431,800,763
"G09055990","2018","CT",,,"Connecticut","09",,,"Norwalk city","55990",,,,,,,,,,,,,,,,"16000US0955990","Norwalk city, Connecticut",35333,2007,880,1208,1312,1277,1334,849,1428,796,2608,3232,4333,2616,2763,3137,5553,"Norwalk city, Connecticut",1803,744,445,573,544,657,613,592,565,387,912,853,999,630,802,824,1023
"G09073000","2018","CT",,,"Connecticut","09",,,"Stamford city","73000",,,,,,,,,,,,,,,,"16000US0973000","Stamford city, Connecticut",50847,3382,1986,1521,2043,1523,1608,1714,873,1000,2709,4403,5709,3628,3481,4919,10348,"Stamford city, Connecticut",2160,1118,915,719,827,681,730,732,574,525,839,1376,1423,892,1067,1037,1254
"G09080000","2018","CT",,,"Connecticut","09",,,"Waterbury city","80000",,,,,,,,,,,,,,,,"16000US0980000","Waterbury city, Connecticut",42894,3499,4014,2682,2561,2056,3411,2487,2534,1873,2270,4107,4250,2794,1387,1884,1085,"Waterbury city, Connecticut",2174,1104,1331,991,919,879,937,763,727,703,716,1206,1072,729,550,624,523
"G10077580","2018","DE",,,"Delaware","10",,,"Wilmington city","77580",,,,,,,,,,,,,,,,"16000US1077580","Wilmington city, Delaware",29609,4520,1770,968,2018,1635,1574,1146,1145,1611,1864,3175,2370,1941,1607,1370,895,"Wilmington city, Delaware",1965,1211,642,478,752,753,753,568,498,683,759,920,768,590,612,540,352
"G11050000","2018","DC",,,"District of Columbia","11",,,"Washington city","50000",,,,,,,,,,,,,,,,"16000US1150000","Washington city, District of Columbia",287476,26780,13332,7625,7998,7778,9161,7109,8411,6921,13113,21919,30730,26516,20875,26259,52949,"Washington city, District of Columbia",2752,2560,2083,1526,1460,1338,1706,1488,2008,1525,1726,2449,2843,2358,2456,2040,2950
"G12000410","2018","FL",,,"Florida","12",,,"Alafaya CDP","00410",,,,,,,,,,,,,,,,"16000US1200410","Alafaya CDP, Florida",29235,737,1010,167,1331,345,1333,708,1591,1608,1318,5276,4226,4043,2246,1751,1545,"Alafaya CDP, Florida",3433,541,1039,274,1288,310,898,625,1019,976,711,2211,1763,1508,1043,709,1011
"G12007300","2018","FL",,,"Florida","12",,,"Boca Raton city","07300",,,,,,,,,,,,,,,,"16000US1207300","Boca Raton city, Florida",41943,3007,1192,1375,1166,1753,762,1045,1634,905,1882,3604,4241,4107,2491,5070,7709,"Boca Raton city, Florida",2448,947,751,728,512,748,373,570,623,596,744,970,1169,1012,653,903,1239
"G12007875","2018","FL",,,"Florida","12",,,"Boynton Beach city","07875",,,,,,,,,,,,,,,,"16000US1207875","Boynton Beach city, Florida",29184,1860,1337,1918,1210,1524,1552,1840,1092,1204,1951,3307,4692,1922,1328,1315,1132,"Boynton Beach city, Florida",2106,781,533,821,535,800,735,722,458,567,684,1016,1102,709,521,602,494
"G12008150","2018","FL",,,"Florida","12",,,"Brandon CDP","08150",,,,,,,,,,,,,,,,"16000US1208150","Brandon CDP, Florida",45178,2073,1411,1777,1010,2520,2959,2149,2060,1384,4353,5218,7150,4584,2159,3056,1315,"Brandon CDP, Florida",2448,869,609,832,500,1017,1006,1012,780,597,1129,1282,1624,1042,800,973,491
"G12010275","2018","FL",,,"Florida","12",,,"Cape Coral city","10275",,,,,,,,,,,,,,,,"16000US1210275","Cape Coral city, Florida",69803,5003,2284,2593,2576,2371,2998,2280,4027,4288,6347,7081,10345,7169,4527,2960,2954,"Cape Coral city, Florida",3322,1599,1362,977,1048,913,1175,862,961,1283,1378,1635,1621,1541,1213,850,750
"G12012875","2018","FL",,,"Florida","12",,,"Clearwater city","12875",,,,,,,,,,,,,,,,"16000US1212875","Clearwater city, Florida",48704,4645,2921,3816,2078,3126,2554,2045,2874,2326,3579,4441,6134,2687,2290,1681,1507,"Clearwater city, Florida",2671,1495,992,1095,782,963,861,673,891,863,759,1075,1257,741,697,617,482
"G12014400","2018","FL",,,"Florida","12",,,"Coral Springs city","14400",,,,,,,,,,,,,,,,"16000US1214400","Coral Springs city, Florida",42371,1422,1238,1250,1131,1223,1793,1479,1533,2012,3538,4407,5653,5163,2785,4234,3510,"Coral Springs city, Florida",2219,517,705,641,591,585,663,662,596,812,872,1254,1331,1268,787,998,1037
"G12016475","2018","FL",,,"Florida","12",,,"Davie town","16475",,,,,,,,,,,,,,,,"16000US1216475","Davie town, Florida",35841,2588,1025,1335,1489,680,1621,1622,1157,866,2345,3155,5703,3971,2104,3151,3029,"Davie town, Florida",1878,1010,618,715,790,455,697,794,533,457,830,966,1307,1129,793,970,928
"G12016525","2018","FL",,,"Florida","12",,,"Daytona Beach city","16525",,,,,,,,,,,,,,,,"16000US1216525","Daytona Beach city, Florida",28467,3227,1666,1727,1620,1956,1881,2420,1677,936,2815,3075,2586,1285,279,732,585,"Daytona Beach city, Florida",1969,1039,748,695,616,852,769,796,622,562,954,884,859,559,207,318,361
"G12016725","2018","FL",,,"Florida","12",,,"Deerfield Beach city","16725",,,,,,,,,,,,,,,,"16000US1216725","Deerfield Beach city, Florida",33801,2888,2745,1935,2007,1618,2335,1165,2115,2000,2937,3510,2904,1981,1052,1478,1131,"Deerfield Beach city, Florida",2368,967,1202,859,731,867,958,486,802,689,900,908,807,640,542,551,550
"G12017100","2018","FL",,,"Florida","12",,,"Delray Beach city","17100",,,,,,,,,,,,,,,,"16000US1217100","Delray Beach city, Florida",28772,2078,930,1200,1366,860,990,1151,1632,1095,2900,2937,3237,2401,1541,1673,2781,"Delray Beach city, Florida",2135,909,541,582,713,382,552,526,624,478,815,894,868,707,552,688,638
"G12017200","2018","FL",,,"Florida","12",,,"Deltona city","17200",,,,,,,,,,,,,,,,"16000US1217200","Deltona city, Florida",29694,1659,809,659,1278,1402,2198,2403,1347,1844,3283,3336,4645,2870,888,545,528,"Deltona city, Florida",1697,726,532,407,551,556,950,807,696,633,852,833,1076,859,526,415,328
"G12024000","2018","FL",,,"Florida","12",,,"Fort Lauderdale city","24000",,,,,,,,,,,,,,,,"16000US1224000","Fort Lauderdale city, Florida",75144,4985,3862,3436,4250,2475,2866,2757,3912,2978,6442,6279,6876,6443,5011,4618,7954,"Fort Lauderdale city, Florida",3654,1352,1220,1004,1220,882,849,993,1102,1024,1354,1407,1372,1460,1310,1129,1354
"G12024125","2018","FL",,,"Florida","12",,,"Fort Myers city","24125",,,,,,,,,,,,,,,,"16000US1224125","Fort Myers city, Florida",30937,2373,1730,2307,2830,1618,1882,1999,2043,1247,1779,2269,3184,1136,2113,878,1549,"Fort Myers city, Florida",2197,764,697,899,1071,657,806,763,768,614,641,754,772,447,810,433,620
"G12025175","2018","FL",,,"Florida","12",,,"Gainesville city","25175",,,,,,,,,,,,,,,,"16000US1225175","Gainesville city, Florida",45354,8075,2702,2421,3222,2293,2320,2195,1798,1320,2922,4038,4782,2881,1715,1473,1197,"Gainesville city, Florida",2918,1689,765,918,988,956,707,940,690,551,901,969,1145,819,544,572,535
"G12030000","2018","FL",,,"Florida","12",,,"Hialeah city","30000",,,,,,,,,,,,,,,,"16000US1230000","Hialeah city, Florida",72672,7647,3803,6938,5292,4919,5000,3957,2202,3030,5887,8167,7196,4231,1682,1821,900,"Hialeah city, Florida",2865,1633,867,1384,1250,1245,1326,925,823,899,1226,1445,1239,921,542,593,503
"G12032000","2018","FL",,,"Florida","12",,,"Hollywood city","32000",,,,,,,,,,,,,,,,"16000US1232000","Hollywood city, Florida",56930,2568,2109,2771,2801,3573,3049,3486,3288,2813,5648,6328,6307,3815,2178,2219,3977,"Hollywood city, Florida",2449,790,780,884,940,1073,1037,1010,974,1020,1264,1486,1274,960,722,782,866
"G12032275","2018","FL",,,"Florida","12",,,"Homestead city","32275",,,,,,,,,,,,,,,,"16000US1232275","Homestead city, Florida",18811,824,650,1694,1304,1156,1278,1604,1043,943,1547,1390,2766,1148,363,835,266,"Homestead city, Florida",1285,463,465,768,728,710,589,1006,564,592,733,759,929,491,270,625,216
"G12035000","2018","FL",,,"Florida","12",,,"Jacksonville city","35000",,,,,,,,,,,,,,,,"16000US1235000","Jacksonville city, Florida",345865,22418,15885,16964,20599,14703,17379,18072,16790,14717,30032,40017,43899,26512,15598,14951,17329,"Jacksonville city, Florida",4659,2222,2645,2394,2753,2542,2160,2133,2069,2200,3398,3686,3582,2942,2140,2290,2195
"G12035875","2018","FL",,,"Florida","12",,,"Jupiter town","35875",,,,,,,,,,,,,,,,"16000US1235875","Jupiter town, Florida",25560,713,660,560,829,830,595,836,1029,570,2161,2129,3320,3100,1628,2030,4570,"Jupiter town, Florida",1742,623,506,318,619,412,362,440,680,287,945,749,1072,967,473,756,1003
"G12036100","2018","FL",,,"Florida","12",,,"Kendall CDP","36100",,,,,,,,,,,,,,,,"16000US1236100","Kendall CDP, Florida",26705,2098,851,749,1925,640,1046,830,762,1680,1542,1687,3231,2268,2115,1889,3392,"Kendall CDP, Florida",2304,857,553,439,934,499,503,602,435,821,651,639,980,746,752,615,824
"G12036950","2018","FL",,,"Florida","12",,,"Kissimmee city","36950",,,,,,,,,,,,,,,,"16000US1236950","Kissimmee city, Florida",21606,1792,1383,2553,1562,1901,1406,1305,671,1289,1475,2875,1480,1002,424,167,321,"Kissimmee city, Florida",2322,939,783,1131,770,829,621,742,584,657,702,1062,687,590,329,217,226
"G12038250","2018","FL",,,"Florida","12",,,"Lakeland city","38250",,,,,,,,,,,,,,,,"16000US1238250","Lakeland city, Florida",41884,3626,2308,1255,2852,2905,2034,2840,2400,1562,2765,4897,5023,2966,1247,1563,1641,"Lakeland city, Florida",2197,1118,691,483,842,950,611,885,755,617,911,1108,1301,939,466,550,594
"G12039425","2018","FL",,,"Florida","12",,,"Largo city","39425",,,,,,,,,,,,,,,,"16000US1239425","Largo city, Florida",36611,1676,1662,2105,2372,3190,3133,2621,2127,1334,3447,2892,4581,2188,1557,1156,570,"Largo city, Florida",2110,592,638,726,830,844,881,1023,804,666,991,755,974,750,702,596,263
"G12039550","2018","FL",,,"Florida","12",,,"Lauderhill city","39550",,,,,,,,,,,,,,,,"16000US1239550","Lauderhill city, Florida",22398,2138,1801,2013,1755,833,1845,940,1014,1162,1727,2474,2085,941,628,779,263,"Lauderhill city, Florida",2456,758,918,818,708,464,799,567,556,632,820,1044,805,429,451,461,205
"G12039925","2018","FL",,,"Florida","12",,,"Lehigh Acres CDP","39925",,,,,,,,,,,,,,,,"16000US1239925","Lehigh Acres CDP, Florida",36649,2315,2258,1311,2386,1881,2262,2135,2441,1894,3532,4843,4163,2661,1257,713,597,"Lehigh Acres CDP, Florida",2300,789,790,688,740,741,760,787,961,593,881,1026,1115,819,483,403,353
"G12043975","2018","FL",,,"Florida","12",,,"Melbourne city","43975",,,,,,,,,,,,,,,,"16000US1243975","Melbourne city, Florida",30349,1784,3485,2134,1566,1378,848,1430,1461,1305,2316,2465,3811,2458,1797,951,1160,"Melbourne city, Florida",2340,714,1068,767,789,613,383,764,562,532,703,790,1196,793,870,413,447
"G12045000","2018","FL",,,"Florida","12",,,"Miami city","45000",,,,,,,,,,,,,,,,"16000US1245000","Miami city, Florida",182631,23880,10948,13120,14255,10010,9044,7026,6904,7642,13641,14667,16082,10304,5537,8689,10882,"Miami city, Florida",4578,2847,2211,2277,2565,1734,1853,1699,1561,1819,2298,2012,2315,1569,1259,2220,1788
"G12045025","2018","FL",,,"Florida","12",,,"Miami Beach city","45025",,,,,,,,,,,,,,,,"16000US1245025","Miami Beach city, Florida",45523,4368,2341,1991,2134,2140,1172,2552,1973,1635,3869,4020,4941,3364,1295,2087,5641,"Miami Beach city, Florida",2509,1155,813,829,909,1095,566,1146,802,736,871,1022,1346,951,496,565,1045
"G12045060","2018","FL",,,"Florida","12",,,"Miami Gardens city","45060",,,,,,,,,,,,,,,,"16000US1245060","Miami Gardens city, Florida",30797,2726,1260,1700,2439,2053,970,1753,1893,2066,2876,3616,3344,1929,655,1162,355,"Miami Gardens city, Florida",1918,845,532,783,825,811,426,836,705,856,1049,1044,956,952,344,618,273
"G12045975","2018","FL",,,"Florida","12",,,"Miramar city","45975",,,,,,,,,,,,,,,,"16000US1245975","Miramar city, Florida",38080,1930,451,432,559,1124,850,1135,3346,2972,4024,4047,5647,4636,3194,1393,2340,"Miramar city, Florida",2250,783,325,322,538,654,565,750,1616,1138,1454,1208,1615,1297,1068,706,947
"G12049675","2018","FL",,,"Florida","12",,,"North Port city","49675",,,,,,,,,,,,,,,,"16000US1249675","North Port city, Florida",25687,1149,627,550,889,1278,1015,927,560,828,3434,3444,4965,1810,2113,932,1166,"North Port city, Florida",1901,923,480,407,561,780,687,706,403,562,1617,1494,1768,1098,1135,591,738
"G12053000","2018","FL",,,"Florida","12",,,"Orlando city","53000",,,,,,,,,,,,,,,,"16000US1253000","Orlando city, Florida",114176,8966,5978,5840,5779,6586,6868,5761,4664,3619,9332,14601,11560,7598,3784,5321,7919,"Orlando city, Florida",4361,1932,1617,1492,1435,1561,1692,1464,1536,1278,1757,2379,2095,1649,1116,1280,1288
