GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,RNGE001,RNGE002,RNGE003,RNGE004,RNGE005,RNGE006,RNGE007,RNGE008,RNGE009,RNGE010,RNGE011,RNGE012,RNGE013,RNGE014,RNGE015,RNGE016,RNGE017,NAME_M,RNGM001,RNGM002,RNGM003,RNGM004,RNGM005,RNGM006,RNGM007,RNGM008,RNGM009,RNGM010,RNGM011,RNGM012,RNGM013,RNGM014,RNGM015,RNGM016,RNGM017
"G1901450","2005-2009","IA",,,"Iowa","19","Page County","145",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19145","Page County, Iowa",6459,381,569,422,560,354,454,390,447,298,546,799,745,224,86,86,98,"Page County, Iowa",501,109,135,105,129,109,122,87,113,126,95,154,142,69,44,44,50
"G1901470","2005-2009","IA",,,"Iowa","19","Palo Alto County","147",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19147","Palo Alto County, Iowa",4048,398,353,307,192,297,289,209,223,201,424,346,380,218,92,85,34,"Palo Alto County, Iowa",207,134,126,96,53,86,95,50,89,59,84,72,80,63,47,41,24
"G1901490","2005-2009","IA",,,"Iowa","19","Plymouth County","149",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19149","Plymouth County, Iowa",9761,369,401,578,516,497,481,519,413,597,1123,1197,1427,686,308,284,365,"Plymouth County, Iowa",229,88,96,152,113,123,141,132,102,170,178,143,190,111,79,79,93
"G1901510","2005-2009","IA",,,"Iowa","19","Pocahontas County","151",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19151","Pocahontas County, Iowa",3470,225,224,221,283,251,263,221,209,170,370,348,388,162,77,36,22,"Pocahontas County, Iowa",130,58,55,60,94,68,60,66,61,59,67,59,68,47,30,21,14
"G1901530","2005-2009","IA",,,"Iowa","19","Polk County","153",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19153","Polk County, Iowa",170313,8539,7859,7583,9555,8172,8558,8915,8816,8005,15201,20404,24008,14919,7467,6191,6121,"Polk County, Iowa",1098,574,606,625,804,621,607,572,589,656,800,803,831,709,544,444,473
"G1901550","2005-2009","IA",,,"Iowa","19","Pottawattamie County","155",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19155","Pottawattamie County, Iowa",36644,2367,2085,1945,1742,2138,2268,2117,2046,1872,3159,4472,5059,2659,1330,748,637,"Pottawattamie County, Iowa",510,281,221,267,215,296,303,294,258,255,230,422,434,249,185,137,145
"G1901570","2005-2009","IA",,,"Iowa","19","Poweshiek County","157",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19157","Poweshiek County, Iowa",7716,588,518,312,436,472,404,501,347,265,681,972,1025,497,316,191,191,"Poweshiek County, Iowa",342,146,126,88,112,107,119,120,83,75,128,140,161,120,85,73,67
"G1901590","2005-2009","IA",,,"Iowa","19","Ringgold County","159",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19159","Ringgold County, Iowa",2177,137,204,150,161,122,117,135,107,80,306,185,264,152,20,11,26,"Ringgold County, Iowa",117,48,64,49,47,42,48,47,39,31,81,47,70,50,18,9,23
"G1901610","2005-2009","IA",,,"Iowa","19","Sac County","161",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19161","Sac County, Iowa",4668,365,276,351,220,431,370,281,257,191,610,456,387,260,72,66,75,"Sac County, Iowa",150,86,67,84,75,76,80,69,53,50,95,73,77,61,32,26,29
"G1901630","2005-2009","IA",,,"Iowa","19","Scott County","163",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19163","Scott County, Iowa",65629,4641,3274,3538,3634,3398,3853,3358,3576,3132,5845,6691,9005,4747,2647,2234,2056,"Scott County, Iowa",688,534,319,363,362,383,388,345,347,317,452,443,641,331,317,250,281
"G1901650","2005-2009","IA",,,"Iowa","19","Shelby County","165",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19165","Shelby County, Iowa",4914,318,222,313,357,356,310,406,290,362,398,530,567,224,111,111,39,"Shelby County, Iowa",150,77,68,75,90,93,81,98,83,103,87,92,95,65,51,50,31
"G1901670","2005-2009","IA",,,"Iowa","19","Sioux County","167",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19167","Sioux County, Iowa",11211,591,556,605,509,613,747,681,760,637,1291,1533,1493,607,209,174,205,"Sioux County, Iowa",212,120,107,127,108,103,149,123,137,104,175,159,169,110,73,68,59
"G1901690","2005-2009","IA",,,"Iowa","19","Story County","169",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19169","Story County, Iowa",32053,3046,2086,2129,1812,1901,1742,1607,1541,1350,2402,3025,4122,2219,1296,1069,706,"Story County, Iowa",586,387,379,305,288,256,302,237,241,231,302,327,305,216,171,159,139
"G1901710","2005-2009","IA",,,"Iowa","19","Tama County","171",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19171","Tama County, Iowa",7213,376,390,396,581,503,415,504,397,373,683,1075,778,413,117,87,125,"Tama County, Iowa",160,78,88,105,118,84,91,94,85,76,107,135,117,77,44,31,51
"G1901730","2005-2009","IA",,,"Iowa","19","Taylor County","173",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19173","Taylor County, Iowa",2798,273,193,186,247,206,182,203,185,138,259,244,243,106,49,51,33,"Taylor County, Iowa",93,49,45,50,57,52,44,52,48,36,73,46,62,38,31,32,22
"G1901750","2005-2009","IA",,,"Iowa","19","Union County","175",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19175","Union County, Iowa",5328,520,472,358,322,240,398,239,350,245,549,571,650,233,91,81,9,"Union County, Iowa",168,135,113,117,84,76,108,77,96,91,123,105,135,74,40,41,14
"G1901770","2005-2009","IA",,,"Iowa","19","Van Buren County","177",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19177","Van Buren County, Iowa",3088,276,243,149,174,240,191,179,196,184,324,422,270,124,40,30,46,"Van Buren County, Iowa",142,75,76,44,67,79,52,53,60,61,76,72,67,44,32,23,27
"G1901790","2005-2009","IA",,,"Iowa","19","Wapello County","179",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19179","Wapello County, Iowa",14989,1162,1292,1021,1167,1143,1006,1014,720,768,1360,1381,1366,773,379,190,247,"Wapello County, Iowa",332,185,196,161,195,173,178,188,160,171,183,214,201,172,118,85,106
"G1901810","2005-2009","IA",,,"Iowa","19","Warren County","181",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19181","Warren County, Iowa",16409,662,656,675,639,816,908,660,816,609,1667,2020,2764,1662,692,612,551,"Warren County, Iowa",223,141,152,122,150,163,141,133,147,119,228,227,277,240,114,143,118
"G1901830","2005-2009","IA",,,"Iowa","19","Washington County","183",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19183","Washington County, Iowa",8338,580,424,523,478,490,411,380,430,429,816,1294,1105,487,265,160,66,"Washington County, Iowa",170,153,84,110,117,112,100,101,90,105,134,191,155,99,89,58,36
"G1901850","2005-2009","IA",,,"Iowa","19","Wayne County","185",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19185","Wayne County, Iowa",2938,252,270,282,221,242,189,217,167,176,281,309,218,62,24,10,18,"Wayne County, Iowa",97,54,68,63,45,59,43,57,56,51,64,65,51,23,16,9,15
"G1901870","2005-2009","IA",,,"Iowa","19","Webster County","187",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19187","Webster County, Iowa",16023,1357,1090,1182,1042,985,1096,1084,884,788,1460,1732,1697,729,446,246,205,"Webster County, Iowa",422,278,243,218,193,155,193,212,140,142,255,257,210,155,121,77,64
"G1901890","2005-2009","IA",,,"Iowa","19","Winnebago County","189",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19189","Winnebago County, Iowa",4671,338,387,366,347,274,257,389,271,124,505,533,552,136,101,61,30,"Winnebago County, Iowa",240,89,106,73,102,79,69,111,86,57,94,115,102,43,50,30,29
"G1901910","2005-2009","IA",,,"Iowa","19","Winneshiek County","191",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19191","Winneshiek County, Iowa",7934,447,432,478,436,441,454,473,501,325,883,908,1056,540,135,242,183,"Winneshiek County, Iowa",275,94,91,102,109,90,91,109,111,83,175,126,138,95,56,92,75
"G1901930","2005-2009","IA",,,"Iowa","19","Woodbury County","193",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19193","Woodbury County, Iowa",39106,2652,2927,2672,2399,2288,2294,2377,2090,2275,3863,4309,4316,2333,937,884,490,"Woodbury County, Iowa",595,305,382,316,273,276,321,233,284,300,396,365,369,251,166,195,120
"G1901950","2005-2009","IA",,,"Iowa","19","Worth County","195",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19195","Worth County, Iowa",3255,135,236,197,130,276,161,129,163,207,372,525,300,170,94,67,93,"Worth County, Iowa",100,44,69,52,48,72,50,49,61,54,75,99,72,55,48,38,49
"G1901970","2005-2009","IA",,,"Iowa","19","Wright County","197",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US19197","Wright County, Iowa",5590,292,504,326,399,474,279,406,276,340,463,661,630,281,96,74,89,"Wright County, Iowa",212,89,112,84,88,104,72,95,77,98,105,148,125,84,51,40,49
"G2000010","2005-2009","KS",,,"Kansas","20","Allen County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20001","Allen County, Kansas",5732,482,421,402,496,405,398,319,390,345,446,685,527,249,87,57,23,"Allen County, Kansas",187,110,121,96,130,109,102,94,99,100,108,118,120,68,48,30,20
"G2000030","2005-2009","KS",,,"Kansas","20","Anderson County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20003","Anderson County, Kansas",3115,163,252,169,235,201,263,265,204,202,373,308,229,120,63,31,37,"Anderson County, Kansas",158,73,92,73,82,74,81,97,77,86,102,130,81,52,40,33,37
"G2000050","2005-2009","KS",,,"Kansas","20","Atchison County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20005","Atchison County, Kansas",6137,454,452,374,500,503,212,377,191,306,716,709,755,301,113,48,126,"Atchison County, Kansas",262,166,115,129,135,127,86,107,87,86,144,161,149,123,66,39,72
"G2000070","2005-2009","KS",,,"Kansas","20","Barber County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20007","Barber County, Kansas",2301,212,199,187,140,150,149,167,119,70,265,226,225,85,16,45,46,"Barber County, Kansas",164,74,63,50,66,54,54,68,51,36,76,71,49,37,12,29,24
"G2000090","2005-2009","KS",,,"Kansas","20","Barton County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20009","Barton County, Kansas",11585,907,692,647,863,830,584,944,894,533,1185,1235,1197,543,194,188,149,"Barton County, Kansas",350,186,183,137,197,151,137,197,169,151,215,211,164,124,64,71,68
"G2000110","2005-2009","KS",,,"Kansas","20","Bourbon County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20011","Bourbon County, Kansas",6013,552,549,369,547,357,511,359,362,257,621,620,462,295,47,50,55,"Bourbon County, Kansas",274,126,147,125,136,96,152,94,120,85,139,156,117,94,33,32,35
"G2000130","2005-2009","KS",,,"Kansas","20","Brown County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20013","Brown County, Kansas",4162,419,319,397,390,181,232,340,265,186,358,354,387,166,46,51,71,"Brown County, Kansas",166,94,82,93,92,48,66,78,63,58,70,83,81,61,32,30,44
"G2000150","2005-2009","KS",,,"Kansas","20","Butler County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20015","Butler County, Kansas",23850,1092,1078,1241,1021,1039,1514,1417,1202,1108,2076,2758,3513,2340,983,830,638,"Butler County, Kansas",381,201,169,280,182,175,222,237,213,217,262,227,354,274,178,155,135
"G2000170","2005-2009","KS",,,"Kansas","20","Chase County","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20017","Chase County, Kansas",1179,79,100,83,97,112,50,41,57,56,127,162,125,41,13,19,17,"Chase County, Kansas",94,40,48,36,35,41,30,22,32,30,44,48,50,29,13,26,17
"G2000190","2005-2009","KS",,,"Kansas","20","Chautauqua County","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20019","Chautauqua County, Kansas",1659,137,148,95,142,120,183,79,80,132,142,117,97,57,57,50,23,"Chautauqua County, Kansas",132,42,46,38,56,40,58,38,30,57,44,39,36,32,36,29,17
"G2000210","2005-2009","KS",,,"Kansas","20","Cherokee County","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20021","Cherokee County, Kansas",8824,838,831,826,565,676,449,596,560,610,662,894,831,211,115,40,120,"Cherokee County, Kansas",296,204,166,177,147,179,117,147,119,138,147,198,157,80,86,26,68
"G2000230","2005-2009","KS",,,"Kansas","20","Cheyenne County","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20023","Cheyenne County, Kansas",1368,158,192,152,110,70,44,91,58,64,78,143,124,38,20,26,0,"Cheyenne County, Kansas",70,43,47,47,45,27,22,37,26,28,35,45,40,30,13,21,109
"G2000250","2005-2009","KS",,,"Kansas","20","Clark County","025",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20025","Clark County, Kansas",929,55,80,85,79,65,89,61,42,31,54,86,61,83,15,20,23,"Clark County, Kansas",103,27,35,31,41,32,33,35,19,21,41,36,29,30,11,15,15
"G2000270","2005-2009","KS",,,"Kansas","20","Clay County","027",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20027","Clay County, Kansas",3687,176,166,357,392,318,212,299,134,180,380,348,356,143,101,90,35,"Clay County, Kansas",190,97,67,124,155,115,89,116,54,88,105,100,85,56,73,57,32
"G2000290","2005-2009","KS",,,"Kansas","20","Cloud County","029",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20029","Cloud County, Kansas",4120,379,432,398,407,305,225,232,235,292,268,455,293,134,38,3,24,"Cloud County, Kansas",293,112,114,108,96,113,76,64,83,75,69,99,79,49,29,5,29
"G2000310","2005-2009","KS",,,"Kansas","20","Coffey County","031",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20031","Coffey County, Kansas",3356,204,256,194,149,251,135,163,235,154,402,356,442,234,74,91,16,"Coffey County, Kansas",213,72,81,61,48,74,56,55,63,49,94,73,84,56,27,38,12
"G2000330","2005-2009","KS",,,"Kansas","20","Comanche County","033",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20033","Comanche County, Kansas",901,42,72,79,108,32,77,28,80,29,117,56,94,37,11,3,36,"Comanche County, Kansas",98,24,33,32,50,21,38,19,35,21,23,34,49,26,15,5,34
"G2000350","2005-2009","KS",,,"Kansas","20","Cowley County","035",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20035","Cowley County, Kansas",13575,958,1108,920,996,904,878,993,684,771,1108,1256,1603,733,269,254,140,"Cowley County, Kansas",400,191,214,172,213,169,154,199,117,159,182,182,235,125,73,95,62
"G2000370","2005-2009","KS",,,"Kansas","20","Crawford County","037",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20037","Crawford County, Kansas",15917,2172,1565,1009,1143,1087,1187,1107,829,681,1153,1261,1356,641,328,225,173,"Crawford County, Kansas",439,281,263,226,246,212,236,210,173,169,174,174,199,155,94,98,64
"G2000390","2005-2009","KS",,,"Kansas","20","Decatur County","039",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20039","Decatur County, Kansas",1526,138,143,158,144,120,72,139,104,88,76,81,168,77,6,6,6,"Decatur County, Kansas",89,60,55,61,51,47,31,60,48,40,37,29,52,46,11,11,8
"G2000410","2005-2009","KS",,,"Kansas","20","Dickinson County","041",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20041","Dickinson County, Kansas",7639,528,519,458,496,436,353,487,519,420,767,822,1177,364,167,82,44,"Dickinson County, Kansas",248,129,115,102,117,107,109,101,130,108,150,137,127,85,59,47,29
"G2000430","2005-2009","KS",,,"Kansas","20","Doniphan County","043",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20043","Doniphan County, Kansas",3057,236,236,188,246,198,195,220,199,209,267,278,295,162,45,49,34,"Doniphan County, Kansas",120,49,49,50,64,47,48,45,52,47,48,53,44,37,16,22,17
"G2000450","2005-2009","KS",,,"Kansas","20","Douglas County","045",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20045","Douglas County, Kansas",43434,4947,2549,2759,2509,2038,2438,2613,1918,2049,3368,3999,4951,3009,1578,1341,1368,"Douglas County, Kansas",729,541,362,359,340,306,349,365,290,312,351,320,399,289,212,202,220
"G2000470","2005-2009","KS",,,"Kansas","20","Edwards County","047",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20047","Edwards County, Kansas",1379,89,106,139,74,138,107,81,52,51,113,137,129,55,47,22,39,"Edwards County, Kansas",164,40,36,67,38,63,37,29,20,24,42,42,33,24,28,16,23
"G2000490","2005-2009","KS",,,"Kansas","20","Elk County","049",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20049","Elk County, Kansas",1372,100,141,176,133,93,117,81,106,33,101,103,95,25,9,30,29,"Elk County, Kansas",137,37,50,59,52,29,46,33,56,23,39,36,43,20,8,32,28
"G2000510","2005-2009","KS",,,"Kansas","20","Ellis County","051",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20051","Ellis County, Kansas",11378,1203,839,715,931,699,686,432,473,790,871,1155,1210,629,247,212,286,"Ellis County, Kansas",413,284,218,150,206,176,180,151,150,190,182,196,192,148,89,76,95
"G2000530","2005-2009","KS",,,"Kansas","20","Ellsworth County","053",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20053","Ellsworth County, Kansas",2668,159,177,122,154,192,224,164,204,139,248,301,298,130,66,52,38,"Ellsworth County, Kansas",146,50,58,41,48,60,69,70,67,59,73,74,67,47,38,31,25
"G2000550","2005-2009","KS",,,"Kansas","20","Finney County","055",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20055","Finney County, Kansas",12269,617,594,535,655,771,895,617,860,770,1178,1513,1565,693,493,270,243,"Finney County, Kansas",398,179,179,148,155,186,233,182,213,193,196,255,281,194,201,120,96
"G2000570","2005-2009","KS",,,"Kansas","20","Ford County","057",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20057","Ford County, Kansas",10967,945,523,496,662,901,825,553,499,781,1113,1427,1258,457,204,175,148,"Ford County, Kansas",332,209,140,176,170,212,207,138,159,169,180,227,224,143,84,79,58
"G2000590","2005-2009","KS",,,"Kansas","20","Franklin County","059",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20059","Franklin County, Kansas",10244,544,576,640,449,845,680,512,615,453,949,1353,1509,666,198,177,78,"Franklin County, Kansas",297,158,148,149,121,209,167,177,136,118,194,216,235,141,70,89,48
"G2000610","2005-2009","KS",,,"Kansas","20","Geary County","061",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20061","Geary County, Kansas",10457,810,490,707,555,729,735,619,842,552,1015,1065,1287,535,289,94,133,"Geary County, Kansas",324,209,150,203,170,208,183,185,225,139,197,187,185,129,119,59,68
"G2000630","2005-2009","KS",,,"Kansas","20","Gove County","063",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20063","Gove County, Kansas",1151,49,67,68,135,65,156,62,61,97,95,110,102,52,8,8,16,"Gove County, Kansas",96,21,49,21,38,20,57,24,33,28,28,28,34,21,7,8,10
"G2000650","2005-2009","KS",,,"Kansas","20","Graham County","065",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20065","Graham County, Kansas",1287,92,160,66,49,88,96,86,77,79,93,173,117,55,21,9,26,"Graham County, Kansas",73,35,56,23,19,28,40,29,30,31,28,52,44,24,15,8,23
"G2000670","2005-2009","KS",,,"Kansas","20","Grant County","067",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20067","Grant County, Kansas",2775,142,191,75,164,174,70,83,201,108,351,190,642,195,52,82,55,"Grant County, Kansas",151,92,102,56,86,95,48,70,103,78,156,86,164,77,40,59,44
"G2000690","2005-2009","KS",,,"Kansas","20","Gray County","069",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20069","Gray County, Kansas",2014,93,60,102,145,147,192,77,112,107,226,257,205,146,67,47,31,"Gray County, Kansas",72,43,25,32,54,44,58,28,43,37,48,51,53,42,28,19,19
"G2000710","2005-2009","KS",,,"Kansas","20","Greeley County","071",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20071","Greeley County, Kansas",537,31,19,6,30,54,16,56,22,44,38,72,85,16,8,21,19,"Greeley County, Kansas",75,22,12,9,14,20,14,52,16,24,22,29,32,10,8,14,15
"G2000730","2005-2009","KS",,,"Kansas","20","Greenwood County","073",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20073","Greenwood County, Kansas",3172,208,249,264,290,287,243,241,118,191,251,374,263,126,16,32,19,"Greenwood County, Kansas",168,72,79,88,83,81,79,77,54,82,68,88,84,62,12,28,15
"G2000750","2005-2009","KS",,,"Kansas","20","Hamilton County","075",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20075","Hamilton County, Kansas",1131,95,40,94,160,80,113,77,46,80,115,76,91,39,18,7,0,"Hamilton County, Kansas",159,49,32,55,68,44,53,40,28,39,50,39,40,30,18,8,109
"G2000770","2005-2009","KS",,,"Kansas","20","Harper County","077",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20077","Harper County, Kansas",2674,203,254,218,171,175,225,151,242,92,182,259,237,122,104,11,28,"Harper County, Kansas",201,66,74,64,49,77,66,50,69,38,59,75,62,51,37,11,20
"G2000790","2005-2009","KS",,,"Kansas","20","Harvey County","079",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20079","Harvey County, Kansas",13216,682,892,740,875,613,1040,582,732,801,1190,1563,1778,940,345,243,200,"Harvey County, Kansas",398,155,184,176,214,168,194,128,173,169,206,212,227,209,89,92,85
"G2000810","2005-2009","KS",,,"Kansas","20","Haskell County","081",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20081","Haskell County, Kansas",1383,99,74,36,59,104,107,41,122,12,139,163,222,90,29,14,72,"Haskell County, Kansas",73,43,27,19,28,37,44,22,46,9,48,52,48,33,18,12,45
"G2000830","2005-2009","KS",,,"Kansas","20","Hodgeman County","083",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20083","Hodgeman County, Kansas",870,34,92,82,45,71,27,62,63,69,57,88,97,48,28,4,3,"Hodgeman County, Kansas",56,24,33,38,19,36,14,27,33,33,24,25,39,24,25,6,5
"G2000850","2005-2009","KS",,,"Kansas","20","Jackson County","085",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20085","Jackson County, Kansas",4984,343,221,207,294,262,281,294,284,209,566,532,821,334,174,127,35,"Jackson County, Kansas",246,99,66,66,97,68,78,81,82,63,103,122,119,80,71,55,25
"G2000870","2005-2009","KS",,,"Kansas","20","Jefferson County","087",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20087","Jefferson County, Kansas",7546,246,284,435,287,481,375,477,400,357,766,1135,1233,556,277,110,127,"Jefferson County, Kansas",227,84,98,118,84,108,118,109,100,101,169,180,194,129,81,57,75
"G2000890","2005-2009","KS",,,"Kansas","20","Jewell County","089",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20089","Jewell County, Kansas",1574,129,114,116,130,120,131,118,66,75,117,222,172,41,1,5,17,"Jewell County, Kansas",65,26,38,32,34,41,49,34,21,28,35,56,41,17,3,7,12
"G2000910","2005-2009","KS",,,"Kansas","20","Johnson County","091",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20091","Johnson County, Kansas",201911,5879,5285,5581,6386,7793,8295,8481,8536,7907,15863,23012,31737,22796,14055,15789,14516,"Johnson County, Kansas",1098,513,485,435,522,599,617,584,568,655,899,978,876,899,685,717,667
"G2000930","2005-2009","KS",,,"Kansas","20","Kearny County","093",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20093","Kearny County, Kansas",1529,66,45,174,83,150,137,74,109,74,166,104,199,84,35,13,16,"Kearny County, Kansas",87,50,27,80,41,60,60,41,62,43,66,52,64,42,26,14,16
"G2000950","2005-2009","KS",,,"Kansas","20","Kingman County","095",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20095","Kingman County, Kansas",3400,138,163,245,212,246,165,353,221,134,280,461,420,244,45,44,29,"Kingman County, Kansas",255,57,70,104,71,104,113,117,97,64,77,121,94,95,35,26,25
"G2000970","2005-2009","KS",,,"Kansas","20","Kiowa County","097",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20097","Kiowa County, Kansas",1026,52,55,106,69,54,91,111,59,68,85,98,97,40,22,11,8,"Kiowa County, Kansas",229,43,32,58,35,25,40,51,25,30,32,44,29,24,17,9,7
"G2000990","2005-2009","KS",,,"Kansas","20","Labette County","099",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20099","Labette County, Kansas",9144,1055,655,643,631,767,545,530,606,430,723,1051,857,357,124,71,99,"Labette County, Kansas",377,198,121,147,134,146,154,120,131,112,138,185,162,108,70,46,54
"G2001010","2005-2009","KS",,,"Kansas","20","Lane County","101",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20101","Lane County, Kansas",749,79,53,34,71,32,45,57,45,38,77,90,56,22,20,16,14,"Lane County, Kansas",89,37,31,18,38,19,28,29,24,36,36,30,26,13,11,10,9
"G2001030","2005-2009","KS",,,"Kansas","20","Leavenworth County","103",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20103","Leavenworth County, Kansas",25426,1471,1091,769,1376,1204,1162,1266,1248,1083,2153,2934,3789,2780,1434,1057,609,"Leavenworth County, Kansas",453,224,241,204,255,220,221,232,243,221,256,371,323,332,209,168,135
"G2001050","2005-2009","KS",,,"Kansas","20","Lincoln County","105",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20105","Lincoln County, Kansas",1429,130,64,119,129,86,94,90,90,49,143,189,162,56,10,14,4,"Lincoln County, Kansas",97,36,24,39,38,29,28,33,37,21,41,46,42,26,7,10,6
"G2001070","2005-2009","KS",,,"Kansas","20","Linn County","107",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20107","Linn County, Kansas",4022,250,402,266,252,194,213,231,230,131,367,555,542,218,99,43,29,"Linn County, Kansas",192,78,114,86,81,77,87,83,90,49,107,142,130,62,61,28,31
"G2001090","2005-2009","KS",,,"Kansas","20","Logan County","109",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20109","Logan County, Kansas",1291,131,90,80,151,109,83,67,61,61,114,98,107,84,22,24,9,"Logan County, Kansas",66,46,46,37,52,55,39,30,34,29,47,36,45,38,19,26,11
"G2001110","2005-2009","KS",,,"Kansas","20","Lyon County","111",,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US20111","Lyon County, Kansas",13950,1787,869,1157,1056,1050,914,818,762,697,1363,1361,1308,385,182,137,104,"Lyon County, Kansas",365,307,214,218,229,199,189,202,186,151,235,189,213,110,70,62,68
