GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AAACE001,AAACE002,AAACE003,AAACE004,AAACE005,AAACE006,AAACE007,AAACE008,AAACE009,AAACE010,AAACE011,AAACE012,AAACE013,AAACE014,AAACE015,AAACE016,AAACE017,AAACE018,AAACE019,AAACE020,AAACE021,AAACE022,AAACE023,AAACE024,AAACE025,AAACE026,AAACE027,AAACE028,AAACE029,AAACE030,AAACE031,AAACE032,AAACE033,AAACE034,AAACE035,AAACE036,AAACE037,AAACE038,AAACE039,AAACE040,AAACE041,AAACE042,AAACE043,AAACE044,AAACE045,AAACE046,AAACE047,AAACE048,AAACE049,NAME_M,AAACM001,AAACM002,AAACM003,AAACM004,AAACM005,AAACM006,AAACM007,AAACM008,AAACM009,AAACM010,AAACM011,AAACM012,AAACM013,AAACM014,AAACM015,AAACM016,AAACM017,AAACM018,AAACM019,AAACM020,AAACM021,AAACM022,AAACM023,AAACM024,AAACM025,AAACM026,AAACM027,AAACM028,AAACM029,AAACM030,AAACM031,AAACM032,AAACM033,AAACM034,AAACM035,AAACM036,AAACM037,AAACM038,AAACM039,AAACM040,AAACM041,AAACM042,AAACM043,AAACM044,AAACM045,AAACM046,AAACM047,AAACM048,AAACM049
"G06081204","2014","CA",,,"California","06",,,"Union City city","81204",,,,,,,,,,,,,,,,"16000US0681204","Union City city, California",73608,36832,2685,1779,2401,1266,477,525,507,1199,3159,3175,2558,2802,2858,1903,2146,925,1235,987,1179,1032,806,604,624,36776,1960,1883,1628,1248,686,147,48,1417,3475,2593,2450,2706,2748,2652,3523,470,546,1189,1559,1141,863,675,1169,"Union City city, California",57,1479,846,644,647,429,314,376,315,517,935,809,754,678,792,728,562,376,411,546,627,361,413,388,379,1485,662,602,566,452,366,173,55,710,815,713,771,665,848,671,877,310,247,526,592,495,301,280,540
"G06081344","2014","CA",,,"California","06",,,"Upland city","81344",,,,,,,,,,,,,,,,"16000US0681344","Upland city, California",76039,36703,2449,1923,3248,913,1166,437,275,2020,2956,3341,2983,1316,1756,2077,2840,515,888,1227,952,1117,1028,820,456,39336,2119,3241,2065,1791,400,583,459,1248,1786,3241,3090,2716,2386,2946,3320,913,1191,1016,853,981,1478,655,858,"Upland city, California",34,1613,852,833,799,372,617,344,298,696,1085,853,721,455,678,624,617,263,356,382,380,370,415,343,286,1615,1022,814,680,583,241,390,379,602,599,957,862,746,723,663,693,405,478,331,358,384,489,344,385
"G06081554","2014","CA",,,"California","06",,,"Vacaville city","81554",,,,,,,,,,,,,,,,"16000US0681554","Vacaville city, California",95863,50438,2451,2739,3811,2195,1550,818,311,2097,4241,4576,3533,2998,2901,4898,3679,1499,1307,972,743,967,1249,393,510,45425,3096,2986,3672,1313,1313,837,424,2061,3080,2292,3290,2515,3105,3152,3242,1821,1327,634,1368,1309,1099,941,548,"Vacaville city, California",43,1746,793,929,921,673,541,484,246,744,1036,967,763,794,780,805,802,496,380,407,345,319,477,218,357,1752,829,829,798,460,549,502,255,680,805,686,694,603,827,558,773,634,459,340,461,503,464,450,327
"G06081666","2014","CA",,,"California","06",,,"Vallejo city","81666",,,,,,,,,,,,,,,,"16000US0681666","Vallejo city, California",120210,57333,3901,3863,3673,2050,1269,929,744,3657,5078,2730,3752,3366,3710,2945,3185,2123,2950,899,1669,1928,1650,659,603,62877,3551,3563,3002,2372,1478,857,1475,2957,4762,4378,3482,3400,3070,4658,5074,2367,2910,1421,1609,2818,1796,678,1199,"Vallejo city, California",71,2038,905,954,995,515,455,652,472,1074,1016,606,920,894,926,652,809,657,734,416,480,468,563,259,358,2045,769,920,953,654,858,421,626,826,985,915,796,873,716,899,968,716,843,516,438,804,627,283,504
"G06082590","2014","CA",,,"California","06",,,"Victorville city","82590",,,,,,,,,,,,,,,,"16000US0682590","Victorville city, California",121911,61941,6307,6055,5237,5442,766,1607,1046,2989,4529,4880,3473,4593,1902,3269,2630,627,1438,1306,1090,1368,746,505,136,59970,4661,5479,5624,3055,1664,960,945,1942,5772,3304,3893,3986,4019,3270,2393,1655,2414,986,1100,1286,752,358,452,"Victorville city, California",56,3144,2067,1720,1334,1926,463,1160,888,1018,1702,1183,1243,1606,684,1024,1082,360,823,937,569,741,324,310,109,3141,1420,1617,2189,1133,765,599,699,728,1572,1002,1431,1324,1457,1029,722,748,1204,576,540,566,467,237,354
"G06082954","2014","CA",,,"California","06",,,"Visalia city","82954",,,,,,,,,,,,,,,,"16000US0682954","Visalia city, California",129280,65719,6471,4498,8238,4319,2158,1211,569,2323,4121,2742,4930,3117,3010,4397,3444,1303,1751,925,1488,2108,747,1018,831,63561,4452,5002,3917,3357,1672,951,850,3022,4063,3810,4627,4536,3484,4789,2821,1526,1496,1823,1288,1864,1642,934,1635,"Visalia city, California",35,2969,1456,1253,2246,923,638,983,484,829,1164,745,1137,1070,802,1149,774,582,696,368,630,840,359,465,339,2971,1542,1257,1187,901,616,577,560,809,923,1033,975,1158,781,1204,899,657,704,713,479,687,618,476,532
"G06082996","2014","CA",,,"California","06",,,"Vista city","82996",,,,,,,,,,,,,,,,"16000US0682996","Vista city, California",98086,48632,3108,3155,2778,1589,886,948,1911,4136,4805,5328,3367,3139,3080,2786,2300,919,1099,714,748,458,467,612,299,49454,3036,4034,4234,2343,942,951,746,1920,3295,4980,3834,3257,4014,2764,2461,1170,856,566,1157,731,800,745,618,"Vista city, California",44,2163,1049,979,1005,535,376,461,751,1208,1600,1201,798,932,864,813,665,375,389,356,373,224,281,580,209,2162,974,1222,1117,666,504,553,529,697,1043,1154,1015,730,1151,708,655,482,383,269,429,340,377,605,297
"G06083346","2014","CA",,,"California","06",,,"Walnut Creek city","83346",,,,,,,,,,,,,,,,"16000US0683346","Walnut Creek city, California",67664,31240,2189,1155,1867,650,697,373,0,1050,2177,1623,2122,1763,1149,3256,2032,678,755,1082,1107,1630,1275,1397,1213,36424,1183,1298,1296,1183,682,175,345,999,1650,1458,2419,1659,2520,3187,1966,1001,1316,1228,1395,2327,2078,1972,3087,"Walnut Creek city, California",35,1465,919,446,825,338,619,321,200,596,1114,614,826,597,417,817,593,376,344,538,438,619,549,565,587,1466,677,689,477,482,435,192,452,664,579,557,746,520,817,829,647,486,424,530,590,690,692,819,715
"G06084200","2014","CA",,,"California","06",,,"West Covina city","84200",,,,,,,,,,,,,,,,"16000US0684200","West Covina city, California",108445,52771,4022,3556,3995,2076,1276,909,515,1929,3223,3636,3188,3862,2796,4103,3546,1569,1746,965,1828,1551,947,864,669,55674,2404,3152,4021,1974,1767,676,1050,2162,3587,3604,3754,4553,2940,3605,4144,1727,1948,1642,1891,1633,1152,911,1377,"West Covina city, California",56,1977,1279,1047,871,658,574,545,282,602,699,959,816,747,714,887,806,597,581,391,633,519,400,383,263,1981,890,873,770,626,569,433,453,628,903,730,1016,915,630,814,827,516,611,641,589,518,442,346,471
"G06084550","2014","CA",,,"California","06",,,"Westminster city","84550",,,,,,,,,,,,,,,,"16000US0684550","Westminster city, California",92062,46867,1588,1533,2285,1686,1228,434,377,2124,4140,3792,1885,4010,3602,3664,3648,1690,1881,908,980,2344,1471,1084,513,45195,2021,2294,2158,2138,991,910,1105,1762,1740,3039,1782,3149,3960,2947,3528,951,1632,1123,1581,2069,1476,1464,1375,"Westminster city, California",41,1936,714,551,710,607,474,332,234,745,1053,1084,698,1003,820,846,767,718,492,442,417,552,546,391,325,1934,781,613,756,764,478,551,665,723,568,716,699,804,811,647,928,397,544,440,497,656,436,580,502
"G06085292","2014","CA",,,"California","06",,,"Whittier city","85292",,,,,,,,,,,,,,,,"16000US0685292","Whittier city, California",87348,42023,2753,3807,2205,1818,1865,469,711,1815,2729,2972,2771,4209,2644,2259,1996,1029,886,863,904,1330,846,636,506,45325,2467,3335,3167,2023,1864,457,1074,2203,3350,2023,3111,3285,3152,3323,2823,921,836,1034,912,1003,1346,791,825,"Whittier city, California",107,1818,1023,950,565,607,598,396,368,669,789,824,749,933,825,703,546,454,480,353,373,577,370,246,411,1813,859,757,841,682,588,373,480,752,1034,619,742,797,946,988,811,310,364,472,453,401,452,328,368
"G06086832","2014","CA",,,"California","06",,,"Yorba Linda city","86832",,,,,,,,,,,,,,,,"16000US0686832","Yorba Linda city, California",67824,34267,2592,2737,2711,1077,355,337,412,1430,2713,1078,1871,2322,2656,2873,2365,765,1015,694,1286,1502,680,340,456,33557,1806,2413,2750,1096,544,290,999,862,1272,1793,2334,2873,2448,1958,2861,931,1087,1392,855,1083,870,589,451,"Yorba Linda city, California",33,1550,855,804,908,461,192,219,300,716,1174,448,638,737,832,697,556,374,522,296,484,591,291,201,369,1551,674,678,791,392,365,252,474,468,449,555,722,669,633,557,686,448,381,513,397,532,352,279,269
"G06086972","2014","CA",,,"California","06",,,"Yuba City city","86972",,,,,,,,,,,,,,,,"16000US0686972","Yuba City city, California",65775,32501,2314,3064,1442,1542,1677,802,511,654,2769,2145,1924,2756,1460,2307,1792,664,918,623,821,737,1017,321,241,33274,2056,2442,1574,2091,951,531,443,1156,2908,2014,2699,1780,2091,2525,1532,1134,517,464,784,1488,905,718,471,"Yuba City city, California",25,1058,549,749,514,547,578,499,427,466,512,403,684,856,592,490,444,302,379,396,460,312,401,187,179,1051,497,762,578,666,269,327,330,434,597,366,603,642,535,605,416,494,281,217,457,473,443,361,307
"G08003455","2014","CO",,,"Colorado","08",,,"Arvada city","03455",,,,,,,,,,,,,,,,"16000US0803455","Arvada city, Colorado",113775,55421,4041,3689,2973,2130,1389,538,807,2011,3151,3997,4436,3426,3323,4254,4563,1571,2061,867,2086,1419,1197,666,826,58354,2805,2569,4059,2124,1366,561,457,2814,3448,3411,3844,3554,3665,5731,4845,1816,2164,1171,1428,1752,2418,1103,1249,"Arvada city, Colorado",1220,1858,858,1150,720,607,568,310,467,960,907,887,726,901,719,766,868,535,543,306,529,534,360,299,316,1815,697,580,853,701,625,407,326,964,880,625,807,910,931,992,936,526,510,424,443,495,569,365,421
"G08004000","2014","CO",,,"Colorado","08",,,"Aurora city","04000",,,,,,,,,,,,,,,,"16000US0804000","Aurora city, Colorado",353381,172051,13201,15646,11303,5989,3787,2185,2525,7908,14940,13851,14289,12551,10849,10335,9815,3600,4701,3420,2903,3679,1875,1493,1206,181330,13565,13375,13238,6375,4123,2204,2151,8081,15097,13352,12620,12325,11857,11332,11079,3176,5236,2817,4427,5440,3423,2594,3443,"Aurora city, Colorado",724,2612,1247,1952,1590,911,823,728,740,1312,1347,1192,1512,1758,1140,1223,1274,861,898,751,628,689,438,457,387,2649,1217,1621,1609,727,696,726,698,1190,1323,1288,1359,1502,1208,1119,1221,824,876,610,829,847,714,586,848
"G08007850","2014","CO",,,"Colorado","08",,,"Boulder city","07850",,,,,,,,,,,,,,,,"16000US0807850","Boulder city, Colorado",105101,56566,2231,1990,2865,1184,4621,2524,2262,7174,5155,4748,3552,3313,2749,2819,2436,950,1542,888,1219,1073,618,340,313,48535,1762,1466,1278,1169,4387,2010,2091,4373,4234,3828,3023,2463,2233,3045,2314,931,1705,711,1160,1638,605,886,1223,"Boulder city, Colorado",43,2113,588,724,763,407,792,1014,1126,1744,1108,953,1036,782,571,672,571,400,537,261,394,474,292,222,222,2115,660,462,477,455,906,801,899,1176,795,912,833,626,472,656,602,397,584,338,425,558,291,443,612
"G08012815","2014","CO",,,"Colorado","08",,,"Centennial city","12815",,,,,,,,,,,,,,,,"16000US0812815","Centennial city, Colorado",107193,53106,2876,4208,3018,1823,1302,499,625,1449,3091,3821,3121,3681,3584,4842,4456,1392,1587,1342,1432,2121,1324,739,773,54087,2752,3212,4229,2497,1131,454,222,1608,2830,3035,3488,3585,4408,3880,4062,1974,2378,1232,1771,2338,1602,700,699,"Centennial city, Colorado",54,1720,670,934,647,530,415,369,407,445,674,735,683,797,731,912,704,491,471,505,482,645,471,335,336,1720,699,622,900,566,422,341,253,563,659,676,870,828,725,693,710,578,478,436,551,532,575,307,367
"G08016000","2014","CO",,,"Colorado","08",,,"Colorado Springs city","16000",,,,,,,,,,,,,,,,"16000US0816000","Colorado Springs city, Colorado",445820,223286,15635,14523,14154,9675,6204,4392,4365,13028,19258,17009,15527,12934,13328,14543,11992,4954,7577,4093,4367,5712,4265,3401,2350,222534,13373,13080,14084,8762,5634,2739,4392,11242,17812,16429,13973,13059,13554,15670,13998,5812,7279,4532,6239,6871,5481,3596,4923,"Colorado Springs city, Colorado",54,2550,1317,1788,1590,996,830,1004,1382,1766,1500,1204,1893,1756,1313,1202,1547,981,1243,793,854,894,584,775,705,2549,1444,1479,1334,1046,790,765,1148,1510,1265,1038,1703,1322,1090,971,1268,1044,1140,1017,848,886,902,822,899
"G08020000","2014","CO",,,"Colorado","08",,,"Denver city","20000",,,,,,,,,,,,,,,,"16000US0820000","Denver city, Colorado",663862,332182,23147,19768,18709,8656,6350,3975,3730,13986,37668,36811,29158,24883,21054,19176,18368,6791,8693,5340,6790,7508,5184,3006,3431,331680,21894,20234,17424,8615,6785,3660,4027,15101,37043,34623,27938,20632,18569,18465,18653,6281,10729,5836,6757,9983,6681,4632,7118,"Denver city, Colorado",0,615,335,1645,1624,394,434,1016,890,1320,298,261,2122,2099,304,346,1430,1072,1224,993,1026,976,790,694,592,615,4,1826,1731,165,268,927,1153,1334,160,355,1793,1793,287,373,1511,1247,1360,941,917,873,845,998,1036
"G08027425","2014","CO",,,"Colorado","08",,,"Fort Collins city","27425",,,,,,,,,,,,,,,,"16000US0827425","Fort Collins city, Colorado",156473,79016,4474,4651,4228,2569,4488,2961,2822,8463,7092,6537,4883,5342,3845,3414,3523,982,2194,1623,1254,1360,1074,651,586,77457,3849,4176,4636,1535,4853,2992,4736,6216,7073,5236,5051,4383,2897,3700,4663,1903,1651,1223,1161,1820,1253,1112,1338,"Fort Collins city, Colorado",39,1712,791,917,915,659,643,1112,936,1169,1195,963,795,1037,710,740,753,419,636,669,445,497,284,376,275,1713,820,1122,1271,585,754,1051,1536,1727,775,1031,839,853,736,711,673,680,546,454,373,524,403,386,421
"G08032155","2014","CO",,,"Colorado","08",,,"Greeley city","32155",,,,,,,,,,,,,,,,"16000US0832155","Greeley city, Colorado",98593,47171,4011,3301,3873,1846,1720,1749,1030,1965,3444,4132,3031,2842,2113,2541,2148,981,1352,689,1002,877,1100,885,539,51422,3992,3841,3379,1861,3421,1983,1815,1629,3772,3149,2920,2455,2359,2553,2825,1153,775,938,1393,1589,1368,1336,916,"Greeley city, Colorado",30,1332,1011,699,731,515,463,599,434,611,878,838,633,749,572,495,626,430,503,350,366,312,399,372,309,1332,650,808,867,437,500,711,782,591,720,726,619,552,470,531,672,352,349,311,399,493,472,388,376
"G08036410","2014","CO",,,"Colorado","08",,,"Highlands Ranch CDP","36410",,,,,,,,,,,,,,,,"16000US0836410","Highlands Ranch CDP, Colorado",100192,49363,3457,4854,4633,2856,1268,228,310,1248,1685,2475,3075,5374,4114,4182,2868,1140,1298,737,1049,1181,483,374,474,50829,2374,4756,3868,2397,1018,402,307,778,2355,3158,3292,5634,4002,4881,3221,1039,1866,1459,708,1005,641,750,918,"Highlands Ranch CDP, Colorado",4321,2789,738,898,1118,683,489,191,358,751,663,518,806,1064,846,685,622,538,453,427,382,393,256,236,233,2513,632,1009,961,724,448,360,240,361,628,787,866,1036,826,827,732,395,588,525,311,332,308,355,440
"G08043000","2014","CO",,,"Colorado","08",,,"Lakewood city","43000",,,,,,,,,,,,,,,,"16000US0843000","Lakewood city, Colorado",149650,74749,4318,4597,3721,3335,1567,886,691,4163,6642,5533,5158,4318,4912,6077,4702,2007,2187,1475,1638,2080,1782,1800,1160,74901,3647,4844,3430,2633,1438,802,932,3075,5820,5632,4568,3221,4403,5988,5086,2111,4006,1556,1998,3035,2269,1572,2835,"Lakewood city, Colorado",45,2125,841,1181,952,652,569,405,491,979,1252,1027,1409,872,968,974,821,727,530,441,522,619,458,611,402,2127,847,1055,879,728,535,551,561,829,927,910,913,747,821,934,999,532,928,469,593,613,575,535,584
"G08045970","2014","CO",,,"Colorado","08",,,"Longmont city","45970",,,,,,,,,,,,,,,,"16000US0845970","Longmont city, Colorado",90189,43188,3316,2895,3760,1819,1058,755,817,1372,3317,1736,2765,3706,3611,2929,2022,1123,1029,482,980,1626,937,317,816,47001,2542,3585,3377,1859,794,112,1567,2456,2649,2792,3155,3634,3357,2502,2970,1307,1669,808,804,1877,850,1373,962,"Longmont city, Colorado",28,1653,613,654,1030,711,479,490,539,638,773,563,819,913,699,798,669,433,413,293,336,503,423,233,370,1653,572,845,836,510,565,138,745,903,588,721,744,847,726,567,820,651,572,304,345,483,373,603,426
"G08046465","2014","CO",,,"Colorado","08",,,"Loveland city","46465",,,,,,,,,,,,,,,,"16000US0846465","Loveland city, Colorado",72647,34270,1512,1711,2368,1689,555,579,292,893,1957,1994,2445,2276,2967,2623,2444,842,1024,875,921,1466,1433,1006,398,38377,1944,1723,2543,1646,675,278,175,1181,1001,3044,2745,1905,2282,3433,3364,661,1437,1004,1042,2278,1412,1141,1463,"Loveland city, Colorado",28,1323,548,595,622,568,407,535,309,495,741,765,843,763,754,740,782,466,448,423,399,491,474,355,229,1322,860,703,906,679,479,340,286,672,444,1130,697,716,647,846,1053,341,483,551,456,646,463,417,591
"G08062000","2014","CO",,,"Colorado","08",,,"Pueblo city","62000",,,,,,,,,,,,,,,,"16000US0862000","Pueblo city, Colorado",108439,52417,3550,4046,3567,1842,1476,741,1051,2191,3933,4199,3799,2599,2367,2932,3240,1131,2017,1110,1466,1667,1494,1114,885,56022,3497,3463,3980,2048,1522,829,722,2515,3863,3932,3595,2218,2931,3069,4197,937,2322,1056,1896,2058,2012,1548,1812,"Pueblo city, Colorado",57,952,492,700,763,425,192,516,419,614,508,562,856,802,479,451,628,411,638,390,488,662,337,400,369,949,471,938,777,339,268,462,424,806,539,464,671,680,429,395,665,362,590,362,476,459,424,547,810
"G08077290","2014","CO",,,"Colorado","08",,,"Thornton city","77290",,,,,,,,,,,,,,,,"16000US0877290","Thornton city, Colorado",130309,65151,5723,5338,6598,3294,1624,104,333,2602,5494,4951,6534,4312,3873,3939,2889,1082,1583,1421,799,1082,852,239,485,65158,5110,5945,4893,2462,1082,1207,833,1783,5181,6109,5388,4755,3246,4507,2938,1320,2242,1130,1234,1536,1091,511,655,"Thornton city, Colorado",39,2044,1093,1117,1059,723,590,127,261,922,1041,896,1190,950,927,940,746,395,688,688,326,468,434,209,435,2043,1046,1427,1237,862,580,690,519,775,948,1133,762,920,721,933,843,464,693,595,550,615,396,286,425
"G08083835","2014","CO",,,"Colorado","08",,,"Westminster city","83835",,,,,,,,,,,,,,,,"16000US0883835","Westminster city, Colorado",112099,56161,3578,2463,3189,1719,1497,658,751,2949,5175,4645,4274,3676,3502,4610,3413,1003,2163,793,1187,2704,1206,654,352,55938,2759,3795,4254,2025,1192,380,439,1755,4526,4099,3422,4537,3735,3910,3674,984,2756,1097,2054,2025,1128,667,725,"Westminster city, Colorado",54,1718,986,650,733,631,535,555,352,1046,1220,1066,1054,808,887,943,797,374,649,312,395,785,441,332,334,1715,828,933,1012,619,523,294,357,696,1051,912,811,889,780,884,755,386,732,410,718,618,369,369,377
"G09008000","2014","CT",,,"Connecticut","09",,,"Bridgeport city","08000",,,,,,,,,,,,,,,,"16000US0908000","Bridgeport city, Connecticut",147608,72305,5825,5633,5108,2909,2834,1263,1410,3548,7034,5971,5280,4256,4397,3168,4402,1480,1647,958,1186,1419,1062,701,814,75303,5230,4928,4075,3091,1989,1140,1974,3589,5728,5686,6694,3696,5393,4370,5183,1767,2335,1057,1449,1981,1560,1109,1279,"Bridgeport city, Connecticut",33,2477,1047,1184,1218,866,870,486,572,1095,1087,1220,1004,859,861,842,1003,509,615,433,506,495,542,421,482,2473,1084,987,934,733,649,473,976,1021,1117,934,1193,859,1009,918,1042,606,729,482,533,568,490,394,499
"G09018430","2014","CT",,,"Connecticut","09",,,"Danbury city","18430",,,,,,,,,,,,,,,,"16000US0918430","Danbury city, Connecticut",83795,41499,2936,2053,2598,1417,1319,933,347,2513,2622,3860,2773,3410,2936,3211,2825,852,893,563,1187,1037,413,429,372,42296,2261,1991,3409,2015,1719,327,144,1432,2648,2893,3096,2365,3824,2772,2636,876,1230,868,918,1744,1661,567,900,"Danbury city, Connecticut",45,1711,917,944,879,649,698,591,322,726,860,958,886,842,863,918,746,475,449,350,452,560,287,269,248,1707,846,654,1068,694,740,399,148,658,752,849,955,750,989,732,726,388,464,399,429,588,613,290,320
"G09037000","2014","CT",,,"Connecticut","09",,,"Hartford city","37000",,,,,,,,,,,,,,,,"16000US0937000","Hartford city, Connecticut",124721,60232,4886,4609,4308,2478,3101,1189,2336,3671,4751,3915,4302,3532,4230,2992,4257,388,1534,686,636,909,613,424,485,64489,4426,4265,4024,2603,2769,2113,1981,3047,4788,4270,4407,3846,3686,4234,3946,1174,1503,765,1453,1573,1343,1020,1253,"Hartford city, Connecticut",59,1954,938,966,891,483,993,483,736,1040,1059,942,1120,938,920,710,921,277,607,365,333,326,256,244,283,1952,932,842,896,644,677,690,655,596,779,761,910,779,746,892,851,463,650,292,473,459,433,327,475
"G09050370","2014","CT",,,"Connecticut","09",,,"New Britain city","50370",,,,,,,,,,,,,,,,"16000US0950370","New Britain city, Connecticut",72889,35545,2023,2851,2527,1615,1202,616,773,1571,3183,2830,2971,1969,2412,1968,2047,468,1131,674,331,977,420,434,552,37344,2390,2255,2250,1538,880,566,564,2617,3266,3500,2792,2034,1761,2199,1809,768,1645,513,688,554,758,385,1612,"New Britain city, Connecticut",43,1835,643,718,780,518,527,340,446,645,989,770,876,726,707,667,620,371,408,390,184,429,238,266,269,1834,698,697,648,505,393,406,353,911,808,828,780,631,551,622,610,459,836,258,387,243,331,197,576
"G09052000","2014","CT",,,"Connecticut","09",,,"New Haven city","52000",,,,,,,,,,,,,,,,"16000US0952000","New Haven city, Connecticut",130285,60372,4113,4042,4065,2368,2473,1797,984,4570,7656,4437,3716,3293,3033,3151,2916,1275,1239,1272,1387,483,1104,733,265,69913,4340,3718,4225,2694,3049,2038,1276,3732,8198,6211,4489,3733,3798,3503,3705,1153,1957,1070,1422,2568,1132,704,1198,"New Haven city, Connecticut",39,2655,1185,943,966,774,694,742,526,1178,1361,1185,1077,973,854,767,871,487,331,477,533,260,361,322,186,2656,1006,1075,922,704,756,789,641,1129,1365,1106,1035,925,828,779,773,467,542,484,494,615,399,385,480
"G09055990","2014","CT",,,"Connecticut","09",,,"Norwalk city","55990",,,,,,,,,,,,,,,,"16000US0955990","Norwalk city, Connecticut",88144,42841,2101,2678,2003,2205,853,946,568,2779,3437,3665,3252,2372,2793,3322,2532,658,1257,766,612,1582,1051,652,757,45303,2095,2514,2714,1393,1072,103,686,1642,2992,3860,2710,3820,2583,3886,2726,1404,1597,1000,1159,1544,1218,1802,783,"Norwalk city, Connecticut",28,2092,690,845,792,796,569,583,592,1054,891,1043,875,572,761,750,767,376,524,314,283,613,410,357,320,2098,897,780,822,546,525,122,423,753,770,1074,837,834,682,987,677,543,531,402,504,563,427,554,297
"G09073000","2014","CT",,,"Connecticut","09",,,"Stamford city","73000",,,,,,,,,,,,,,,,"16000US0973000","Stamford city, Connecticut",128283,64716,4637,3132,4195,2276,1156,536,289,3117,5595,5666,6059,3418,4888,4438,3963,1782,2206,1134,1725,1510,1243,1087,664,63567,3549,3153,3234,1931,1477,950,1530,2722,4999,5401,3732,4391,4808,4271,4444,2260,1557,1197,1477,2039,1172,1595,1678,"Stamford city, Connecticut",39,1887,1089,790,1027,707,650,353,358,1098,1114,1332,1332,924,1101,1148,841,784,893,447,632,584,510,431,383,1887,818,981,1023,734,722,661,689,918,1206,1006,922,945,891,937,1038,768,488,516,663,667,513,565,630
"G09080000","2014","CT",,,"Connecticut","09",,,"Waterbury city","80000",,,,,,,,,,,,,,,,"16000US0980000","Waterbury city, Connecticut",109311,56617,3782,4014,5003,3022,2992,883,535,2607,3760,2686,3124,5271,3539,3556,2771,1984,1541,813,1290,1630,667,540,607,52694,3496,3349,3092,1667,1331,752,748,2560,3909,3223,3472,3620,3463,4347,3078,1714,1450,857,1255,1833,889,831,1758,"Waterbury city, Connecticut",37,1971,979,910,1289,712,757,633,335,627,902,856,954,1274,1068,1084,947,594,530,412,482,582,306,328,240,1970,782,831,1037,671,582,359,430,758,910,809,945,1026,828,918,817,460,516,441,440,606,382,341,486
"G10077580","2014","DE",,,"Delaware","10",,,"Wilmington city","77580",,,,,,,,,,,,,,,,"16000US1077580","Wilmington city, Delaware",71808,33064,2982,2478,1363,1493,952,332,874,1321,2436,2872,2224,2347,2583,2434,2306,575,341,901,449,925,358,285,233,38744,2996,1533,2487,919,640,408,0,1508,4062,2867,3016,2331,2867,2425,2845,857,953,1014,851,998,1039,1650,478,"Wilmington city, Delaware",40,1509,978,667,530,610,466,311,504,676,882,734,559,663,676,711,665,325,213,446,248,376,213,232,200,1506,761,662,735,389,340,319,185,566,1114,681,781,639,700,734,682,436,358,597,424,451,536,660,272
"G11050000","2014","DC",,,"District of Columbia","11",,,"Washington city","50000",,,,,,,,,,,,,,,,"16000US1150000","Washington city, District of Columbia",658893,312633,22081,15173,13305,7708,10006,5146,6083,16105,35496,34549,26042,20004,19346,19212,17645,5792,8792,4012,5396,8713,5190,3531,3306,346260,20682,15865,12424,7792,11837,7083,5909,18483,42246,37920,26985,19846,18614,19618,18526,7771,10342,6033,7030,10762,8434,5220,6838,"Washington city, District of Columbia",0,686,397,1008,1008,159,1185,1111,1496,1743,3,177,1563,1572,391,193,1119,877,992,836,890,1141,881,854,593,686,397,1516,1534,165,1122,1457,1288,1609,203,522,1808,1809,2,391,1328,1103,1038,970,1123,999,1082,952,1079
"G12000410","2014","FL",,,"Florida","12",,,"Alafaya CDP","00410",,,,,,,,,,,,,,,,"16000US1200410","Alafaya CDP, Florida",84594,41289,1361,4601,3894,1847,1034,341,537,3310,4009,1450,3740,4335,2546,2617,2739,423,802,98,280,704,574,47,0,43305,2593,2958,3433,1722,2774,708,994,2168,3493,2267,4588,4490,2914,2151,1955,749,603,267,389,1224,647,218,0,"Alafaya CDP, Florida",10707,5888,923,1880,1859,1166,474,331,885,1682,1963,744,1526,1864,1119,1253,979,438,549,155,313,481,439,81,214,6064,1293,1324,1451,839,1327,526,1003,1212,1557,955,1606,1964,1127,1244,912,448,658,279,351,786,503,360,214
"G12007300","2014","FL",,,"Florida","12",,,"Boca Raton city","07300",,,,,,,,,,,,,,,,"16000US1207300","Boca Raton city, Florida",91321,43639,1603,1592,1697,1911,1789,681,694,1488,3245,2405,2697,2074,2769,3241,3392,1593,1985,1417,1451,2093,1764,995,1063,47682,1385,1194,2611,1576,1724,959,948,1753,3407,2344,2202,2599,4519,4372,3221,1443,2410,1533,1397,1950,1131,1362,1642,"Boca Raton city, Florida",47,2019,814,758,669,729,770,372,663,599,1028,788,814,684,762,832,877,545,580,479,472,959,637,436,446,2025,741,530,811,664,674,620,471,721,1115,850,959,809,1067,1034,836,524,929,528,468,634,591,558,707
