GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,ALKVE001,ALKVE002,ALKVE003,ALKVE004,ALKVE005,ALKVE006,ALKVE007,ALKVE008,ALKVE009,ALKVE010,ALKVE011,ALKVE012,ALKVE013,ALKVE014,ALKVE015,ALKVE016,ALKVE017,ALKVE018,ALKVE019,ALKVE020,ALKVE021,ALKVE022,ALKVE023,ALKVE024,ALKVE025,ALKVE026,ALKVE027,NAME_M,ALKVM001,ALKVM002,ALKVM003,ALKVM004,ALKVM005,ALKVM006,ALKVM007,ALKVM008,ALKVM009,ALKVM010,ALKVM011,ALKVM012,ALKVM013,ALKVM014,ALKVM015,ALKVM016,ALKVM017,ALKVM018,ALKVM019,ALKVM020,ALKVM021,ALKVM022,ALKVM023,ALKVM024,ALKVM025,ALKVM026,ALKVM027
"G06085292","2019","CA",,,"California","06",,,"Whittier city","85292",,,,,,,,,,,,,,,,"16000US0685292","Whittier city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Whittier city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06086832","2019","CA",,,"California","06",,,"Yorba Linda city","86832",,,,,,,,,,,,,,,,"16000US0686832","Yorba Linda city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yorba Linda city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06086972","2019","CA",,,"California","06",,,"Yuba City city","86972",,,,,,,,,,,,,,,,"16000US0686972","Yuba City city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yuba City city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G08003455","2019","CO",,,"Colorado","08",,,"Arvada city","03455",,,,,,,,,,,,,,,,"16000US0803455","Arvada city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Arvada city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G08004000","2019","CO",,,"Colorado","08",,,"Aurora city","04000",,,,,,,,,,,,,,,,"16000US0804000","Aurora city, Colorado",51858,50671,97,112,176,554,146,0,0,28,0,144,0,103,89,191,369,2596,4536,13087,12833,11383,2972,890,318,47,1187,"Aurora city, Colorado",3449,3457,148,171,164,452,168,206,206,47,206,234,206,112,150,176,225,970,1180,2427,1867,1722,1179,585,199,79,466
"G08007850","2019","CO",,,"Colorado","08",,,"Boulder city","07850",,,,,,,,,,,,,,,,"16000US0807850","Boulder city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Boulder city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G08009280","2019","CO",,,"Colorado","08",,,"Broomfield city","09280",,,,,,,,,,,,,,,,"16000US0809280","Broomfield city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Broomfield city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G08012415","2019","CO",,,"Colorado","08",,,"Castle Rock town","12415",,,,,,,,,,,,,,,,"16000US0812415","Castle Rock town, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Castle Rock town, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G08012815","2019","CO",,,"Colorado","08",,,"Centennial city","12815",,,,,,,,,,,,,,,,"16000US0812815","Centennial city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Centennial city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G08016000","2019","CO",,,"Colorado","08",,,"Colorado Springs city","16000",,,,,,,,,,,,,,,,"16000US0816000","Colorado Springs city, Colorado",75723,74805,396,452,190,590,292,397,813,419,330,964,994,1771,2550,2611,3096,5894,8669,18749,11189,11234,2172,527,374,132,918,"Colorado Springs city, Colorado",4073,4083,382,388,242,439,330,349,748,369,240,739,554,687,857,939,1121,1258,1797,2614,1912,1965,681,424,268,155,483
"G08020000","2019","CO",,,"Colorado","08",,,"Denver city","20000",,,,,,,,,,,,,,,,"16000US0820000","Denver city, Colorado",159825,157524,1405,973,1764,3045,1284,1265,892,2138,1524,823,1123,1124,1050,1358,1752,5648,9161,31316,27345,40165,15821,4623,1293,632,2301,"Denver city, Colorado",5232,5209,1124,751,823,854,625,550,488,997,786,479,676,564,585,639,690,1359,2005,3504,2972,3829,2237,1352,807,435,733
"G08027425","2019","CO",,,"Colorado","08",,,"Fort Collins city","27425",,,,,,,,,,,,,,,,"16000US0827425","Fort Collins city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fort Collins city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G08032155","2019","CO",,,"Colorado","08",,,"Greeley city","32155",,,,,,,,,,,,,,,,"16000US0832155","Greeley city, Colorado",16110,15628,77,0,0,283,47,47,256,258,189,403,0,314,496,547,1016,1515,2259,2980,2744,1871,326,0,0,0,482,"Greeley city, Colorado",1451,1489,102,206,206,212,44,79,218,427,257,282,206,298,340,355,470,681,771,796,1108,604,260,206,206,206,307
"G08036410","2019","CO",,,"Colorado","08",,,"Highlands Ranch CDP","36410",,,,,,,,,,,,,,,,"16000US0836410","Highlands Ranch CDP, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Highlands Ranch CDP, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G08043000","2019","CO",,,"Colorado","08",,,"Lakewood city","43000",,,,,,,,,,,,,,,,"16000US0843000","Lakewood city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lakewood city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G08045970","2019","CO",,,"Colorado","08",,,"Longmont city","45970",,,,,,,,,,,,,,,,"16000US0845970","Longmont city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Longmont city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G08046465","2019","CO",,,"Colorado","08",,,"Loveland city","46465",,,,,,,,,,,,,,,,"16000US0846465","Loveland city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Loveland city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G08062000","2019","CO",,,"Colorado","08",,,"Pueblo city","62000",,,,,,,,,,,,,,,,"16000US0862000","Pueblo city, Colorado",18082,17424,0,253,111,583,378,903,316,1119,866,1220,1265,1178,1204,800,993,1937,955,1800,1026,341,72,42,62,0,658,"Pueblo city, Colorado",1759,1792,206,322,115,380,293,520,217,810,577,600,475,563,609,413,501,650,558,589,608,227,122,70,107,206,329
"G08077290","2019","CO",,,"Colorado","08",,,"Thornton city","77290",,,,,,,,,,,,,,,,"16000US0877290","Thornton city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Thornton city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G08083835","2019","CO",,,"Colorado","08",,,"Westminster city","83835",,,,,,,,,,,,,,,,"16000US0883835","Westminster city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Westminster city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G09008000","2019","CT",,,"Connecticut","09",,,"Bridgeport city","08000",,,,,,,,,,,,,,,,"16000US0908000","Bridgeport city, Connecticut",29657,28949,619,535,937,861,698,693,801,353,419,973,456,365,497,631,1023,2818,3245,7455,3195,2139,236,0,0,0,708,"Bridgeport city, Connecticut",2298,2172,461,398,455,478,511,462,578,327,364,598,338,303,370,398,499,858,973,1475,1037,760,285,213,213,213,478
"G09018430","2019","CT",,,"Connecticut","09",,,"Danbury city","18430",,,,,,,,,,,,,,,,"16000US0918430","Danbury city, Connecticut",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Danbury city, Connecticut",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G09037000","2019","CT",,,"Connecticut","09",,,"Hartford city","37000",,,,,,,,,,,,,,,,"16000US0937000","Hartford city, Connecticut",35721,34920,773,329,1040,776,285,764,545,909,82,533,879,431,1110,1711,4124,4914,5285,7065,1619,1144,427,175,0,0,801,"Hartford city, Connecticut",2416,2381,379,260,652,532,247,526,533,605,109,335,528,335,582,566,1150,1168,1516,1482,674,579,196,239,213,213,486
"G09050370","2019","CT",,,"Connecticut","09",,,"New Britain city","50370",,,,,,,,,,,,,,,,"16000US0950370","New Britain city, Connecticut",17655,17112,46,660,249,939,175,29,56,416,575,245,36,1547,377,1571,1499,2139,2110,3524,781,138,0,0,0,0,543,"New Britain city, Connecticut",2260,2246,74,606,239,427,287,48,94,331,592,182,63,723,249,915,686,751,725,1202,397,163,213,213,213,213,587
"G09052000","2019","CT",,,"Connecticut","09",,,"New Haven city","52000",,,,,,,,,,,,,,,,"16000US0952000","New Haven city, Connecticut",34106,33347,611,1325,833,705,738,1213,1761,167,147,318,206,311,827,865,896,2373,2748,7787,4049,3376,1379,496,216,0,759,"New Haven city, Connecticut",2641,2577,403,1062,527,513,513,579,1250,229,146,270,163,244,643,547,566,881,773,1226,1065,1002,603,320,200,213,612
"G09055990","2019","CT",,,"Connecticut","09",,,"Norwalk city","55990",,,,,,,,,,,,,,,,"16000US0955990","Norwalk city, Connecticut",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Norwalk city, Connecticut",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G09073000","2019","CT",,,"Connecticut","09",,,"Stamford city","73000",,,,,,,,,,,,,,,,"16000US0973000","Stamford city, Connecticut",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Stamford city, Connecticut",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G09080000","2019","CT",,,"Connecticut","09",,,"Waterbury city","80000",,,,,,,,,,,,,,,,"16000US0980000","Waterbury city, Connecticut",26296,25898,326,623,773,1200,373,90,287,537,72,991,344,1007,1435,3319,2251,4626,1644,4111,1738,151,0,0,0,0,398,"Waterbury city, Connecticut",2392,2405,335,498,656,660,291,89,343,435,121,445,368,642,713,1190,782,1317,766,1326,818,157,213,213,213,213,310
"G10077580","2019","DE",,,"Delaware","10",,,"Wilmington city","77580",,,,,,,,,,,,,,,,"16000US1077580","Wilmington city, Delaware",19974,19760,193,701,602,1179,877,117,359,283,605,140,461,492,609,969,961,3668,2967,2507,1198,677,195,0,0,0,214,"Wilmington city, Delaware",1742,1726,213,449,479,674,531,199,346,379,464,169,391,366,481,652,534,1186,990,968,621,387,157,203,203,203,284
"G11050000","2019","DC",,,"District of Columbia","11",,,"Washington city","50000",,,,,,,,,,,,,,,,"16000US1150000","Washington city, District of Columbia",170582,167924,2930,1724,2585,5441,720,2218,1292,1632,737,2261,1555,2293,1851,2541,2381,6057,7054,20380,17310,36147,22398,13914,7528,4975,2658,"Washington city, District of Columbia",4562,4611,1068,699,924,1537,407,1047,734,721,459,1023,862,1039,748,865,841,1331,1560,2481,2060,3184,2407,2268,1155,1128,1026
"G12000410","2019","FL",,,"Florida","12",,,"Alafaya CDP","00410",,,,,,,,,,,,,,,,"16000US1200410","Alafaya CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Alafaya CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12007300","2019","FL",,,"Florida","12",,,"Boca Raton city","07300",,,,,,,,,,,,,,,,"16000US1207300","Boca Raton city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Boca Raton city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12007875","2019","FL",,,"Florida","12",,,"Boynton Beach city","07875",,,,,,,,,,,,,,,,"16000US1207875","Boynton Beach city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Boynton Beach city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12008150","2019","FL",,,"Florida","12",,,"Brandon CDP","08150",,,,,,,,,,,,,,,,"16000US1208150","Brandon CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Brandon CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12010275","2019","FL",,,"Florida","12",,,"Cape Coral city","10275",,,,,,,,,,,,,,,,"16000US1210275","Cape Coral city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cape Coral city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12012875","2019","FL",,,"Florida","12",,,"Clearwater city","12875",,,,,,,,,,,,,,,,"16000US1212875","Clearwater city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clearwater city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12014400","2019","FL",,,"Florida","12",,,"Coral Springs city","14400",,,,,,,,,,,,,,,,"16000US1214400","Coral Springs city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Coral Springs city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12016475","2019","FL",,,"Florida","12",,,"Davie town","16475",,,,,,,,,,,,,,,,"16000US1216475","Davie town, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Davie town, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12016525","2019","FL",,,"Florida","12",,,"Daytona Beach city","16525",,,,,,,,,,,,,,,,"16000US1216525","Daytona Beach city, Florida",15322,14826,0,22,491,208,153,199,510,402,0,334,549,206,483,853,1481,2570,817,2760,2024,616,148,0,0,0,496,"Daytona Beach city, Florida",1600,1524,234,37,413,265,135,197,398,341,234,269,341,259,297,521,853,886,417,858,864,400,241,234,234,234,366
"G12016725","2019","FL",,,"Florida","12",,,"Deerfield Beach city","16725",,,,,,,,,,,,,,,,"16000US1216725","Deerfield Beach city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Deerfield Beach city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12017100","2019","FL",,,"Florida","12",,,"Delray Beach city","17100",,,,,,,,,,,,,,,,"16000US1217100","Delray Beach city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Delray Beach city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12017200","2019","FL",,,"Florida","12",,,"Deltona city","17200",,,,,,,,,,,,,,,,"16000US1217200","Deltona city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Deltona city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12017935","2019","FL",,,"Florida","12",,,"Doral city","17935",,,,,,,,,,,,,,,,"16000US1217935","Doral city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Doral city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12024000","2019","FL",,,"Florida","12",,,"Fort Lauderdale city","24000",,,,,,,,,,,,,,,,"16000US1224000","Fort Lauderdale city, Florida",34736,33928,172,0,413,68,0,220,64,256,0,355,242,0,474,940,290,2677,2217,8224,4543,6194,4581,1222,579,197,808,"Fort Lauderdale city, Florida",3122,3067,290,234,343,112,234,237,108,184,234,355,271,234,452,588,274,1111,1024,1750,1636,1489,1597,644,382,185,460
"G12024125","2019","FL",,,"Florida","12",,,"Fort Myers city","24125",,,,,,,,,,,,,,,,"16000US1224125","Fort Myers city, Florida",14476,13975,51,340,254,39,48,0,0,144,298,286,97,446,391,1544,364,1544,1911,2189,1329,2078,256,259,107,0,501,"Fort Myers city, Florida",1715,1683,94,346,326,72,83,234,234,150,272,247,95,386,385,862,427,864,745,847,548,804,187,255,121,234,486
"G12024562","2019","FL",,,"Florida","12",,,"Fountainebleau CDP","24562",,,,,,,,,,,,,,,,"16000US1224562","Fountainebleau CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fountainebleau CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12025175","2019","FL",,,"Florida","12",,,"Gainesville city","25175",,,,,,,,,,,,,,,,"16000US1225175","Gainesville city, Florida",33102,31860,0,65,309,592,56,386,467,411,533,2077,1052,896,2092,3184,2778,4968,2796,3322,3334,1351,916,193,0,82,1242,"Gainesville city, Florida",2567,2541,234,115,433,504,96,370,534,433,441,1168,525,484,808,1419,1194,1342,1043,1103,1154,721,472,258,234,136,525
"G12030000","2019","FL",,,"Florida","12",,,"Hialeah city","30000",,,,,,,,,,,,,,,,"16000US1230000","Hialeah city, Florida",42112,39863,0,118,1496,559,338,1258,0,266,43,194,459,702,393,498,576,2465,3176,12367,8932,4765,1025,233,0,0,2249,"Hialeah city, Florida",2770,2607,234,148,727,502,286,698,234,316,71,326,328,473,373,424,386,965,951,1868,1445,1224,712,249,234,234,984
"G12032000","2019","FL",,,"Florida","12",,,"Hollywood city","32000",,,,,,,,,,,,,,,,"16000US1232000","Hollywood city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hollywood city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12032275","2019","FL",,,"Florida","12",,,"Homestead city","32275",,,,,,,,,,,,,,,,"16000US1232275","Homestead city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Homestead city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12035000","2019","FL",,,"Florida","12",,,"Jacksonville city","35000",,,,,,,,,,,,,,,,"16000US1235000","Jacksonville city, Florida",151318,145727,1962,649,1113,2831,703,1199,1019,1436,966,3105,3392,5416,7365,8776,8584,18029,17478,31967,14902,12206,1902,415,33,279,5591,"Jacksonville city, Florida",5871,5793,989,366,792,983,512,639,646,786,534,1039,1105,1270,1827,1790,1969,2926,2616,3540,2785,2659,802,272,57,166,1395
"G12035875","2019","FL",,,"Florida","12",,,"Jupiter town","35875",,,,,,,,,,,,,,,,"16000US1235875","Jupiter town, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jupiter town, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12036100","2019","FL",,,"Florida","12",,,"Kendall CDP","36100",,,,,,,,,,,,,,,,"16000US1236100","Kendall CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kendall CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12036950","2019","FL",,,"Florida","12",,,"Kissimmee city","36950",,,,,,,,,,,,,,,,"16000US1236950","Kissimmee city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kissimmee city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12038250","2019","FL",,,"Florida","12",,,"Lakeland city","38250",,,,,,,,,,,,,,,,"16000US1238250","Lakeland city, Florida",18291,17559,0,152,19,140,202,114,329,421,274,700,315,946,1120,1307,2507,1109,2228,3066,1433,988,125,0,0,64,732,"Lakeland city, Florida",1776,1708,234,204,32,143,333,195,361,263,289,543,281,430,658,577,800,531,691,928,639,623,147,234,234,108,487
"G12039425","2019","FL",,,"Florida","12",,,"Largo city","39425",,,,,,,,,,,,,,,,"16000US1239425","Largo city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Largo city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12039550","2019","FL",,,"Florida","12",,,"Lauderhill city","39550",,,,,,,,,,,,,,,,"16000US1239550","Lauderhill city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lauderhill city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12039925","2019","FL",,,"Florida","12",,,"Lehigh Acres CDP","39925",,,,,,,,,,,,,,,,"16000US1239925","Lehigh Acres CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lehigh Acres CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12043975","2019","FL",,,"Florida","12",,,"Melbourne city","43975",,,,,,,,,,,,,,,,"16000US1243975","Melbourne city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Melbourne city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12045000","2019","FL",,,"Florida","12",,,"Miami city","45000",,,,,,,,,,,,,,,,"16000US1245000","Miami city, Florida",133206,131020,1266,2070,5089,2791,1596,1027,545,1148,353,1979,724,1632,1837,2793,3695,9406,12040,22327,12662,24904,12622,5103,2272,1139,2186,"Miami city, Florida",5475,5592,731,888,1427,842,920,605,448,714,338,1090,544,880,767,1039,1285,2259,2084,3242,2073,2587,3186,1716,937,617,1180
"G12045025","2019","FL",,,"Florida","12",,,"Miami Beach city","45025",,,,,,,,,,,,,,,,"16000US1245025","Miami Beach city, Florida",27223,26522,45,262,374,636,68,45,164,181,207,0,0,238,520,170,196,513,1565,5551,5705,5203,2470,1402,473,534,701,"Miami Beach city, Florida",2160,2097,73,306,239,347,113,75,140,270,247,234,234,276,423,218,224,354,752,1283,1252,1291,864,698,289,429,589
"G12045060","2019","FL",,,"Florida","12",,,"Miami Gardens city","45060",,,,,,,,,,,,,,,,"16000US1245060","Miami Gardens city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Miami Gardens city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12045975","2019","FL",,,"Florida","12",,,"Miramar city","45975",,,,,,,,,,,,,,,,"16000US1245975","Miramar city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Miramar city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12049675","2019","FL",,,"Florida","12",,,"North Port city","49675",,,,,,,,,,,,,,,,"16000US1249675","North Port city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"North Port city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12053000","2019","FL",,,"Florida","12",,,"Orlando city","53000",,,,,,,,,,,,,,,,"16000US1253000","Orlando city, Florida",68215,67462,727,233,308,682,245,406,163,230,407,232,849,612,680,2212,1788,6550,6961,17633,13188,11046,1972,213,125,0,753,"Orlando city, Florida",4322,4278,450,273,275,467,251,426,206,156,352,280,573,417,437,1227,932,1750,1891,2786,2192,2190,750,234,106,234,487
"G12054000","2019","FL",,,"Florida","12",,,"Palm Bay city","54000",,,,,,,,,,,,,,,,"16000US1254000","Palm Bay city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Palm Bay city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12054200","2019","FL",,,"Florida","12",,,"Palm Coast city","54200",,,,,,,,,,,,,,,,"16000US1254200","Palm Coast city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Palm Coast city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12055775","2019","FL",,,"Florida","12",,,"Pembroke Pines city","55775",,,,,,,,,,,,,,,,"16000US1255775","Pembroke Pines city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pembroke Pines city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12056825","2019","FL",,,"Florida","12",,,"Pine Hills CDP","56825",,,,,,,,,,,,,,,,"16000US1256825","Pine Hills CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pine Hills CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12057425","2019","FL",,,"Florida","12",,,"Plantation city","57425",,,,,,,,,,,,,,,,"16000US1257425","Plantation city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Plantation city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12057900","2019","FL",,,"Florida","12",,,"Poinciana CDP","57900",,,,,,,,,,,,,,,,"16000US1257900","Poinciana CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Poinciana CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12058050","2019","FL",,,"Florida","12",,,"Pompano Beach city","58050",,,,,,,,,,,,,,,,"16000US1258050","Pompano Beach city, Florida",20977,20332,0,0,96,0,410,0,201,0,0,186,111,91,272,593,456,1159,1435,6054,3785,2911,753,1177,225,417,645,"Pompano Beach city, Florida",2101,2080,234,234,93,234,375,234,328,234,234,247,186,107,252,452,436,631,756,1293,1170,891,378,726,210,407,386
"G12058350","2019","FL",,,"Florida","12",,,"Port Charlotte CDP","58350",,,,,,,,,,,,,,,,"16000US1258350","Port Charlotte CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Port Charlotte CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12058715","2019","FL",,,"Florida","12",,,"Port St. Lucie city","58715",,,,,,,,,,,,,,,,"16000US1258715","Port St. Lucie city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Port St. Lucie city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12060950","2019","FL",,,"Florida","12",,,"Riverview CDP","60950",,,,,,,,,,,,,,,,"16000US1260950","Riverview CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Riverview CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12063000","2019","FL",,,"Florida","12",,,"St. Petersburg city","63000",,,,,,,,,,,,,,,,"16000US1263000","St. Petersburg city, Florida",40283,39335,110,251,179,354,80,190,526,1592,266,529,650,523,412,651,1320,5803,6065,9333,4155,4522,977,565,98,184,948,"St. Petersburg city, Florida",3236,3189,129,278,218,225,131,243,373,1277,230,302,419,323,300,354,609,1447,1616,1816,1154,1155,437,356,156,219,400
"G12068350","2019","FL",,,"Florida","12",,,"Spring Hill CDP","68350",,,,,,,,,,,,,,,,"16000US1268350","Spring Hill CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Spring Hill CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12069700","2019","FL",,,"Florida","12",,,"Sunrise city","69700",,,,,,,,,,,,,,,,"16000US1269700","Sunrise city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sunrise city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12070600","2019","FL",,,"Florida","12",,,"Tallahassee city","70600",,,,,,,,,,,,,,,,"16000US1270600","Tallahassee city, Florida",46925,46265,57,189,662,153,959,177,683,859,1105,2382,2174,4238,2310,2226,4043,5047,5220,7332,2733,2839,828,49,0,0,660,"Tallahassee city, Florida",3134,3146,95,218,360,159,821,216,427,565,708,991,857,1212,795,908,1136,1209,1220,1703,1311,1148,572,84,234,234,314
"G12070675","2019","FL",,,"Florida","12",,,"Tamarac city","70675",,,,,,,,,,,,,,,,"16000US1270675","Tamarac city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tamarac city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12071000","2019","FL",,,"Florida","12",,,"Tampa city","71000",,,,,,,,,,,,,,,,"16000US1271000","Tampa city, Florida",73888,71483,448,577,1240,1740,376,795,690,1063,471,1396,937,1148,1737,2931,4125,7461,6504,13381,9979,9054,2932,1432,448,618,2405,"Tampa city, Florida",3693,3687,390,313,595,742,261,436,358,533,303,617,473,539,678,1240,1241,1663,1451,1910,1633,1465,949,726,429,520,908
"G12071569","2019","FL",,,"Florida","12",,,"The Hammocks CDP","71569",,,,,,,,,,,,,,,,"16000US1271569","The Hammocks CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"The Hammocks CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12071625","2019","FL",,,"Florida","12",,,"The Villages CDP","71625",,,,,,,,,,,,,,,,"16000US1271625","The Villages CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"The Villages CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12072145","2019","FL",,,"Florida","12",,,"Town 'n' Country CDP","72145",,,,,,,,,,,,,,,,"16000US1272145","Town 'n' Country CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Town 'n' Country CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
