GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AKRSE001,AKRSE002,AKRSE003,AKRSE004,AKRSE005,AKRSE006,AKRSE007,AKRSE008,AKRSE009,AKRSE010,AKRSE011,AKRSE012,AKRSE013,AKRSE014,AKRSE015,AKRSE016,AKRSE017,AKRSE018,AKRSE019,AKRSE020,AKRSE021,AKRSE022,AKRSE023,AKRSE024,AKRSE025,AKRSE026,AKRSE027,AKRSE028,AKRSE029,AKRSE030,AKRSE031,AKRSE032,AKRSE033,AKRSE034,AKRSE035,AKRSE036,AKRSE037,AKRSE038,AKRSE039,AKRSE040,AKRSE041,AKRSE042,AKRSE043,AKRSE044,AKRSE045,AKRSE046,AKRSE047,AKRSE048,AKRSE049,NAME_M,AKRSM001,AKRSM002,AKRSM003,AKRSM004,AKRSM005,AKRSM006,AKRSM007,AKRSM008,AKRSM009,AKRSM010,AKRSM011,AKRSM012,AKRSM013,AKRSM014,AKRSM015,AKRSM016,AKRSM017,AKRSM018,AKRSM019,AKRSM020,AKRSM021,AKRSM022,AKRSM023,AKRSM024,AKRSM025,AKRSM026,AKRSM027,AKRSM028,AKRSM029,AKRSM030,AKRSM031,AKRSM032,AKRSM033,AKRSM034,AKRSM035,AKRSM036,AKRSM037,AKRSM038,AKRSM039,AKRSM040,AKRSM041,AKRSM042,AKRSM043,AKRSM044,AKRSM045,AKRSM046,AKRSM047,AKRSM048,AKRSM049
"G1200050","2019","FL",,,"Florida","12","Bay County","005",,,,,,,,,,,,,,,,,,"05000US12005","Bay County, Florida",174705,85830,4983,3940,6279,2771,1958,1303,989,2559,6334,5609,7391,3745,5179,5766,6386,2267,3702,2182,2364,4421,3122,1259,1321,88875,4514,5207,4366,3858,1000,781,757,3380,6063,5205,5434,4442,6807,5486,8077,2630,3252,2202,2563,5311,4414,1452,1674,"Bay County, Florida",0,1092,468,1072,1169,463,403,664,760,743,960,886,1218,1137,704,709,1062,568,822,706,751,755,577,446,531,1092,697,1227,1259,1036,485,522,462,902,878,512,1082,1013,890,456,1084,757,818,643,802,983,785,529,654
"G1200090","2019","FL",,,"Florida","12","Brevard County","009",,,,,,,,,,,,,,,,,,"05000US12009","Brevard County, Florida",601942,293637,13946,13562,17846,10053,6653,3585,2965,9403,18956,17552,18571,12139,16057,18468,24139,8960,14015,7541,11810,17656,14132,10359,5269,308305,13398,13354,17359,9855,5521,4170,2068,7432,17187,16440,15674,16771,17990,20416,28321,8366,14976,9328,13599,18505,13337,12273,11965,"Brevard County, Florida",0,1427,476,1996,2000,1219,1112,1282,1175,1522,776,772,2032,1874,222,308,1961,1408,1874,1130,1563,1731,1309,1549,1051,1427,405,1936,2104,1350,733,1450,888,1190,411,428,1937,1917,521,495,2068,1511,1883,1785,1809,1884,1998,1720,1998
"G1200110","2019","FL",,,"Florida","12","Broward County","011",,,,,,,,,,,,,,,,,,"05000US12011","Broward County, Florida",1952778,950821,57089,53048,62976,34548,21213,14211,7557,33723,64764,66228,59753,67521,64724,66810,66466,27071,35548,21345,27032,37887,26878,14761,19668,1001957,54935,58218,54881,34243,20104,14933,10553,28482,64444,66395,64967,68568,68981,69480,69698,27849,38191,24043,31901,44709,30808,25491,30083,"Broward County, Florida",0,474,345,4347,4347,298,4,2851,1792,2430,47,442,4450,4363,419,486,3788,3008,3335,2356,2497,2448,2049,1786,1915,474,120,3841,3894,67,491,3415,1759,3302,2,126,3987,3991,413,279,3523,3092,3274,2403,2639,2855,2703,2463,3019
"G1200150","2019","FL",,,"Florida","12","Charlotte County","015",,,,,,,,,,,,,,,,,,"05000US12015","Charlotte County, Florida",188910,91322,2874,3944,2812,1994,599,776,336,2421,4037,3476,4011,4065,3959,5051,6674,3217,4819,4146,6849,8212,8183,5282,3585,97588,2421,3533,3019,1760,1439,335,629,1434,3773,3701,2764,3821,3922,5934,8316,3911,5218,4643,7241,9838,7810,5028,7098,"Charlotte County, Florida",0,1198,684,1051,983,357,431,679,291,662,560,472,1041,1126,709,683,1295,940,971,1391,1208,1174,1227,1075,967,1198,561,1055,620,395,696,278,435,722,675,912,819,1088,294,614,1577,1297,1010,1094,1254,1349,1633,1392,1688
"G1200170","2019","FL",,,"Florida","12","Citrus County","017",,,,,,,,,,,,,,,,,,"05000US12017","Citrus County, Florida",149657,72006,2328,2235,4269,1959,838,1070,645,1916,3079,3336,2818,2799,3458,4117,5100,2582,3417,3087,4246,6238,5416,4678,2375,77651,3435,2751,3187,1649,1143,262,457,1382,3123,2733,2774,3511,4078,4685,6167,1911,5053,3260,5735,6279,7026,3706,3344,"Citrus County, Florida",0,1418,1003,476,676,330,500,899,609,584,274,546,1043,804,480,580,1066,761,854,892,1075,1167,777,712,754,1418,892,659,810,150,348,285,493,542,346,245,1036,749,481,526,981,598,940,796,1042,1032,993,809,901
"G1200190","2019","FL",,,"Florida","12","Clay County","019",,,,,,,,,,,,,,,,,,"05000US12019","Clay County, Florida",219252,108214,6224,8622,6328,4701,2977,1269,1312,4011,6219,6145,7182,7529,6209,8119,7607,3356,4079,2049,2832,5025,2773,1956,1690,111038,5699,5808,7811,5113,2754,661,1640,3054,6526,6644,6859,7065,8738,7687,6398,3868,5581,2431,3978,4832,3628,2449,1814,"Clay County, Florida",0,1173,662,1330,1473,825,551,654,830,945,926,678,1618,1937,785,1146,1119,940,858,775,846,1088,667,652,610,1173,558,1234,1331,1011,691,497,964,1126,947,1051,1543,1721,1494,973,1076,1004,1120,845,1078,1118,1019,750,666
"G1200210","2019","FL",,,"Florida","12","Collier County","021",,,,,,,,,,,,,,,,,,"05000US12021","Collier County, Florida",384902,189713,7792,8516,10971,5991,3699,1637,1756,6898,8453,9315,10405,8363,12340,9048,12528,5823,6079,5525,7605,15041,13920,9601,8407,195189,8192,8125,9675,5776,4300,1394,1538,5431,8327,8301,6775,10994,10862,11055,13244,7190,7582,6782,8198,17217,14760,10939,8532,"Collier County, Florida",0,1036,378,1565,1787,477,939,1060,1031,1628,178,743,2216,1839,1536,1447,2039,1403,1665,1264,1410,1263,1633,1869,1698,1036,1003,1597,1539,256,1514,837,759,1791,424,475,1442,1555,306,335,2144,1580,1759,1183,1411,1834,2098,2170,1865
"G1200230","2019","FL",,,"Florida","12","Columbia County","023",,,,,,,,,,,,,,,,,,"05000US12023","Columbia County, Florida",71686,36287,1765,1813,2126,848,1509,617,640,2204,2186,2199,2296,1786,2559,2419,3114,575,1445,1020,992,1729,1367,536,542,35399,1812,2424,2492,2210,665,513,441,1084,1986,1697,2199,1595,2041,2018,2459,1059,1594,990,1125,1977,963,1016,1039,"Columbia County, Florida",0,1027,657,757,682,473,616,325,396,522,335,274,737,664,474,520,694,339,664,406,415,377,303,297,286,1027,714,714,855,823,537,455,351,625,928,281,643,734,517,364,716,554,585,457,397,513,497,424,448
"G1200310","2019","FL",,,"Florida","12","Duval County","031",,,,,,,,,,,,,,,,,,"05000US12031","Duval County, Florida",957755,463491,32868,26025,34565,15610,10602,5161,7583,19065,40745,36557,34928,26177,28552,27493,30957,11961,14737,12122,10884,16101,9627,7462,3709,494264,31451,29928,29637,15461,11671,6524,5501,17283,40801,39012,36627,26360,29985,30498,34142,11984,18928,13255,14015,18872,14919,8171,9239,"Duval County, Florida",0,637,120,2519,2581,243,348,1296,1616,2084,191,901,3381,3154,903,835,2298,2041,1777,1914,1690,1657,1283,1047,905,637,132,2689,2603,499,935,1663,1665,1839,146,323,2700,2730,170,188,2234,1941,2107,2092,1884,1929,1407,1266,1299
"G1200330","2019","FL",,,"Florida","12","Escambia County","033",,,,,,,,,,,,,,,,,,"05000US12033","Escambia County, Florida",318316,156267,9411,10846,7597,5237,6027,3351,1855,8347,13490,11515,10095,7527,8145,8596,11097,3893,5361,3195,4681,6893,4233,2646,2229,162049,9602,8951,9458,5127,4357,1830,1519,7874,12473,11246,9076,8012,9634,9340,12405,3366,7097,3647,5677,8219,6660,2784,3695,"Escambia County, Florida",0,769,408,1557,1509,432,347,1190,711,1341,803,479,1306,1186,467,538,982,925,978,750,676,776,843,788,632,769,491,1447,1570,422,742,663,665,1016,537,654,1589,1437,939,468,1114,733,1133,1015,1137,1233,912,665,698
"G1200350","2019","FL",,,"Florida","12","Flagler County","035",,,,,,,,,,,,,,,,,,"05000US12035","Flagler County, Florida",115081,54410,1696,2139,3281,1271,731,1237,830,1116,2150,3188,2027,3628,2843,3017,3735,1916,2507,2962,2857,4327,3761,2016,1175,60671,2828,2590,3593,1667,1488,781,385,1052,2651,2258,1979,3574,3453,3818,3840,2732,3256,3411,2968,4712,3230,2130,2275,"Flagler County, Florida",0,1117,377,771,871,54,484,742,605,507,294,1177,565,703,398,328,758,728,689,924,796,898,715,630,480,1117,1195,842,1003,317,716,532,268,558,625,387,707,732,686,594,999,1035,887,913,823,967,722,686,864
"G1200530","2019","FL",,,"Florida","12","Hernando County","053",,,,,,,,,,,,,,,,,,"05000US12053","Hernando County, Florida",193920,93392,4274,4965,5289,3063,2010,1189,841,2725,4208,5698,5899,3790,5798,5733,6860,1165,4841,2808,4051,5788,5979,2869,3549,100528,4244,4955,6030,2956,2175,1311,448,2769,4542,5282,5290,4760,5745,6687,6810,2942,5358,3558,4761,6591,6178,3588,3548,"Hernando County, Florida",0,1131,682,877,888,474,477,550,457,650,351,870,931,876,635,538,889,433,973,911,834,800,1072,920,818,1131,683,1302,1333,416,800,974,326,899,539,921,1138,951,672,972,1033,748,1050,800,1023,978,1012,789,844
"G1200550","2019","FL",,,"Florida","12","Highlands County","055",,,,,,,,,,,,,,,,,,"05000US12055","Highlands County, Florida",106221,52623,3135,2125,3281,1425,1840,315,663,1330,1969,1724,2468,2303,2910,2625,3154,1284,2200,1321,2824,4639,4516,2130,2442,53598,1529,2139,2596,2045,530,1125,351,1127,1731,1923,3066,1870,3310,2355,4484,1241,2526,1839,2928,4134,4235,3651,2863,"Highlands County, Florida",0,1167,1097,818,1021,560,963,273,615,645,697,370,866,976,844,618,751,650,701,433,746,847,819,648,746,1167,882,722,721,577,437,642,368,727,629,444,955,814,964,452,861,599,810,620,645,843,898,939,955
"G1200570","2019","FL",,,"Florida","12","Hillsborough County","057",,,,,,,,,,,,,,,,,,"05000US12057","Hillsborough County, Florida",1471968,720172,45575,44295,49832,27685,18568,11437,9459,25388,56739,55086,50989,48718,49262,46556,42876,18755,24466,13293,17858,27989,16460,10189,8697,751796,43254,40982,47590,26210,18025,9556,10152,26882,56928,56859,50577,53453,50613,48272,49799,16424,26631,15245,22507,31182,22128,12940,15587,"Hillsborough County, Florida",0,1093,266,2990,3015,340,2,2391,1649,2288,328,145,3827,3684,547,217,2393,2020,2450,1724,2151,2124,1264,1258,1293,1093,281,3347,3331,298,372,2034,2003,2485,206,823,3061,3093,321,319,2737,1920,2505,1629,1998,2307,1930,1538,1919
"G1200610","2019","FL",,,"Florida","12","Indian River County","061",,,,,,,,,,,,,,,,,,"05000US12061","Indian River County, Florida",159923,78032,3083,4059,4072,3740,660,374,491,2132,2930,5834,4800,2657,3560,3689,5040,2559,3448,2986,3892,6801,4134,3909,3182,81891,2872,3407,2612,2127,1683,1460,600,2103,3675,2821,4621,2787,3227,4721,6842,2735,3775,2957,5427,6978,6189,4447,3825,"Indian River County, Florida",0,1251,762,1237,1494,2006,372,333,376,922,512,1846,1138,1183,918,584,882,900,792,1011,989,1248,847,850,743,1251,926,1294,835,993,874,1055,490,1319,1177,455,1087,1270,402,534,1266,761,1032,744,1134,1016,1307,986,816
"G1200690","2019","FL",,,"Florida","12","Lake County","069",,,,,,,,,,,,,,,,,,"05000US12069","Lake County, Florida",367118,178930,8911,9614,11924,6245,3095,753,2070,6064,10127,9972,9617,9971,9488,11526,11137,5277,7765,5307,7686,11511,10156,5254,5460,188188,7941,9970,8624,6332,4072,3131,1899,3266,9510,9478,11896,9480,11436,10964,11049,5735,9875,5515,9377,12683,11998,7453,6504,"Lake County, Florida",0,2170,1203,1747,1839,1602,786,472,1065,1755,1685,1789,1537,2063,1470,1734,1851,1500,1468,1099,1329,1378,1407,1029,1085,2170,1274,2067,1361,1251,1185,1300,960,1136,1160,1599,2180,2034,732,655,1577,1403,1444,1170,1477,1525,1888,1384,1675
"G1200710","2019","FL",,,"Florida","12","Lee County","071",,,,,,,,,,,,,,,,,,"05000US12071","Lee County, Florida",770577,378604,17779,18497,20941,12248,8041,2792,4162,11403,21747,19604,23967,16960,21002,21412,22680,12782,15399,11027,18774,26622,25578,13962,11225,391973,16916,18219,18252,11046,7601,4581,3628,10145,20894,20607,19792,19853,21460,23314,27499,12053,18638,13573,17644,32253,22377,18156,13472,"Lee County, Florida",0,917,323,2219,2245,858,876,1118,1082,1568,661,752,2458,2323,494,142,2150,1930,1868,1681,1896,1940,2047,1846,1393,917,235,2076,2089,835,685,1223,1116,1390,477,482,2116,2187,563,2,2094,1851,2112,1860,1917,1762,2353,2430,1680
"G1200730","2019","FL",,,"Florida","12","Leon County","073",,,,,,,,,,,,,,,,,,"05000US12073","Leon County, Florida",293582,138572,7581,7684,7657,4684,7737,6224,4665,10360,11552,8824,8376,6577,6995,7703,7508,3048,3906,3044,3344,5108,2602,1915,1478,155010,7755,7837,7267,4169,10209,6973,6388,10478,11836,9440,7867,8952,7709,8109,9082,2925,4836,3467,4495,5793,4463,2447,2513,"Leon County, Florida",0,725,425,1168,1169,334,813,1731,1382,1810,792,628,1166,1063,481,791,936,780,877,796,746,882,697,588,611,725,537,1003,1079,306,568,1852,1569,1647,449,599,1179,1307,456,529,1007,699,923,740,933,1044,770,609,705
"G1200810","2019","FL",,,"Florida","12","Manatee County","081",,,,,,,,,,,,,,,,,,"05000US12081","Manatee County, Florida",403253,196942,10321,9471,11260,7679,5003,2340,1739,5418,9978,10903,10174,9800,10694,11982,13817,4316,9248,5877,7264,15467,12178,6659,5354,206311,8000,8189,12030,5370,3305,3062,2350,4823,9763,10438,10740,10447,11745,13102,16237,5339,10200,6244,11697,15442,12178,8095,7515,"Manatee County, Florida",0,1107,469,1816,1787,1020,1291,1086,1074,1369,678,1288,1919,1763,656,1146,1516,1116,1577,1351,1452,1680,1597,1262,1287,1107,449,2280,2337,976,548,1136,1104,1434,498,313,1686,1600,843,865,1711,1100,1481,1354,1681,1898,1339,1648,1484
"G1200830","2019","FL",,,"Florida","12","Marion County","083",,,,,,,,,,,,,,,,,,"05000US12083","Marion County, Florida",365579,175107,9396,9157,10266,5790,3540,1743,2103,4887,10922,9065,9273,8194,9337,10014,10851,4475,7198,6118,7178,12681,11592,6739,4588,190472,8475,7914,10414,5840,4009,938,1245,6007,10147,9479,11572,7576,10200,11164,15316,4928,7194,6607,10165,14761,12340,7013,7168,"Marion County, Florida",0,2174,1687,1300,1258,737,1094,985,1007,1311,1123,762,1746,1794,1018,1205,1325,1182,1285,1509,1290,1635,1535,1452,1252,2174,1715,1735,1769,776,1480,663,889,1487,1500,1262,1999,1626,1006,362,1564,1157,1178,1358,1659,1525,1767,1354,1586
"G1200850","2019","FL",,,"Florida","12","Martin County","085",,,,,,,,,,,,,,,,,,"05000US12085","Martin County, Florida",161000,81026,3283,3659,3963,2786,1669,316,535,2649,4071,4655,3326,3508,5009,4100,5821,2691,4644,2834,4216,5358,5944,2359,3630,79974,3060,2835,4456,2043,1554,870,749,1563,2651,4273,2967,3683,4664,4629,5325,2968,4590,3524,3542,5546,6265,3871,4346,"Martin County, Florida",0,1517,606,850,989,485,767,255,400,566,663,1517,1209,936,853,210,1156,976,1695,1001,1093,1099,1254,774,950,1517,709,800,776,357,417,516,562,852,210,984,838,808,475,301,1155,935,1158,1166,820,1015,1300,1185,1073
"G1200860","2019","FL",,,"Florida","12","Miami-Dade County","086",,,,,,,,,,,,,,,,,,"05000US12086","Miami-Dade County, Florida",2716940,1319187,80438,71735,81401,45936,32215,17373,20682,44413,96155,99415,93232,91228,98219,96263,89336,32756,40396,22918,32625,50448,38273,21438,22292,1397753,76759,67670,80446,45294,30377,19378,14311,46586,93321,94318,85917,98749,99455,98637,103137,29633,49712,30836,42455,61861,48294,36797,43810,"Miami-Dade County, Florida",0,693,81,4030,4030,270,362,2190,2632,2950,263,3,4049,4053,210,3,3466,3016,3536,2580,2996,3226,2763,2144,2626,693,82,3795,3816,270,426,3070,2570,3109,172,247,4423,4454,242,156,4520,3108,4013,3012,2868,3046,3401,2839,3206
"G1200870","2019","FL",,,"Florida","12","Monroe County","087",,,,,,,,,,,,,,,,,,"05000US12087","Monroe County, Florida",74228,39134,1526,1988,1808,815,845,484,632,1120,2582,2190,2489,2074,2462,2917,2912,1706,1589,905,1819,2887,1773,686,925,35094,1378,801,1654,538,360,0,506,1395,2081,2250,1829,2268,2451,2922,2846,1399,1787,916,2158,2660,1077,635,1183,"Monroe County, Florida",0,814,495,627,715,377,445,611,418,657,643,638,667,579,585,522,518,533,484,295,461,471,397,323,343,814,493,335,692,239,316,234,454,424,495,490,545,599,516,588,696,476,544,397,511,559,326,309,376
"G1200890","2019","FL",,,"Florida","12","Nassau County","089",,,,,,,,,,,,,,,,,,"05000US12089","Nassau County, Florida",88625,43698,2752,2857,1800,1648,768,429,807,854,2458,2248,2094,2677,2912,3074,3462,762,2283,1532,1051,3249,2173,1055,753,44927,1984,2459,2820,1294,419,0,315,713,3812,2470,2364,2001,2684,3654,3437,1104,2513,1289,1409,3500,2267,1754,665,"Nassau County, Florida",0,822,560,771,704,513,529,409,465,455,491,63,510,639,645,563,767,392,730,621,387,716,646,426,366,822,298,637,727,149,422,234,357,528,760,269,536,542,296,458,705,471,695,552,525,651,502,595,373
"G1200910","2019","FL",,,"Florida","12","Okaloosa County","091",,,,,,,,,,,,,,,,,,"05000US12091","Okaloosa County, Florida",210738,107171,6606,6301,7282,4037,2714,1094,1404,5725,9003,9230,7336,6035,5586,4969,7086,3427,3673,2896,3084,3724,2307,2378,1274,103567,6728,6355,6404,3572,1638,459,1406,4375,8177,6737,6011,6583,5825,6289,6921,2732,4608,2152,3339,4911,3446,2475,2424,"Okaloosa County, Florida",0,1052,669,1354,1386,653,790,495,622,1082,1047,1162,1288,1312,630,341,1160,1107,940,779,739,826,537,598,414,1052,653,1120,1003,528,364,323,648,1085,734,769,1066,1299,674,865,1001,774,930,752,697,778,775,655,692
"G1200950","2019","FL",,,"Florida","12","Orange County","095",,,,,,,,,,,,,,,,,,"05000US12095","Orange County, Florida",1393452,683166,42991,42805,44654,25902,19881,12025,11332,26552,61276,57351,50879,48105,45450,43105,39448,14763,21866,12969,15794,18251,12725,9270,5772,710286,40703,43481,40034,25444,20267,10330,12446,30405,60155,55517,51787,49438,47248,44356,43130,19419,19910,12636,19054,24832,15411,13267,11016,"Orange County, Florida",0,800,4,3916,3883,246,569,2656,2266,2912,303,615,3923,3933,76,160,3202,2394,2687,1642,1827,2043,1481,1648,1387,800,7,3212,3224,438,466,2075,2249,2547,417,487,4136,4139,115,378,2964,2402,2297,1928,2530,2448,1652,1728,1829
"G1200970","2019","FL",,,"Florida","12","Osceola County","097",,,,,,,,,,,,,,,,,,"05000US12097","Osceola County, Florida",375751,186656,12209,10576,16740,8154,4214,2495,3256,8447,13203,13814,16300,12430,11224,11122,8776,4541,6489,2182,4112,7247,5411,2425,1289,189095,10360,10932,13520,8108,4605,2305,3546,7677,12543,13184,14447,14771,12114,11621,10314,4091,6842,4068,5771,6217,4215,3244,4600,"Osceola County, Florida",0,832,1387,2906,2477,743,508,1027,1284,1443,1011,1796,2907,2206,473,733,1705,1363,1839,773,1152,1186,1069,853,755,832,670,1972,1929,503,1039,1157,1655,2031,910,969,2747,2746,539,725,1466,1215,1344,1333,1314,1457,1254,1228,939
"G1200990","2019","FL",,,"Florida","12","Palm Beach County","099",,,,,,,,,,,,,,,,,,"05000US12099","Palm Beach County, Florida",1496770,725515,38965,39751,40936,25352,16660,8164,7780,24350,45358,45225,43485,41684,45151,45866,49663,20077,25340,20047,21466,38018,35326,22937,23914,771255,37323,36250,41406,23889,15647,6912,8731,23586,43833,43327,42788,43915,46907,49060,49423,22109,33298,21112,30464,45751,40618,28546,36360,"Palm Beach County, Florida",0,618,295,2768,2687,423,491,1782,1971,2437,5,5,2701,2708,291,57,2910,2199,2315,2235,1825,2030,1797,2151,2138,618,5,3192,3179,369,4,1544,2612,2802,343,190,2927,2951,4,218,2617,2003,2442,2280,2645,2748,2863,2491,2602
"G1201010","2019","FL",,,"Florida","12","Pasco County","101",,,,,,,,,,,,,,,,,,"05000US12101","Pasco County, Florida",553947,270067,14853,17316,15655,10085,6137,2483,3087,8623,14574,15419,19197,14384,17591,17296,18926,6648,10284,7209,9810,14665,13855,7225,4745,283880,13511,13982,16981,9573,6354,2838,4089,6181,14833,15965,18673,17656,17831,18282,19043,7861,12330,7593,11420,17505,15845,8860,6674,"Pasco County, Florida",0,841,649,1918,1920,671,572,779,1051,1220,615,789,1937,1791,272,300,1341,1160,1130,1085,1322,1316,1390,1054,1001,841,654,1506,1484,533,982,977,1015,1154,724,548,1985,1902,275,480,1628,1206,1408,1299,1222,1515,1214,1053,1115
"G1201030","2019","FL",,,"Florida","12","Pinellas County","103",,,,,,,,,,,,,,,,,,"05000US12103","Pinellas County, Florida",974996,467847,21398,21214,22880,13894,8260,5035,3451,16571,28576,28719,27348,25259,28613,31988,37058,16647,20580,15144,17790,28300,21018,14824,13280,507149,20232,19193,23503,13124,7712,5217,4705,13902,30382,29322,30852,23712,30533,33946,39659,18126,25749,15075,24324,31889,24590,18513,22889,"Pinellas County, Florida",0,488,248,2383,2392,289,804,1401,1074,1871,1581,131,2408,2411,177,181,2094,1729,2058,1618,1680,2013,2006,1902,1675,488,249,2461,2476,362,780,2009,1268,1716,306,271,2251,2252,310,247,2196,2258,2076,1691,2086,2259,2388,2367,2208
"G1201050","2019","FL",,,"Florida","12","Polk County","105",,,,,,,,,,,,,,,,,,"05000US12105","Polk County, Florida",724777,355540,21360,19596,26675,14091,8909,7145,3802,10922,24757,23129,21222,21478,21326,20847,21469,7449,12440,7326,13170,18083,14335,8043,7966,369237,20266,20567,23307,13277,8991,6030,5175,10381,24361,23223,22424,21445,22191,21229,23564,9349,13355,9392,12754,22352,15115,11932,8557,"Polk County, Florida",0,644,331,2075,2138,171,773,1674,1047,1650,407,296,2517,2506,189,245,1710,1224,1674,1430,1826,2022,1829,1521,1452,644,409,2263,2249,171,364,1729,1225,1667,355,396,2265,2318,507,341,2205,1225,1871,1917,1741,1863,1931,1710,1297
"G1201070","2019","FL",,,"Florida","12","Putnam County","107",,,,,,,,,,,,,,,,,,"05000US12107","Putnam County, Florida",74521,37174,2172,2742,2440,914,445,77,234,1457,2336,1730,2453,1635,2174,2409,2896,1300,1279,1151,1859,1953,1918,1318,282,37347,1658,1710,2507,1655,586,960,569,811,1231,1841,2352,1657,2673,2094,3027,1163,1839,1151,1835,2017,1619,1322,1070,"Putnam County, Florida",0,725,651,661,774,605,219,123,210,399,491,263,635,552,547,499,639,583,484,401,649,483,395,382,226,725,144,822,796,729,429,608,382,482,636,410,713,751,619,384,574,531,586,505,603,588,525,554,450
"G1201090","2019","FL",,,"Florida","12","St. Johns County","109",,,,,,,,,,,,,,,,,,"05000US12109","St. Johns County, Florida",264672,127913,5856,7990,9532,4953,2913,1347,947,5181,5532,5806,9523,7251,9369,8574,9510,3387,4505,2664,5042,7645,4830,2106,3450,136759,6330,8261,8828,5482,3084,1564,1031,4019,5767,6225,8602,9517,9955,8996,9466,4179,5948,3783,5230,8104,5624,3242,3522,"St. Johns County, Florida",0,901,698,1678,1925,495,407,602,515,1344,798,509,1656,1536,734,677,1357,987,1030,783,975,1138,986,637,931,901,568,1446,1378,803,547,737,597,1138,530,429,1673,1732,1028,627,1372,1098,1471,1200,1233,1584,1266,1002,1079
"G1201110","2019","FL",,,"Florida","12","St. Lucie County","111",,,,,,,,,,,,,,,,,,"05000US12111","St. Lucie County, Florida",328297,157982,6786,8735,9796,4889,4785,2574,2026,2785,10175,9020,7769,9629,9889,9661,11438,3562,6732,3873,5521,11087,8578,6349,2323,170315,9566,7085,11253,5940,2474,2394,1155,5751,8509,8940,11291,10146,7473,10523,12246,4851,7316,3189,5399,14739,10250,5124,4701,"St. Lucie County, Florida",0,1784,965,1529,1605,1224,1705,1217,1062,1205,1626,1730,2063,1919,2376,2,1606,886,1620,1102,1431,1445,1665,1729,864,1784,891,1601,1653,1210,1180,1224,902,1801,919,1035,2183,2328,1420,401,1724,1229,1463,1040,1350,1683,1633,1281,1110
"G1201130","2019","FL",,,"Florida","12","Santa Rosa County","113",,,,,,,,,,,,,,,,,,"05000US12113","Santa Rosa County, Florida",184313,94555,5412,4894,7688,3187,1967,1185,1478,3493,6797,6277,6188,6228,6405,6494,7892,1861,3407,2365,2428,3918,2347,1674,970,89758,5113,4669,6174,3058,1524,918,963,3463,5600,6121,4974,5692,6430,5595,5488,2153,4277,2175,2920,5356,3413,1468,2214,"Santa Rosa County, Florida",0,1038,705,1030,1170,319,565,705,717,1216,900,757,1118,1122,923,1007,1314,678,902,946,801,879,639,526,436,1038,729,1083,1166,346,265,480,654,1197,724,689,1123,1156,572,313,1124,918,987,722,693,1034,843,519,741
"G1201150","2019","FL",,,"Florida","12","Sarasota County","115",,,,,,,,,,,,,,,,,,"05000US12115","Sarasota County, Florida",433742,206146,7474,6271,11494,5902,4003,3088,1858,4933,8498,8847,9328,8358,9993,11378,14476,7262,9329,7515,11309,18329,16494,11064,8943,227596,7138,7268,9708,5503,2856,1811,2001,5696,9208,8682,8947,9167,11195,13941,16308,8065,12162,8195,15306,21200,17284,12770,13185,"Sarasota County, Florida",0,814,797,1957,2190,542,743,1085,864,1007,758,473,1252,1199,353,338,1616,1336,1473,1384,1324,1779,1795,1685,1330,814,554,1947,2061,774,515,1026,735,1265,662,653,1852,1788,809,993,1457,1368,1437,1412,1739,1876,1943,1756,1926
"G1201170","2019","FL",,,"Florida","12","Seminole County","117",,,,,,,,,,,,,,,,,,"05000US12117","Seminole County, Florida",471826,227463,12726,15021,13472,8654,4733,3188,2876,8748,17252,17016,15146,17145,15930,14298,16408,4632,7912,5001,5976,9124,6458,3038,2709,244363,12316,15949,12007,8826,5850,2314,2093,8767,17218,16828,18275,15402,16746,16381,18449,6934,7199,5412,8209,11011,7071,4400,6706,"Seminole County, Florida",0,922,124,1380,1326,769,489,1049,980,1437,579,567,1762,1881,731,733,1485,1007,1340,955,1242,1115,845,910,716,922,582,1561,1483,769,890,732,894,1081,466,2,1856,1830,878,874,1730,1415,1229,966,1239,1276,1261,993,1179
"G1201190","2019","FL",,,"Florida","12","Sumter County","119",,,,,,,,,,,,,,,,,,"05000US12119","Sumter County, Florida",132420,65348,1661,729,1398,824,776,625,152,1366,1709,2257,3398,2123,2142,2358,2926,1053,3043,3109,5091,11067,8718,6891,1932,67072,780,1689,889,1130,1059,154,95,707,881,1166,2242,951,1027,2246,3959,1612,4509,3171,6577,14994,9671,4780,2783,"Sumter County, Florida",0,1669,482,412,551,485,818,667,215,888,801,874,1505,599,353,389,828,640,884,1162,1407,1614,1538,1496,840,1669,501,796,410,708,669,203,163,572,568,164,767,475,557,323,1169,684,1227,1115,1749,2312,1545,1265,1237
