GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEO_ID,TL_GEO_ID,NAME_E,APJME001,APJME002,APJME003,APJME004,APJME005,APJME006,APJME007,APJME008,APJME009,APJME010,APJME011,APJME012,APJME013,APJME014,APJME015,APJME016,APJME017,APJME018,APJME019,APJME020,APJME021,APJME022,APJME023,APJME024,APJME025,APJME026,APJME027,APJME028,APJME029,APJME030,APJME031,APJME032,APJME033,APJME034,APJME035,APJME036,APJME037,APJME038,APJME039,APJME040,APJME041,APJME042,APJME043,APJME044,APJME045,APJME046,APJME047,APJME048,APJME049,NAME_M,APJMM001,APJMM002,APJMM003,APJMM004,APJMM005,APJMM006,APJMM007,APJMM008,APJMM009,APJMM010,APJMM011,APJMM012,APJMM013,APJMM014,APJMM015,APJMM016,APJMM017,APJMM018,APJMM019,APJMM020,APJMM021,APJMM022,APJMM023,APJMM024,APJMM025,APJMM026,APJMM027,APJMM028,APJMM029,APJMM030,APJMM031,APJMM032,APJMM033,APJMM034,APJMM035,APJMM036,APJMM037,APJMM038,APJMM039,APJMM040,APJMM041,APJMM042,APJMM043,APJMM044,APJMM045,APJMM046,APJMM047,APJMM048,APJMM049
"G1300130","2022","GA",,,"Georgia","13","Barrow County","013",,,,,,,,,,,,,,,,,,"0500000US13013","13013","Barrow County, Georgia",89299,43604,3096,2902,3353,1900,1846,365,392,1503,2689,3633,3835,3384,2548,2451,2382,1348,1054,585,1226,1388,988,473,263,45695,2786,2834,3839,1492,971,477,871,1502,3286,3270,3012,3734,2404,2811,2919,845,1837,930,1208,2032,1246,694,695,"Barrow County, Georgia",,942,433,972,874,715,647,291,247,481,567,587,1026,1094,485,318,558,489,421,364,543,480,318,274,157,942,353,989,1061,583,372,316,549,523,541,481,1156,1180,430,521,626,471,612,426,451,562,517,395,365
"G1300150","2022","GA",,,"Georgia","13","Bartow County","015",,,,,,,,,,,,,,,,,,"0500000US13015","13015","Bartow County, Georgia",112816,54917,2851,3814,3556,2164,1550,704,828,1676,3522,4643,4138,2963,3448,4082,4167,1212,2178,879,1705,2264,1155,738,680,57899,3821,2875,3919,2830,1359,609,1140,1434,4016,4457,3632,3300,3756,4502,4431,1527,1766,647,1587,2816,1694,1230,551,"Bartow County, Georgia",,792,436,753,1081,442,620,464,664,670,567,827,898,967,449,703,734,444,756,455,466,568,423,331,380,792,627,651,872,829,510,452,692,566,325,925,640,906,599,749,557,531,499,305,466,581,453,451,250
"G1300210","2022","GA",,,"Georgia","13","Bibb County","021",,,,,,,,,,,,,,,,,,"0500000US13021","13021","Bibb County, Georgia",156197,73370,5038,7144,4399,3032,1635,1255,1304,2845,4955,5378,3939,4666,5766,2735,4280,1432,2745,1620,1457,3936,1971,1160,678,82827,4657,4899,5168,3356,1468,1747,1276,3627,5989,5738,4544,5181,5041,4548,4732,2341,2688,1502,3171,4202,3336,1766,1850,"Bibb County, Georgia",,1363,447,1436,1143,405,380,529,573,719,132,548,1185,1179,1073,975,807,606,767,571,545,773,509,485,356,1363,297,1234,1297,560,180,981,792,953,726,235,1016,1107,576,102,815,708,730,500,826,824,767,542,498
"G1300310","2022","GA",,,"Georgia","13","Bulloch County","031",,,,,,,,,,,,,,,,,,"0500000US13031","13031","Bulloch County, Georgia",83059,40564,2596,1499,2044,2198,2733,3363,781,2756,3376,1570,2466,2348,2401,2093,1463,1143,1181,901,1499,752,724,380,297,42495,2857,2657,1544,866,3416,3055,3271,1814,1418,2989,2185,1517,2182,2874,2125,469,1703,956,521,1292,724,1236,824,"Bulloch County, Georgia",,881,638,627,803,798,408,1346,624,1242,940,728,894,865,565,500,465,478,426,484,558,401,309,260,315,881,579,840,693,489,782,1175,1199,929,726,762,590,648,704,786,572,268,536,392,267,406,405,435,413
"G1300450","2022","GA",,,"Georgia","13","Carroll County","045",,,,,,,,,,,,,,,,,,"0500000US13045","13045","Carroll County, Georgia",124592,61197,3769,5751,3291,2659,2799,1229,1314,3028,3902,4635,3388,3281,3502,3819,3312,935,2760,1111,1715,2113,1495,721,668,63395,3322,4426,3249,2770,3175,1666,677,2525,4954,4221,3969,3805,3112,3860,4369,1523,1683,945,1957,3365,1346,1218,1258,"Carroll County, Georgia",,821,691,1080,926,463,899,715,727,815,552,898,865,893,702,604,768,410,680,412,546,537,391,315,355,821,580,1146,999,536,1109,925,468,1033,915,332,1068,1169,401,161,798,670,454,456,657,764,471,453,461
"G1300470","2022","GA",,,"Georgia","13","Catoosa County","047",,,,,,,,,,,,,,,,,,"0500000US13047","13047","Catoosa County, Georgia",68826,34236,2215,1834,2660,1603,717,167,555,1091,1912,2006,2059,2717,2193,2283,1697,1093,1584,932,1205,1495,1026,621,571,34590,850,1404,2962,1571,759,306,190,1056,1783,2435,2542,2472,1990,2276,2050,1288,1366,825,1390,1736,1231,1307,801,"Catoosa County, Georgia",,964,595,735,706,210,30,283,472,503,160,132,717,653,250,151,615,483,581,390,430,555,520,398,418,964,568,556,741,200,587,377,252,752,58,389,818,797,228,74,582,558,441,380,527,561,642,582,525
"G1300510","2022","GA",,,"Georgia","13","Chatham County","051",,,,,,,,,,,,,,,,,,"0500000US13051","13051","Chatham County, Georgia",301107,144407,8744,7976,9340,5025,4286,2536,3106,5771,11676,11568,9840,9456,7607,8564,8568,3307,5085,4177,3600,5454,4704,2349,1668,156700,8611,8241,8033,5366,4811,3334,2647,6178,11566,11746,9963,10445,8574,8990,9804,2956,6593,3008,5735,7890,5671,3107,3431,"Chatham County, Georgia",,760,425,1482,1631,361,1155,1052,1050,1472,314,384,1538,1565,602,639,1449,1226,1184,933,868,830,706,613,466,760,469,1573,1573,635,358,970,655,977,139,281,1543,1581,665,469,1304,1232,1250,814,1027,1105,783,755,821
"G1300570","2022","GA",,,"Georgia","13","Cherokee County","057",,,,,,,,,,,,,,,,,,"0500000US13057","13057","Cherokee County, Georgia",281278,139874,8810,8551,9859,5781,3345,1599,1629,5473,8651,9128,9309,10331,8618,10348,8738,3387,5229,3881,3434,5578,5033,1566,1596,141404,6079,8127,9336,6634,3206,877,1999,5372,8197,8895,8364,10832,9774,10082,8659,3964,5795,4466,5202,5279,5102,3024,2139,"Cherokee County, Georgia",,795,569,1329,1330,579,580,718,796,1254,644,1183,1966,1589,680,548,1182,783,970,765,892,1040,746,485,632,795,569,1190,1194,630,560,607,803,1004,500,585,1380,1526,765,759,1219,992,1095,983,1046,956,830,752,599
"G1300590","2022","GA",,,"Georgia","13","Clarke County","059",,,,,,,,,,,,,,,,,,"0500000US13059","13059","Clarke County, Georgia",129875,61331,3268,1723,3341,1276,3589,2849,3282,6561,5715,5205,3003,3730,2246,2748,2498,2054,1466,731,1602,1970,1480,787,207,68544,2580,4565,2790,1174,5859,2429,5551,5195,5582,4892,4247,3313,2429,3080,2257,1893,1664,732,1405,3029,2113,962,803,"Clarke County, Georgia",,1823,1027,840,1072,578,1118,1423,1473,1580,1136,1005,900,1123,506,387,786,1061,685,431,758,592,702,372,181,1823,918,1371,1009,697,797,1072,1596,1548,519,567,1226,961,658,886,737,798,764,427,498,642,471,389,307
"G1300630","2022","GA",,,"Georgia","13","Clayton County","063",,,,,,,,,,,,,,,,,,"0500000US13063","13063","Clayton County, Georgia",296564,138288,10046,10878,11429,7199,3981,2858,1240,6217,10254,10255,8433,9013,8272,8751,9192,2227,4537,2094,2389,5260,2794,616,353,158276,10828,11491,10990,6376,3938,2470,1699,7054,11537,11890,9842,11701,11037,10226,8190,4395,5658,3436,3748,5409,3459,1885,1017,"Clayton County, Georgia",,1012,742,1923,2007,462,649,1100,745,1473,976,674,1996,2028,940,978,1266,758,1190,718,656,1136,427,385,293,1012,922,2233,2287,4,280,1073,922,1349,554,688,2122,1958,811,723,1224,1141,1178,1005,917,1122,754,696,393
"G1300670","2022","GA",,,"Georgia","13","Cobb County","067",,,,,,,,,,,,,,,,,,"0500000US13067","13067","Cobb County, Georgia",771952,376720,21937,21855,26911,16344,10004,5690,4168,16392,27874,28546,27065,26401,24789,26556,22737,9585,13223,7210,8753,13866,8610,4374,3830,395232,20898,23120,24252,16021,9872,3914,5397,16400,27613,28800,29239,26238,26827,27215,23932,9839,15225,9319,10333,16082,11814,6388,6494,"Cobb County, Georgia",,260,126,2312,2312,44,333,1335,1271,1545,152,181,2231,2255,43,50,1715,1366,1727,1088,1137,1273,1172,837,932,260,31,2033,2038,31,270,1220,1667,1883,314,49,2392,2381,122,173,1783,1552,1773,1287,1476,1437,1383,1237,1167
"G1300730","2022","GA",,,"Georgia","13","Columbia County","073",,,,,,,,,,,,,,,,,,"0500000US13073","13073","Columbia County, Georgia",162419,78743,4814,6121,5392,3600,1745,1613,841,2047,5677,5571,6623,5303,4571,5189,5392,1495,1894,1308,2169,3100,1498,1463,1317,83676,4966,6875,5213,3503,1830,1001,934,1764,6016,4727,6362,7538,4321,4956,5438,1993,2374,1466,2611,3982,1687,2189,1930,"Columbia County, Georgia",,1145,533,1096,1099,712,201,915,585,877,790,951,1642,1450,898,825,882,737,608,660,672,784,644,762,556,1145,502,1362,1545,863,883,687,590,818,967,624,1515,1502,588,407,987,626,765,580,778,999,681,866,690
"G1300770","2022","GA",,,"Georgia","13","Coweta County","077",,,,,,,,,,,,,,,,,,"0500000US13077","13077","Coweta County, Georgia",152882,74986,4517,4065,6350,3280,1776,116,1708,3363,4015,4364,6212,5263,4872,4634,5314,2172,2604,1060,1727,3647,1544,1243,1140,77896,3298,4438,5569,3220,2264,676,392,2826,4817,4829,6460,4523,5414,5791,5636,2325,2514,1326,3157,3193,2428,1086,1714,"Coweta County, Georgia",,902,844,973,1120,328,555,176,983,1071,599,335,1429,1052,1021,462,990,824,900,435,654,639,643,533,647,902,632,965,1026,448,1145,612,389,913,1005,849,1363,1166,973,485,984,795,668,536,957,924,662,466,685
"G1300890","2022","GA",,,"Georgia","13","DeKalb County","089",,,,,,,,,,,,,,,,,,"0500000US13089","13089","DeKalb County, Georgia",762820,361602,24798,19994,27441,13942,8940,3783,5313,13701,27878,31535,28405,24537,22243,23450,21036,10206,10226,6579,10230,11749,7124,5129,3363,401218,24014,19690,25963,13743,8034,5214,3566,17523,31243,34590,29623,27282,24753,25159,24884,8298,14860,8183,11864,17238,13098,7012,5384,"DeKalb County, Georgia",,401,226,2125,2140,291,994,1330,1540,1980,2,4,2477,2470,116,39,2281,1578,2091,1318,1248,1307,977,995,804,401,4,2389,2398,338,554,1614,1221,1775,50,133,2543,2538,163,96,1952,1542,1823,1443,1550,1468,1241,1173,1175
"G1300950","2022","GA",,,"Georgia","13","Dougherty County","095",,,,,,,,,,,,,,,,,,"0500000US13095","13095","Dougherty County, Georgia",82966,38464,2644,1982,3987,2004,722,435,539,2254,2426,2725,1996,2425,1772,2105,1964,1415,1192,394,1201,2212,1154,587,329,44502,2515,4576,931,1217,1867,631,728,1170,2796,3801,2280,2471,2746,2931,2691,802,2081,1526,1165,2168,1573,1116,720,"Dougherty County, Georgia",,796,404,748,750,679,414,345,363,672,430,556,728,681,269,387,641,607,479,263,469,466,279,258,185,796,384,604,483,614,805,434,488,561,438,558,903,865,465,474,762,450,746,498,424,533,559,506,440
"G1300970","2022","GA",,,"Georgia","13","Douglas County","097",,,,,,,,,,,,,,,,,,"0500000US13097","13097","Douglas County, Georgia",147316,71222,4475,4730,6183,4371,2160,2265,704,2373,4391,3830,5076,4699,4326,4911,4993,1878,2087,1215,1888,1567,2320,396,384,76094,3733,5530,4676,3161,2244,1067,1569,2059,5472,4677,4241,6510,5662,5710,4278,1527,3665,1161,2202,3174,1956,1049,771,"Douglas County, Georgia",,1554,1325,1351,1255,532,1216,1181,566,1140,667,676,1208,1185,586,336,1177,699,1000,580,507,660,789,329,313,1554,1350,1025,1013,485,931,656,787,1003,685,628,1360,1390,506,407,1041,641,1182,567,707,741,595,465,457
"G1301030","2022","GA",,,"Georgia","13","Effingham County","103",,,,,,,,,,,,,,,,,,"0500000US13103","13103","Effingham County, Georgia",69041,34092,2200,2537,2728,1462,1251,460,123,1346,1919,2496,2036,2838,2219,2205,2452,522,1508,388,333,1686,675,406,302,34949,2281,2378,3210,1285,676,714,258,316,3110,2167,2585,3099,1924,2243,2332,800,938,1162,636,852,932,496,555,"Effingham County, Georgia",,461,293,779,930,221,647,374,148,600,291,396,720,692,577,519,744,373,561,246,181,346,364,317,214,461,269,752,635,196,653,446,348,318,821,277,867,814,328,354,500,362,397,461,305,309,326,268,289
"G1301130","2022","GA",,,"Georgia","13","Fayette County","113",,,,,,,,,,,,,,,,,,"0500000US13113","13113","Fayette County, Georgia",122030,59375,2296,3994,4814,3075,1165,718,548,3416,2523,2596,3683,3245,3950,4171,4195,1686,2409,2357,1129,3434,1697,1535,739,62655,2207,2590,4850,3447,1766,405,608,2692,2487,2074,4143,3532,4820,4259,4380,2128,2883,1406,2243,4133,2936,1419,1247,"Fayette County, Georgia",,1026,553,901,837,552,517,604,340,754,495,605,993,987,995,363,827,636,739,702,412,842,609,497,432,1026,535,919,933,631,606,333,532,903,534,385,1130,973,967,271,740,787,846,648,653,861,646,577,517
"G1301150","2022","GA",,,"Georgia","13","Floyd County","115",,,,,,,,,,,,,,,,,,"0500000US13115","13115","Floyd County, Georgia",99443,49658,3059,3311,3710,2496,2207,665,787,1568,3102,3277,2989,3347,2663,3203,2913,1043,1496,1815,1178,1808,1307,938,776,49785,2733,3105,2273,1649,1914,1024,1371,1919,2815,3203,2862,3251,2751,2843,3164,945,2233,1023,1495,2657,1532,1551,1472,"Floyd County, Georgia",,970,346,941,809,561,705,379,561,687,429,652,676,773,404,561,733,501,481,711,429,432,350,532,333,970,404,821,645,417,651,593,604,662,478,569,902,838,503,434,653,399,579,418,487,537,600,479,627
"G1301170","2022","GA",,,"Georgia","13","Forsyth County","117",,,,,,,,,,,,,,,,,,"0500000US13117","13117","Forsyth County, Georgia",267237,133152,7428,8989,11517,6597,3696,1442,1834,4438,5435,5957,10728,10855,11858,10689,8372,3195,4145,2576,2398,4631,3186,1952,1234,134085,6732,8168,11801,6647,3337,817,1050,5569,5169,8564,9783,12274,9737,10303,6931,2939,4721,2335,3575,5154,4150,2804,1525,"Forsyth County, Georgia",,1005,555,1290,1346,667,829,729,767,1326,698,1002,1546,1643,551,616,1159,984,948,663,733,1062,795,633,570,1005,514,1259,1251,458,687,444,542,838,670,1459,1253,1295,650,826,1179,969,1032,702,876,1183,756,800,669
"G1301210","2022","GA",,,"Georgia","13","Fulton County","121",,,,,,,,,,,,,,,,,,"0500000US13121","13121","Fulton County, Georgia",1074634,523387,29448,31162,31943,20353,15241,7550,5518,25839,44494,46117,41661,35056,34081,36763,32252,11851,15819,8889,12340,15526,10065,5761,5658,551247,27832,30128,30725,19972,14528,5936,7840,25645,46513,47381,41659,37786,36486,36875,32735,11208,18561,9974,14839,21854,14880,9388,8502,"Fulton County, Georgia",,226,114,2354,2356,47,117,1861,1716,2214,79,93,2364,2366,129,34,2319,1991,1958,1419,1702,1462,1197,988,1013,226,75,3143,3161,25,917,1817,2853,2622,84,72,3038,3036,79,90,1955,1671,1806,1638,1750,1853,1490,1338,1318
"G1301270","2022","GA",,,"Georgia","13","Glynn County","127",,,,,,,,,,,,,,,,,,"0500000US13127","13127","Glynn County, Georgia",85079,39518,1807,2197,2234,2155,1020,688,278,1570,2537,1803,2097,2493,2602,2117,2350,1557,1367,700,2061,2149,2277,656,803,45561,2586,2703,1870,1507,1323,366,533,1011,2262,2296,2496,2856,3057,2529,2750,1477,2543,1630,1751,2683,2605,1631,1096,"Glynn County, Georgia",,1351,754,650,823,913,638,566,318,821,648,811,657,610,536,414,697,696,601,357,696,696,701,350,381,1351,697,975,677,917,880,267,380,586,659,639,795,983,858,623,747,626,717,627,537,586,788,617,546
"G1301350","2022","GA",,,"Georgia","13","Gwinnett County","135",,,,,,,,,,,,,,,,,,"0500000US13135","13135","Gwinnett County, Georgia",975353,478646,29621,33833,39004,24652,13673,6970,7275,20129,31409,31481,31856,34666,32812,34463,32524,11239,13347,9840,8273,14864,9534,5196,1985,496707,28668,33677,37291,24320,12676,5562,5259,22660,31590,32793,32876,37616,35019,35421,32247,10000,17090,9707,12001,16621,12136,6939,4538,"Gwinnett County, Georgia",,145,29,2521,2523,4,122,1954,1464,1962,4,88,2432,2408,171,226,2280,2061,2023,1408,1161,1456,1180,1195,529,145,34,2833,2855,196,46,1535,1427,2095,105,132,2483,2512,68,174,2265,1583,1987,1346,1488,1532,1180,1004,998
"G1301390","2022","GA",,,"Georgia","13","Hall County","139",,,,,,,,,,,,,,,,,,"0500000US13139","13139","Hall County, Georgia",212692,105347,6010,7199,7420,4649,3025,2633,1204,4603,6542,6537,6167,6586,6395,7837,7123,2266,3893,1662,3347,4407,2970,1473,1399,107345,6558,6884,7000,4466,2554,1700,2617,4126,6664,6489,7091,5962,6254,7296,6422,1807,4647,1978,3542,5251,3176,2390,2471,"Hall County, Georgia",,827,369,928,1253,297,643,979,521,1106,416,304,961,1275,700,802,1002,656,864,704,760,796,693,483,578,827,643,1371,1139,700,635,577,839,1159,666,579,927,1023,353,567,889,567,938,627,882,1015,721,604,687
"G1301510","2022","GA",,,"Georgia","13","Henry County","151",,,,,,,,,,,,,,,,,,"0500000US13151","13151","Henry County, Georgia",248364,118568,7203,8656,9358,6526,3932,1838,946,5603,7383,7355,9136,5321,7154,9480,8639,2574,4173,1080,4406,3242,2977,980,606,129796,6281,7247,9829,6499,3159,1898,1682,5236,8240,8195,8558,9943,9134,10114,9171,3252,3695,3135,2548,5170,2788,2728,1294,"Henry County, Georgia",,464,367,1175,1153,368,434,947,457,1082,447,523,1376,1189,356,775,1148,796,1187,449,782,701,527,391,312,464,331,1291,1254,493,1074,981,722,1387,488,542,1380,1411,424,566,1137,980,920,870,839,810,713,733,509
"G1301530","2022","GA",,,"Georgia","13","Houston County","153",,,,,,,,,,,,,,,,,,"0500000US13153","13153","Houston County, Georgia",169631,82329,5279,7515,5268,3605,3936,839,485,2964,5666,6368,4748,5979,4828,4522,5293,2035,2501,1152,2412,3519,1774,994,647,87302,4791,5565,7067,3691,1441,1144,765,5101,4858,6551,6108,7091,4792,4895,4719,2516,2739,1137,2675,4151,2557,1987,961,"Houston County, Georgia",,647,618,1192,1161,225,1283,639,393,1235,375,676,1197,1202,481,189,1020,731,858,457,599,707,485,324,342,647,342,1278,1318,312,497,661,764,1295,1217,473,1197,1308,209,285,928,766,806,514,688,668,563,602,400
"G1301570","2022","GA",,,"Georgia","13","Jackson County","157",,,,,,,,,,,,,,,,,,"0500000US13157","13157","Jackson County, Georgia",83936,41273,2840,2388,3655,1968,873,756,402,1812,2555,2980,3212,2636,2672,2628,2215,725,1569,984,1092,1359,943,712,297,42663,2500,2271,2990,2176,735,220,601,1297,2624,3081,3223,2914,2815,3221,2716,623,2084,955,1260,1667,1276,900,514,"Jackson County, Georgia",,773,517,854,724,312,557,432,376,901,542,549,658,825,282,229,556,371,474,441,421,446,242,240,125,773,822,532,558,575,144,222,500,522,435,399,933,990,605,580,852,351,627,391,371,469,348,349,340
"G1301790","2022","GA",,,"Georgia","13","Liberty County","179",,,,,,,,,,,,,,,,,,"0500000US13179","13179","Liberty County, Georgia",68030,35279,2695,3405,2181,614,788,868,2399,2563,4102,2352,2319,2085,1283,1727,1346,267,1124,519,709,1053,488,59,333,32751,2966,2706,1975,1690,702,121,1050,2254,3003,2509,2374,1519,1505,1417,1825,457,728,463,561,1286,778,407,455,"Liberty County, Georgia",,961,1026,691,691,428,487,566,1184,965,1018,715,732,1028,529,404,297,218,327,314,369,376,277,61,160,961,843,774,785,457,431,144,679,627,751,239,501,546,229,178,388,267,317,251,289,330,246,198,242
"G1301850","2022","GA",,,"Georgia","13","Lowndes County","185",,,,,,,,,,,,,,,,,,"0500000US13185","13185","Lowndes County, Georgia",119739,58238,3959,3112,5504,2765,1737,2357,642,4515,4810,3620,3726,3435,3000,3144,3294,696,1385,786,783,2258,2087,215,408,61501,3753,4451,3335,2237,2458,1091,1688,4445,4558,4989,3412,3070,2966,3225,2378,2549,1758,1134,1991,2338,2007,917,751,"Lowndes County, Georgia",,1104,256,1009,934,854,405,1143,394,1130,506,983,761,1074,766,752,550,339,505,371,364,506,524,262,245,1104,312,974,950,870,730,658,761,1152,373,1065,852,823,893,291,783,770,616,395,606,697,774,398,454
"G1302150","2022","GA",,,"Georgia","13","Muscogee County","215",,,,,,,,,,,,,,,,,,"0500000US13215","13215","Muscogee County, Georgia",202616,97592,7310,6052,8328,4193,2740,1543,1051,4385,7762,7844,7280,5723,5208,5377,4393,2949,3182,2539,2412,2809,2386,1194,932,105024,6019,6325,8147,3607,2968,847,1117,4193,7499,8506,8415,5475,6350,5448,6218,3635,2660,1768,3031,4755,3870,1812,2359,"Muscogee County, Georgia",,1230,308,1425,1473,1081,1037,813,553,1155,384,467,1412,1628,451,489,886,841,761,793,740,628,550,540,540,1230,339,1282,1251,1039,1005,460,654,1090,382,640,1561,1354,661,314,1064,1081,940,562,888,944,892,582,845
"G1302170","2022","GA",,,"Georgia","13","Newton County","217",,,,,,,,,,,,,,,,,,"0500000US13217","13217","Newton County, Georgia",117621,56102,4448,3507,4560,2844,1713,676,1191,2002,4024,2374,3892,4308,3251,3728,3921,1004,2009,994,1287,1944,1625,539,261,61519,2891,3443,4497,3101,1186,579,1087,3917,2978,3223,4613,4748,4113,4333,3962,1648,2173,1333,1993,2068,1662,830,1141,"Newton County, Georgia",,1195,1075,1341,1084,734,868,419,933,1180,399,637,1117,1043,228,330,875,668,778,519,541,586,403,325,148,1195,846,999,777,786,682,481,830,858,626,797,1395,1207,330,183,906,848,899,542,742,650,521,442,423
"G1302230","2022","GA",,,"Georgia","13","Paulding County","223",,,,,,,,,,,,,,,,,,"0500000US13223","13223","Paulding County, Georgia",178421,88451,5014,7582,7048,4247,1920,1236,1020,3405,6062,5831,6452,6325,5816,6903,5462,2677,2522,1637,1925,2396,1534,983,454,89970,3777,5753,7280,4288,1426,1208,1221,2905,6282,6522,5879,8047,6289,5984,6187,2167,2920,1829,3652,2065,2018,1438,833,"Paulding County, Georgia",,1098,806,1479,1571,604,820,667,644,1225,1049,1076,1585,1949,1050,1491,1149,1035,903,626,572,660,436,430,265,1098,726,1279,1189,671,380,767,897,1312,1321,439,1378,1567,1126,898,1135,852,781,659,761,734,479,435,417
"G1302450","2022","GA",,,"Georgia","13","Richmond County","245",,,,,,,,,,,,,,,,,,"0500000US13245","13245","Richmond County, Georgia",206640,100230,6755,6527,6327,4341,3592,2759,1742,5208,8210,7873,6051,5922,5019,5334,6524,2538,2223,3241,2328,3096,2404,850,1366,106410,6357,6040,6470,3756,3047,968,2030,4979,8030,8222,6772,6475,5614,5938,6250,3824,3247,2395,3289,5343,3328,2011,2025,"Richmond County, Georgia",,614,595,1225,1307,469,204,720,845,953,242,375,1070,1149,369,374,921,861,749,737,602,720,569,508,481,614,307,1192,1348,309,1147,546,891,1254,412,405,1402,1355,395,392,1237,1016,1011,591,879,954,857,673,798
"G1302470","2022","GA",,,"Georgia","13","Rockdale County","247",,,,,,,,,,,,,,,,,,"0500000US13247","13247","Rockdale County, Georgia",94984,44452,1396,3824,3268,2577,758,564,800,2670,2644,2231,2812,2237,2821,3055,3600,909,1659,1315,1403,1750,1101,699,359,50532,3016,2440,4311,1596,1464,59,272,2513,2892,2646,2680,2983,4129,4076,3497,734,2686,1294,1166,2685,949,1209,1235,"Rockdale County, Georgia",,1493,731,1154,1082,623,531,424,588,1344,645,1074,1106,1207,1091,311,674,412,566,781,531,527,391,381,245,1493,1014,1024,1464,91,885,91,334,1208,355,452,1019,980,888,730,720,438,651,492,550,605,395,479,534
"G1302550","2022","GA",,,"Georgia","13","Spalding County","255",,,,,,,,,,,,,,,,,,"0500000US13255","13255","Spalding County, Georgia",68919,33214,2437,2347,2270,1268,777,714,265,1465,2096,2584,2029,1699,1658,1797,1974,993,1144,785,808,2159,1064,533,348,35705,1923,1654,2543,1501,377,773,315,1847,1637,3387,1645,2613,1670,1807,2080,1193,1396,1065,1426,1958,1722,786,387,"Spalding County, Georgia",,978,545,795,774,825,314,567,182,440,2,780,1010,667,484,375,628,461,490,375,405,643,417,420,323,978,489,611,812,882,292,719,294,966,578,860,763,938,721,401,675,603,593,728,594,629,489,345,312
"G1302850","2022","GA",,,"Georgia","13","Troup County","285",,,,,,,,,,,,,,,,,,"0500000US13285","13285","Troup County, Georgia",70191,33837,1935,2885,2824,1117,1036,562,626,696,2892,2467,1493,2540,2114,1865,1635,625,1688,88,892,1993,1275,339,250,36354,1796,1315,2665,1994,519,662,966,975,2661,2091,2564,2424,2579,2245,2034,796,1661,495,1543,1590,1071,749,959,"Troup County, Georgia",,1072,767,956,954,563,626,460,389,446,594,602,458,851,550,557,610,359,523,118,436,547,584,186,224,1072,630,699,735,664,391,627,522,464,664,1007,1006,1087,1107,742,669,459,753,278,471,444,531,405,384
"G1302950","2022","GA",,,"Georgia","13","Walker County","295",,,,,,,,,,,,,,,,,,"0500000US13295","13295","Walker County, Georgia",68915,34263,2355,1849,2156,1147,492,326,730,1797,2045,2026,1926,2135,2351,2544,1614,1067,1772,960,1128,1597,1272,690,284,34652,2329,2179,1397,1154,526,197,588,1271,1902,2370,1587,2762,2094,2307,2546,1056,901,971,974,2317,1919,715,590,"Walker County, Georgia",,797,718,561,559,3,341,305,461,747,203,102,624,601,377,385,532,457,548,341,496,502,385,327,217,797,710,564,555,136,299,171,438,524,50,390,568,750,177,229,568,449,385,420,382,482,523,485,406
"G1302970","2022","GA",,,"Georgia","13","Walton County","297",,,,,,,,,,,,,,,,,,"0500000US13297","13297","Walton County, Georgia",103065,50921,3128,3040,4052,2787,1199,586,491,1394,2053,3139,3397,4688,3506,3453,3121,1059,2233,1149,1759,1704,1992,552,439,52144,2370,3440,2928,2422,1010,743,790,1545,2800,3560,2401,4471,3672,3718,3162,1592,2120,1327,1527,2386,2513,899,748,"Walton County, Georgia",,840,409,638,843,676,321,464,478,585,228,764,1237,1235,543,508,812,483,822,629,804,598,403,306,297,840,362,854,765,708,773,512,568,1072,797,739,784,977,653,621,673,714,763,550,543,550,553,399,361
"G1303130","2022","GA",,,"Georgia","13","Whitfield County","313",,,,,,,,,,,,,,,,,,"0500000US13313","13313","Whitfield County, Georgia",103132,51669,3137,3961,3257,2754,1409,707,1008,2183,3463,3490,3567,3360,3012,3391,2331,491,2786,1375,1450,1737,1397,546,857,51463,3230,3875,3154,2282,2065,1074,673,2012,2584,3124,3000,3407,3089,3487,3117,954,2101,959,1099,2532,1513,1357,775,"Whitfield County, Georgia",,966,785,899,922,522,654,556,719,727,253,215,1045,973,728,143,813,287,888,886,526,696,368,270,443,966,655,941,946,503,808,717,518,746,386,110,840,827,651,798,804,497,728,531,437,507,577,712,388
"G1500010","2022","HI",,,"Hawaii","15","Hawaii County","001",,,,,,,,,,,,,,,,,,"0500000US15001","15001","Hawaii County, Hawaii",206315,102519,4977,6760,6162,4378,1835,817,1593,2633,5210,6007,6657,6383,6044,6182,6863,2105,4648,2375,5020,7099,4845,1971,1955,103796,5779,5776,6385,2973,1496,1023,995,3280,5461,6262,7100,6130,6262,6132,5673,2857,5401,3375,5147,6698,4352,2742,2497,"Hawaii County, Hawaii",,1387,900,1117,1114,570,568,520,865,745,604,167,1320,1059,565,225,1118,758,915,718,1157,1158,721,575,584,1387,903,855,842,580,616,590,510,1005,681,846,1249,1172,1001,1164,1269,868,1012,1055,1064,1098,760,833,649
